音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）		
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	
256	2229	0				0	1				
0	2960	0				0	1				
512	3692	0				0	1				
0	4424	0				0	1				
96	5156	0				0	1	5			
416	5339	0				0	1	5			
96	5521	0				0	1	5			
416	5704	0				0	1	5			
256	6070	6619				0	1	2			
256	6985	0				0	1				
256	7168	0				0	1				
256	7351	0				0	1				
256	7717	0				0	1				
128	7900	0				0	1				
256	8082	0				0	1	3		1	
384	8814	0				0	1				
128	10278	0				0	1				
256	11375	0				0	1				
256	11558	0				0	1				
256	11741	0				0	1				
256	11924	0				0	1	3		1	
96	12290	0				0	1	5			
416	12473	0				0	1	5			
96	12656	0				0	1	5			
416	12839	0				0	1	5			
96	13021	0				0	1	5			
416	13204	0				0	1	5			
96	13387	0				0	1	5			
256	13936	0			C2	0	1	3		1.5	
384	14485	0				0	1				
384	14668	0				0	1				
256	15034	0				0	1				
128	15400	0				0	1				
0	15948	0				0	1				
0	16131	0				0	1				
256	16497	0				0	1	3		1	
256	16954	0				0	1	1			
256	17412	0				0	1	3		1	
256	17595	0				0	1				
128	17960	0				0	1				
256	18326	0				0	1				
384	18875	0				0	1				
384	19058	0				0	1				
256	19424	0				0	1	3		1	
512	20339	0				0	1				
384	20521	0				0	1				
256	20704	0				0	1				
128	20887	0				0	1				
128	21253	0				0	1				
256	21436	0				0	1				
128	21619	0				0	1				
256	21985	0				0	1	3		1	
96	22534	0				0	1	5			
416	22717	0				0	1	5			
96	22900	0				0	1	5			
416	23082	0				0	1	5			
96	23265	0				0	1	5			
416	23448	0				0	1	5			
96	23631	0				0	1	5			
416	23814	0				0	1	5			
96	23997	0				0	1	5			
416	24180	0				0	1	5			
96	24363	0				0	1	5			
416	24546	0				0	1	5			
96	24729	0				0	1	5			
416	24912	0				0	1	5			
256	25552	0	S		C3	0	1	6		1	
256	25735	0				0	1	7	2-1		
256	25918	0				0	1	7	2-1		
128	26192	0				0	1	7	1-1		
128	26375	0				0	1	7	1-1		
384	27107	0				0	1	7	0-2		
256	27381	0				0	1	7	2-1		
128	27656	0				0	1	7	1-2		
128	27839	0				0	1	7	1-2		
256	28204	0				0	1	3		1	
256	28387	29485				0	1	2			
256	29668	0				0	1				
256	29851	0				0	1				
384	30217	0				0	1				
512	30582	0				0	1				
256	30948	0				0	1	3		1	
256	31223	0				0	1	1			
256	31497	0				0	1				
128	31863	0				0	1				
0	32229	0				0	1				
128	32960	0				0	1				
256	33326	0				0	1				
384	33692	0				0	1				
256	34058	0				0	1	3		1	
256	34241	35156				0	1	2			
256	35521	0				0	1				
256	35704	0				0	1				
256	35887	0				0	1	3		1	
256	36253	0				0	1				
128	36619	0				0	1				
384	36985	0			C1	0	1				
256	37351	0				0	1	7	0-1		
128	37534	0				0	1	7	2-1		
0	37717	0				0	1	7	1-1		
128	37900	0				0	1	7	2-1		
256	38082	0				0	1	7	2-1		
384	38448	0				0	1	7	0-1		
