音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	
256	729	0				0	1			
256	1042	0				0	1			
256	1354	0				0	1			
256	1667	0				0	1	3		
160	2292	0				0	1	7	1-1	
256	3229	0				0	1			
256	3542	0				0	1			
256	3854	0				0	1			
256	4167	0				0	1			
352	4635	0				0	1			
352	4792	0				0	1			
320	5104	0				0	1	7	0-1	
288	5417	0				0	1	7	0-1	
256	5730	0				0	1			
256	5885	0				0	1			
256	6042	0				0	1			
256	6355	0				0	1			
192	6980	0				0	1			
96	8229	0				0	1	7	1-1	
128	8542	0				0	1	7	1-1	
160	8854	0				0	1	7	1-1	
192	9167	0				0	1	7	1-1	
288	9792	0				0	1			
192	10729	0				0	1			
160	11042	0				0	1			
128	11354	0				0	1			
96	11667	0				0	1			
192	12292	0				0	1			
160	12604	0				0	1			
128	12917	0				0	1			
192	13230	0				0	1	5		
192	13542	0				0	1	5		
192	13855	0				0	1	5		
192	14167	0				0	1	5		
256	14635	0				0	1			
256	14792	0				0	1			
192	15104	0				0	1			
128	15417	0				0	1			
64	15730	0				0	1	7	1-1	
64	15885	0				0	1	7	1-1	
64	16042	0				0	1	7	1-1	
0	16355	0				0	1			
128	16980	0				0	1			
128	17292	0	S			0	1			
192	17917	0				0	1	5		
192	18229	0				0	1	5		
192	18542	0				0	1	5		
192	18854	0				0	1	5		
256	19167	0				0	1	3		
288	20104	0				0	1			
288	20260	0				0	1			
384	20729	0				0	1			
352	21042	0				0	1			
320	21354	0				0	1			
288	21667	0				0	1	7	0-1	
192	22604	0				0	1	7	1-1	
224	22917	0				0	1			
128	23385	0				0	1			
128	23542	0				0	1			
192	23958	0				0	1			
192	24167	0				0	1			
256	24635	0				0	1			
256	24792	0				0	1			
320	25260	0				0	1			
320	25417	0				0	1			
192	25885	0				0	1			
192	26042	0				0	1			
224	26354	0				0	1			
256	26667	0				0	1	3		
320	27292	0				0	1			
448	27917	0				0	1	7	0-1	
416	28229	0				0	1	7	0-1	
384	28542	0				0	1	7	0-1	
352	28854	0				0	1	7	0-1	
256	29167	0				0	1	6		
256	30104	0				0	1			
256	30260	0				0	1			
192	30729	0				0	1			
160	31042	0				0	1			
128	31354	0				0	1	7	1-1	
96	31667	0				0	1	7	1-1	
160	32604	0				0	1			
160	32760	0				0	1			
256	33229	0				0	1			
288	33542	0				0	1			
320	33854	0				0	1			
352	34167	0				0	1	7	0-1	
256	34635	0				0	1			
256	34792	0				0	1			
224	35104	0				0	1	7	1-1	
192	35417	0				0	1	7	1-1	
160	35729	0				0	1			
160	35885	0				0	1			
160	36042	0				0	1			
128	36354	0				0	1			
224	36979	0				0	1	7	1-1	
320	37917	0				0	1	5		
320	38229	0				0	1	5		
320	38542	0				0	1	5		
320	38854	0				0	1	5		
256	39167	0				0	1	3		
224	40104	0				0	1			
224	40260	0				0	1			
128	40729	0				0	1	7	1-1	
160	41042	0				0	1	7	1-1	
192	41354	0				0	1	7	1-1	
224	41667	0				0	1	7	1-1	
320	42604	0				0	1			
384	42917	0				0	1			
448	43385	0				0	1			
448	43542	0				0	1			
384	43958	0				0	1			
384	44167	0				0	1			
320	44635	0				0	1	7	2-1	
320	44792	0				0	1	7	2-1	
256	45260	0				0	1			
256	45417	0				0	1			
192	45885	0				0	1			
192	46042	0				0	1			
192	46354	0				0	1	7	1-1	
256	46667	0				0	1	3		
192	47292	0				0	1	7	1-1	
256	47917	0				0	1			
256	48229	0	S			0	1			
256	48542	0				0	1			
256	48854	0				0	1			
256	49167	0				0	1	6		
384	50104	0				0	1			
384	50260	0				0	1			
288	50729	0				0	1			
256	51042	0				0	1			
224	51354	0				0	1			
192	51667	0				0	1			
160	52604	0				0	1			
160	52760	0				0	1			
96	53229	0				0	1	7	2-1	
96	53542	0				0	1	7	1-1	
96	53854	0				0	1	7	2-1	
96	54167	0				0	1	7	1-1	
192	54635	0				0	1			
192	54792	0				0	1			
224	55104	0				0	1			
256	55417	0				0	1			
288	55729	0				0	1			
288	55885	0				0	1			
288	56042	0				0	1			
320	56354	0				0	1			
416	56979	0				0	1	7	0-1	
256	58229	0				0	1			
256	58542	0				0	1			
256	58854	0				0	1			
256	59167	0				0	1	3		
288	60729	0				0	1	7	0-1	
320	61042	0				0	1	7	0-1	
352	61354	0				0	1	7	0-1	
384	61667	0				0	1	7	0-1	
288	63229	0				0	1			
256	63542	0				0	1			
224	63854	0				0	1			
192	64167	0				0	1			
96	64635	0				0	1			
96	64792	0				0	1			
128	65104	0				0	1			
160	65417	0				0	1			
192	65729	0				0	1			
192	65885	0				0	1			
192	66042	0				0	1			
224	66354	0				0	1			
288	66979	0				0	1	7	0-1	
352	67917	0	S			0	1			
