音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）			
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	Event	
256	1869	0				0	1					
256	2313	0				0	1					
384	2758	0				0	1					
384	3202	0				0	1					
256	3646	0				0	1	3			1	
256	4535	0				0	1	7	2-1		1	
0	5424	0				0	1	7	1-2		1	
128	6313	0				0	1					
128	6758	0				0	1					
128	7202	0				0	1				1	
256	8091	0				0	1				1	
512	8980	0				0	1	7	0-2		1	
384	9869	0				0	1					
384	10313	0				0	1					
384	10758	0				0	1				1	
256	11646	0				0	1				1	
0	12535	0				0	1	7	1-2		1	
128	13424	0				0	1					
128	13869	0				0	1					
128	14313	0				0	1				1	
384	15202	0				0	1	7	0-1		1	
256	16091	0				0	1				1	
256	16980	0				0	1					
256	17424	0				0	1					
256	17869	0				0	1	3			1	
384	18313	0				0	1					
512	18758	0				0	1					
512	19202	0				0	1					
384	19646	0				0	1					
384	20091	0				0	1	1				
256	20535	0				0	1					
256	20980	0				0	1					
128	21424	0				0	1				1	
128	21869	0				0	1					
0	22313	0	S			0	1					
0	22758	0				0	1					
128	23202	0				0	1					
128	23646	0				0	1					
256	24091	0				0	1					
256	24535	0				0	1					
344	24980	0				0	1	5				
344	25202	0				0	1	5				
344	25424	0				0	1	5				
344	25646	0				0	1	5				
344	25869	0				0	1	5				
344	26091	0				0	1	5				
344	26313	0				0	1	5				
256	26758	0				0	1					
256	27202	0				0	1					
128	27646	0				0	1					
128	27980	0				0	1					
184	28535	0				0	1	5				
184	28758	0				0	1	5				
184	28980	0				0	1	5				
184	29202	0				0	1	5				
184	29424	0				0	1	5				
184	29646	0				0	1	5				
184	29869	0				0	1	5				
256	30313	0				0	1	1				
512	31202	0				0	1	7	0-2			
256	32091	0				0	1	3			1	
160	32535	0				0	1	5				
160	32758	0				0	1	5				
160	32980	0				0	1	5				
352	33424	0				0	1	5				
352	33646	0				0	1	5				
352	33869	0				0	1	5				
256	34758	0				0	1					
256	35202	0				0	1					
256	35646	0				0	1	6			1	
344	36091	0				0	1	5				
344	36313	0				0	1	5				
344	36535	0				0	1	5				
168	36980	0				0	1	5				
168	37202	0				0	1	5				
168	37424	0				0	1	5				
256	38313	0				0	1					
256	38758	0				0	1					
256	39202	0				0	1				1	
160	39646	0				0	1	5				
160	39869	0				0	1	5				
160	40091	0				0	1	5				
336	40535	0				0	1	5				
336	40758	0				0	1	5				
336	40980	0				0	1	5				
256	41869	0				0	1					
256	42313	0				0	1					
256	42758	0				0	1				1	
352	43202	0				0	1	5				
352	43424	0				0	1	5				
352	43646	0				0	1	5				
168	44091	0				0	1	5				
168	44313	0	S			0	1	5				
168	44535	0				0	1	5				
256	45424	0				0	1					
256	45869	0				0	1					
256	46313	0				0	1	3				
512	47202	0				0	1	7	0-2			
256	48091	0				0	1	7	2-1			
0	48980	0				0	1	7	1-2			
256	49869	0				0	1	7	2-1			
512	50758	0				0	1	7	0-2			
256	51646	0				0	1	7	2-1			
0	52535	0				0	1	7	1-2			
256	53424	0				0	1	1			1	
384	53869	0				0	1					
384	54091	0				0	1					
384	54313	0				0	1					
512	54758	0				0	1					
512	54980	0				0	1					
512	55202	0				0	1					
256	56091	0				0	1	7	2-1			
256	56980	0				0	1	6			1	
128	57424	0				0	1					
128	57646	0				0	1					
128	57869	0				0	1					
0	58313	0				0	1					
0	58535	0				0	1					
0	58758	0				0	1					
128	59202	0				0	1					
256	59646	0				0	1					
256	59869	0				0	1					
256	60091	0				0	1					
256	60313	0				0	1					
256	60535	0				0	1				1	
384	60980	0				0	1					
384	61202	0				0	1					
384	61424	0				0	1					
512	61869	0				0	1					
512	62091	0				0	1					
512	62313	0				0	1					
384	63202	0				0	1					
384	63646	0				0	1					
256	64091	0				0	1	3			1	
128	64535	0				0	1					
128	64758	0				0	1					
128	64980	0				0	1					
0	65424	0				0	1					
0	65646	0				0	1					
0	65869	0				0	1					
256	66758	0				0	1	7	2-1			
256	67202	0				0	1	7	2-1			
256	67646	0	S			0	1	7	2-1			
