音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	音效点需要播的音效名字	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	
512	1583	0				0	1			
0	2083	0				0	1			
512	2583	0				0	1			
256	3083	0				0	1	3		
0	4082	0				0	1			
256	4582	0				0	1			
256	4832	0				0	1			
256	5082	0				0	1			
512	5581	0				0	1			
256	6081	0				0	1			
384	6581	0				0	1			
384	6831	0				0	1			
256	7081	0				0	1			
512	7581	0				0	1			
256	8080	0				0	1			
0	8580	0				0	1			
128	8830	0				0	1			
256	9080	0				0	1			
0	9580	0				0	1			
96	10080	0				0	1	5		
416	10329	0				0	1	5		
96	10579	0				0	1	5		
416	10829	0				0	1	5		
96	11079	0				0	1	5		
256	12079	0				0	1			
384	12579	0				0	1			
256	12828	0				0	1	1		
128	13078	0				0	1			
256	13578	0				0	1			
512	14078	0				0	1			
256	14578	0				0	1			
512	14828	0				0	1			
256	15078	0				0	1			
0	15577	0				0	1			
0	15827	0				0	1			
0	16077	0				0	1			
256	16577	0				0	1			
128	16827	0				0	1			
0	17077	0				0	1			
256	17576	0				0	1			
416	18076	0				0	1	5		
96	18326	0				0	1	5		
416	18576	0				0	1	5		
96	18826	0				0	1	5		
416	19076	0			C2	0	1	5		
256	20075	0	S			0	1			
512	20575	0				0	1			
256	21075	0				0	1			
512	21575	0				0	1			
256	22075	0				0	1			
128	22574	0				0	1			
0	23074	0				0	1			
512	24074	0				0	1			
256	24574	0				0	1			
384	25073	0				0	1			
128	25573	0				0	1			
256	26073	0				0	1			
0	26573	0				0	1			
128	26823	0				0	1			
256	27073	0				0	1			
0	28572	0				0	1			
0	28822	0				0	1			
0	29072	0				0	1			
256	29571	0				0	1			
128	30071	0				0	1			
384	30571	0				0	1			
256	31071	33070				0	1	2		
256	33320	0				0	1			
256	33820	0				0	1			
256	34070	0				0	1			
0	34569	0				0	1			
256	35069	0			C3	0	1	3		
0	35569	0				0	1			
256	36069	0				0	1			
384	36569	0				0	1			
256	36818	0				0	1			
256	37068	0				0	1			
384	37568	0				0	1			
512	38068	0				0	1			
256	38568	0				0	1			
256	38818	0				0	1			
256	39068	0				0	1			
128	39567	0				0	1			
0	40067	0				0	1			
256	40567	0				0	1			
128	41067	0				0	1			
384	41566	0				0	1			
512	42066	0				0	1			
256	42566	0				0	1			
512	42816	0				0	1			
256	43066	0				0	1	3		
0	43566	0				0	1			
128	44065	0				0	1			
256	44565	0				0	1			
0	45065	0				0	1			
256	45565	0				0	1			
96	46065	0				0	1	5		
416	46314	0				0	1	5		
96	46564	0				0	1	5		
416	46814	0				0	1	5		
96	47064	0				0	1	5		
256	48064	0				0	1			
512	48564	0				0	1			
384	48813	0				0	1			
256	49063	0				0	1			
512	49563	0	S			0	1			
416	50063	0				0	1	5		
96	50313	0				0	1	5		
416	50563	0				0	1	5		
96	50813	0				0	1	5		
416	51063	0			C1	0	1	5		
256	51562	0				0	1	1		
128	52062	0				0	1			
384	52562	0				0	1			
512	53062	0				0	1			
256	53561	0				0	1	1		
0	54061	0				0	1			
256	54561	0				0	1			
0	54811	0				0	1			
256	55061	0				0	1	3		
384	55561	0				0	1	1		
512	56060	0				0	1			
256	56560	0				0	1			
384	57060	0				0	1			
256	57560	0				0	1	1		
128	58060	0				0	1			
256	58559	0				0	1			
512	58809	0				0	1			
256	59059	0				0	1	3		
384	59559	0				0	1			
128	60059	0				0	1			
256	60559	0				0	1			
256	60808	0				0	1			
256	61058	0				0	1			
512	61558	0				0	1			
128	62058	0				0	1			
384	62558	0				0	1			
256	62808	0				0	1			
128	63058	0	S		C2	0	1			
