音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt
256	514	0				0	1		
160	1114	0				0	1		
64	1713	0				0	1		
160	2314	0				0	1	7	1-1
256	2914	0				0	1		
352	3513	0				0	1		
448	4113	0				0	1	7	0-1
352	4713	0				0	1	7	0-1
352	5313	0				0	1		
256	5913	0				0	1		
256	6513	0				0	1	7	1-1
256	7113	0				0	1	7	1-1
160	7713	0				0	1	7	1-1
160	8313	0				0	1	7	1-1
256	8914	0				0	1		
256	9514	0				0	1	3	
160	10114	0				0	1	5	
160	10414	0				0	1	5	
160	10714	0				0	1	5	
160	11014	0				0	1	5	
160	11314	0				0	1	5	
64	11914	0				0	1		
160	12814	0				0	1	5	
160	13114	0				0	1	5	
160	13414	0				0	1	5	
160	13714	0				0	1	5	
160	14314	0				0	1		
128	15214	0				0	1		
192	15514	0				0	1		
256	15814	0				0	1		
320	16114	0				0	1		
480	16714	0				0	1		
320	17614	0	S			0	1		
256	17914	0				0	1		
192	18214	0				0	1		
128	18514	0				0	1		
256	19114	0				0	1	3	
160	20014	0				0	1	7	1-1
160	20164	0				0	1	7	1-1
160	20314	0				0	1	7	1-1
160	20614	0				0	1		
224	20914	0				0	1		
224	21214	0				0	1	7	1-1
224	21364	0				0	1	7	1-1
224	21514	0				0	1	7	1-1
224	21814	0				0	1		
384	22414	0				0	1		
320	22714	0				0	1		
256	23014	0				0	1		
192	23314	0				0	1		
256	23614	0				0	1		
256	23764	0				0	1		
256	23914	0				0	1		
256	24214	0				0	1		
128	24814	0				0	1	7	1-1
128	25114	0				0	1	7	1-1
128	25414	0				0	1	7	1-1
192	25714	0				0	1	7	1-1
192	26014	0				0	1		
192	26164	0				0	1		
192	26314	0				0	1		
192	26614	0				0	1		
64	27214	0				0	1		
128	27514	0				0	1		
192	27814	0				0	1		
256	28114	0				0	1		
320	28414	0				0	1	7	0-1
320	28564	0				0	1	7	0-1
320	28714	0				0	1	7	0-1
320	29014	0				0	1		
128	29614	0				0	1	5	
128	29914	0				0	1	5	
128	30214	0				0	1	5	
128	30514	0				0	1	5	
128	30814	0				0	1	5	
128	31114	0				0	1	5	
128	31414	0				0	1	5	
256	32014	0				0	1	7	1-1
224	32314	0				0	1	7	1-1
192	32614	0				0	1	7	1-1
160	32914	0				0	1	7	1-1
160	33214	0				0	1	5	
160	33364	0				0	1	5	
160	33514	0				0	1	5	
128	33814	0				0	1		
256	34414	0				0	1	5	
256	34714	0				0	1	5	
256	35014	0				0	1	5	
256	35314	0				0	1		
256	35614	0				0	1		
256	35914	0				0	1		
256	36214	0				0	1		
384	36814	0				0	1		
512	37114	0				0	1		
384	37414	0				0	1		
512	37714	0				0	1		
512	38014	0				0	1	7	0-1
512	38164	0				0	1	7	0-1
512	38314	0				0	1	7	0-1
512	38614	0				0	1		
384	39214	0				0	1		
384	39514	0				0	1		
224	40114	0				0	1	7	1-1
256	40714	0				0	1	6	
128	41614	0				0	1	7	1-1
128	41914	0				0	1	7	1-1
0	42514	0	S			0	1		
160	43114	0				0	1	5	
160	43414	0				0	1	5	
320	44014	0				0	1		
320	44314	0				0	1		
128	44914	0				0	1		
288	45514	0				0	1	7	0-1
288	45814	0				0	1	7	0-1
448	46414	0				0	1		
448	46714	0				0	1		
288	47314	0				0	1		
256	47914	0				0	1	3	
128	48814	0				0	1		
224	49114	0				0	1		
128	49414	0				0	1		
224	49714	0				0	1		
224	50014	0				0	1		
224	50164	0				0	1		
224	50314	0				0	1		
128	50614	0				0	1		
256	51214	0				0	1	7	1-1
320	51514	0				0	1	7	0-1
384	51814	0				0	1	7	0-1
448	52114	0				0	1	7	0-1
448	52414	0				0	1		
448	52564	0				0	1		
448	52714	0				0	1		
512	53014	0				0	1		
352	53614	0				0	1	7	0-1
288	53914	0				0	1	7	0-1
352	54214	0				0	1	7	0-1
288	54514	0				0	1	7	0-1
288	54814	0				0	1		
288	54964	0				0	1		
288	55114	0				0	1		
352	55414	0				0	1		
192	56014	0				0	1	5	
192	56314	0				0	1	5	
192	56614	0				0	1	5	
192	56914	0				0	1	5	
192	57214	0				0	1	7	1-1
192	57364	0				0	1	7	1-1
192	57514	0				0	1	7	1-1
128	57814	0				0	1		
128	58114	0				0	1		
256	58564	0				0	1		
384	59014	0				0	1		
512	59614	0				0	1	7	0-1
512	59914	0				0	1	7	0-1
512	60214	0				0	1	7	0-1
512	60514	0				0	1	7	0-1
384	60964	0				0	1		
256	61414	0				0	1		
256	62314	0				0	1	3	
96	62614	0				0	1		
192	62914	0				0	1		
320	63364	0				0	1		
192	63814	0	S			0	1		
