音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	Event
256	799	0				0	1			
160	1274	0				0	1			
256	1748	0				0	1			
352	2222	0				0	1			1
448	2697	0				0	1			
308	3171	0				0	1			
208	3645	0				0	1			
352	4120	0				0	1			
352	4357	0				0	1			
352	4594	0				0	1			
256	5068	0				0	1			
400	5543	0				0	1			
256	6017	0				0	1			1
128	6491	0				0	1			
224	6966	0				0	1			
352	7440	0				0	1			
256	7914	0				0	1			
144	8388	0				0	1			
256	8863	0				0	1			
256	9337	0				0	1	3		
256	9811	0				0	1			
160	10286	0				0	1			
64	10760	0				0	1			1
160	11234	0				0	1	7	1-1	
160	11471	0				0	1	7	1-1	
160	11709	0				0	1			
256	12183	0				0	1			
352	12657	0				0	1			1
432	13132	0	S			0	1			
432	13369	0				0	1			
432	13606	0				0	1			
337	14080	0				0	1			
224	14554	0				0	1			
80	15029	0				0	1			1
80	15503	0				0	1			
80	15622	0				0	1	1		
416	16452	0				0	1			
256	16926	0				0	1	3		
256	17400	0				0	1			
160	17875	0				0	1			
64	18349	0				0	1			1
144	18823	0				0	1	7	1-1	
144	19060	0				0	1	7	1-1	
144	19298	0				0	1			
240	19772	0				0	1			
336	20246	0				0	1			1
432	20720	0				0	1			
432	20958	0				0	1			
432	21195	0				0	1	7	0-1	
336	21669	0				0	1	7	0-1	
240	22143	0				0	1	7	1-1	
144	22618	0				0	1	7	1-1	
48	23092	0				0	1	7	1-1	
144	23566	0				0	1	7	1-1	
240	24041	0				0	1	7	1-1	
336	24515	0				0	1	7	0-1	
256	24989	0				0	1	3		
256	25464	0				0	1			
368	25938	0				0	1			
464	26412	0				0	1			
464	26649	0	S			0	1			
464	26768	0				0	1	1		
256	27361	0				0	1			1
256	27835	0				0	1			
176	28072	0				0	1			
256	28309	0				0	1			
336	28547	0				0	1			
256	28784	0				0	1			
160	29258	0				0	1			
64	29732	0				0	1	7	1-1	
160	30207	0				0	1			
160	30681	0				0	1			
160	30800	0				0	1	1		
368	31630	0				0	1			1
368	32104	0				0	1			
256	32578	0				0	1	3		
256	33052	0				0	1			
160	33527	0				0	1			
112	34001	0				0	1			
80	34238	0				0	1			
80	34357	0				0	1	1		
256	34950	0				0	1	7	1-1	1
320	35424	0				0	1			
336	35661	0				0	1			
352	35898	0				0	1			
368	36135	0				0	1			
384	36373	0				0	1			
320	36847	0				0	1			
320	37084	0				0	1			
320	37558	0				0	1			
256	38270	0				0	1			1
176	38744	0				0	1			
96	39218	0				0	1			
176	39693	0				0	1			
256	40167	0	S			0	1			
