音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）			
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	Event	
256	1551	0				0	1	3				
384	2257	0				0	1					
512	2963	0				0	1					
384	3669	0				0	1					
256	4375	0				0	1					
256	5081	0				0	1					
0	5787	0				0	1	7	1-2			
0	6140	0				0	1	7	1-2			
256	6493	0				0	1	7	2-1			
256	6845	0				0	1				1	
256	7022	0				0	1				1	
256	7904	0				0	1	3				
0	8610	0				0	1	7	1-2			
0	8963	0				0	1					
256	9316	0				0	1					
256	9669	0				0	1					
256	10022	0				0	1					
384	10375	0				0	1				1	
384	10551	0				0	1				1	
256	11434	0				0	1					
256	11787	0				0	1					
384	12140	0				0	1					
384	12493	0				0	1					
192	12845	0				0	1	5				
192	13198	0				0	1	5				
192	13375	0				0	1	5				
256	13904	0				0	1					
384	14257	0				0	1				1	
384	14610	0				0	1					
512	14963	0				0	1					
512	15316	0				0	1					
256	15669	0				0	1	7	2-1			
256	16022	0				0	1					
256	16198	0				0	1					
256	16728	0				0	1					
512	17081	0				0	1	7	0-2		1	
512	17257	0				0	1					
512	17434	0				0	1					
512	17610	0				0	1					
384	17787	0				0	1					
384	18140	0				0	1					
256	18493	0				0	1					
256	18669	0				0	1					
256	18845	0				0	1					
256	19022	0				0	1					
256	19551	0				0	1					
128	19904	0				0	1	5			1	
128	20081	0				0	1	5				
128	20257	0				0	1	5				
256	20610	0				0	1					
256	20963	0				0	1					
0	21316	0				0	1	7	1-2			
0	21493	0				0	1					
0	21669	0				0	1					
0	21845	0				0	1					
256	22728	0	S			0	1	3			1	
256	23081	0				0	1					
256	23257	0				0	1					
256	23434	0				0	1					
128	23787	0				0	1					
128	24140	0				0	1					
0	24493	0				0	1					
0	24669	0				0	1					
0	24845	0				0	1					
0	25198	0				0	1					
128	25551	0				0	1				1	
128	25904	0				0	1					
128	26081	0				0	1					
128	26257	0				0	1					
256	26610	0				0	1					
256	26963	0				0	1					
256	27316	0				0	1					
384	27669	0				0	1					
384	28022	0				0	1					
512	28375	0				0	1				1	
512	28728	0				0	1					
512	28904	0				0	1					
512	29081	0				0	1					
512	29434	0				0	1					
256	30140	0				0	1	7	2-1			
256	30316	0				0	1	7	2-1			
256	30493	0				0	1	7	2-1			
256	30845	0				0	1	7	2-1			
256	31551	0				0	1					
256	31904	0				0	1					
384	32257	0				0	1					
384	32610	0				0	1					
256	32963	0				0	1					
256	33140	0				0	1					
256	33316	0				0	1					
256	33669	0				0	1					
256	34022	0				0	1				1	
128	34375	0				0	1				1	
128	34728	0				0	1	1			1	
384	36140	0				0	1	5				
384	36493	0				0	1	5				
128	36845	0				0	1	5			1	
128	37198	0				0	1	5			1	
128	37551	0				0	1	5			1	
384	39669	0				0	1	5			1	
384	40022	0				0	1	5			1	
384	40375	0				0	1	5			1	
256	41434	0				0	1					
256	41787	0				0	1					
256	42140	0				0	1					
128	42493	0				0	1				1	
128	42845	0				0	1				1	
128	43198	0	S			0	1				1	
256	44610	0				0	1	6				
256	44919	0				0	1					
256	45096	0				0	1					
256	45272	0				0	1				1	
384	45801	0				0	1					
384	46331	0				0	1					
384	46684	0				0	1				1	
512	47213	0				0	1					
512	47390	0				0	1					
512	47743	0				0	1					
384	48096	0				0	1				1	
384	48449	0				0	1					
384	48625	0				0	1					
384	48801	0				0	1					
256	49154	0				0	1					
256	49507	0				0	1				1	
128	49860	0				0	1					
128	50213	0				0	1					
0	50566	0				0	1					
0	50919	0				0	1				1	
0	51272	0				0	1					
256	51978	0				0	1	7	2-1			
512	52684	0				0	1	7	0-2			
256	53390	0				0	1	7	2-1			
0	54096	0				0	1	7	1-2			
0	54449	0				0	1					
128	54801	0				0	1					
128	55154	0				0	1					
256	55507	0				0	1					
256	55860	0				0	1					
256	56213	0				0	1					
384	56566	0				0	1				1	
384	56919	0				0	1	1				
256	57978	0				0	1				1	
256	58331	0				0	1					
128	58684	0				0	1					
128	59037	0				0	1					
256	59390	0				0	1				1	
0	60096	0				0	1	7	1-2			
0	60449	0				0	1					
0	60801	0				0	1					
256	61507	0				0	1	7	2-1			
256	61860	0				0	1					
256	62213	0				0	1				1	
384	62919	0				0	1	5				
256	63625	0				0	1					
128	64331	0				0	1	5				
128	64684	0				0	1	5				
128	65037	0				0	1	5				
256	65743	0	S			0	1					
