音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	音效点需要播的音效名字		
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	Event	
256	2872	0				0	1				
512	6117	0				0	1				
256	6818	0				0	1				
0	7520	0				0	1				
256	8222	0				0	1				
256	8573	0				0	1				
256	8923	0				0	1				
512	9625	0				0	1				
256	10327	0				0	1				
512	11029	0				0	1				
384	11380	0				0	1				
256	11730	0				0	1	3		1	
0	12432	0				0	1			1	
384	13135	0				0	1	5			
384	13310	0				0	1	5			
256	13661	0				0	1				
0	14012	0				0	1				
256	14538	0				0	1			1	
512	15240	0				0	1			1	
128	15942	0				0	1	5			
128	16117	0				0	1	5			
256	16468	0				0	1				
512	16819	0				0	1				
256	17346	0				0	1			1	
288	17696	0				0	1	1			
512	18223	0				0	1	7	0-1		
256	18749	0				0	1			1	
0	19626	0				0	1	7	1-1		
256	19977	0				0	1				
512	20854	0				0	1				
256	21556	0				0	1				
256	22258	0				0	1	3			
128	22609	0				0	1				
256	22960	0				0	1			1	
512	23661	0				0	1				
256	24363	0				0	1				
512	25065	0				0	1	7	0-1		
512	25416	0				0	1	7	0-1		
512	25767	0				0	1	7	0-1		
256	26293	0	S			0	1				
0	26819	0				0	1			1	
256	27872	0				0	1	4			
256	28223	0				0	1	4			
256	28574	0				0	1	4			
512	29100	0				0	1				
256	29626	0				0	1			1	
0	30679	0				0	1				
256	31381	0				0	1				
256	32082	0				0	1				
512	32784	0				0	1				
256	33486	0				0	1	4			
256	33837	0				0	1	4			
256	34188	0				0	1	4		1	
512	34889	0				0	1				
256	35591	0				0	1				
0	36293	0				0	1	7	1-1		
256	36995	0				0	1	7	0-1		
0	37521	0				0	1	7	1-1		
256	38047	0				0	1			1	
512	39100	0				0	1				
512	39802	0				0	1				
256	40328	0				0	1				
0	40854	0				0	1			1	
256	41907	0				0	1				
512	42609	0				0	1				
256	43310	0				0	1				
512	44012	0				0	1				
256	44714	0				0	1				
256	45416	0				0	1	3		1	
0	46117	0				0	1				
256	46644	0				0	1				
0	47346	0				0	1	7	1-2		
0	47696	0				0	1	7	1-2		
0	48223	0				0	1			1	
256	48924	0				0	1				
512	49451	0				0	1				
256	50153	0				0	1				
256	50503	0				0	1				
512	51030	0	S			0	1			1	
256	51731	0				0	1				
512	52258	0				0	1				
256	52959	0				0	1				
128	53310	0				0	1				
256	53837	0				0	1	7	0-1	1	
0	54539	0				0	1	7	1-1	1	
256	55240	0				0	1	7	0-1	1	
400	55942	0				0	1	5			
192	56293	0				0	1	5			
400	56644	0				0	1	5			
256	57346	0				0	1	3			
512	58047	0				0	1				
256	58749	0				0	1				
512	59451	0				0	1				
256	59977	0				0	1				
0	60503	0				0	1			1	
512	61556	0				0	1				
256	62258	0				0	1			1	
0	62784	0				0	1	7	1-2		
0	63135	0				0	1	7	1-2		
256	63661	0				0	1			1	
512	64188	0				0	1	7	0-2		
512	64539	0				0	1	7	0-2		
416	64977	0				0	1	1			
256	65416	0				0	1				
512	66117	0				0	1				
256	66995	0				0	1				
256	67346	0				0	1				
256	67872	0				0	1			1	
512	68574	0				0	1				
256	69275	0				0	1				
0	70153	0				0	1				
256	70679	0				0	1				
0	71205	0				0	1				
256	71731	0				0	1				
512	72784	0				0	1				
256	73486	0				0	1			1	
512	74012	0				0	1				
256	74889	0				0	1			1	
0	75416	0				0	1				
384	76644	0				0	1				
128	77346	0				0	1			1	
384	78047	0				0	1			1	
128	78749	0	S			0	1			1	
