音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个	音量0-0.7的值可两位小数	0是打击点	音效点需要播的音效名字
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt
0	1255	0				0	1	0	
128	1561	0				0	1	0	
0	2021	0				0	1	0	
521	2511	0				0	1	0	
384	3215	0				0	1	0	
256	3950	0				0	1	0	
0	4409	0				0	1	0	
0	4869	0				0	1	0	
256	5941	0				0	1	0	
0	7227	0				0	1	0	
256	7931	0				0	1	3	
0	8452	0				0	1	0	
384	8789	0				0	1	0	
521	9248	0				0	1	0	
256	10198	0				0	1	3	
128	10779	0				0	1	0	
256	11392	0				0	1	3	
521	11974	0				0	1	0	
521	12311	0				0	1	0	
256	12739	0				0	1	3	
0	13076	0				0	1	0	
128	14026	0				0	1	1	
256	14669	0				0	1	3	
521	15220	0				0	1	0	
521	15955	0				0	1	0	
256	16568	0				0	1	3	
256	16904	0				0	1	0	
0	18313	0				0	1	0	
0	18589	0				0	1	0	
256	19293	0				0	1	0	
256	20488	0				0	1	3	
128	21437	0				0	1	0	
128	21713	0				0	1	0	
256	22141	0				0	1	3	
256	22417	0				0	1	0	
521	23121	0				0	1	0	
256	24101	0				0	1	3	
256	24898	0				0	1	0	
256	25541	0				0	1	3	
0	26031	0				0	1	0	
256	26766	0				0	1	3	
0	27194	0				0	1	0	
384	28113	0				0	1	0	
521	28420	0				0	1	0	
256	28909	0				0	1	3	
0	29369	0				0	1	0	
256	30043	0				0	1	3	
256	30563	0				0	1	0	
256	31298	0				0	1	3	
521	31788	0				0	1	0	
128	32278	0				0	1	4	
256	32738	0				0	1	0	
256	33228	0				0	1	3	
384	33687	0				0	1	0	
0	34177	0				0	1	0	
256	34667	0				0	1	3	
521	35402	0				0	1	0	
128	35892	0				0	1	0	
256	36413	0				0	1	0	
0	38832	0				0	1	0	
0	39261	0				0	1	0	
521	40639	0				0	1	0	
384	41098	0				0	1	0	
384	41588	0				0	1	0	
256	43058	0				0	1	3	
0	45447	0				0	1	0	
384	45906	0				0	1	0	
521	46213	0	S		C2	0	1	0	
128	46856	0				0	1	0	
256	47315	0				0	1	0	
384	48785	0				0	1	0	
256	49275	0				0	1	0	
256	50224	0				0	1	0	
256	50806	0				0	1	3	
256	51450	0				0	1	3	
521	51939	0				0	1	0	
256	52430	0				0	1	3	
128	52889	0				0	1	0	
256	53379	0				0	1	3	
128	53838	0				0	1	0	
256	54328	0				0	1	3	
384	54818	0				0	1	1	
256	55308	0				0	1	0	
384	56472	0				0	1	0	
256	56962	0				0	1	3	
128	57697	0				0	1	0	
256	58156	0				0	1	3	
384	58646	0				0	1	0	
521	59136	0				0	1	0	
256	59626	0				0	1	0	
256	60086	0				0	1	3	
256	60790	0				0	1	0	
256	61066	0				0	1	3	
521	62015	0				0	1	0	
521	62965	0				0	1	0	
128	63454	0				0	1	0	
256	63944	0				0	1	3	
521	64404	0				0	1	0	
256	64894	0				0	1	3	
256	65384	0				0	1	3	
521	65843	0				0	1	0	
256	66333	0				0	1	3	
128	67436	0				0	1	0	
0	67895	0				0	1	0	
0	68263	0				0	1	0	
0	68783	0				0	1	0	
256	69488	0				0	1	0	
256	70161	0				0	1	3	
256	70651	0				0	1	0	
256	71141	0				0	1	3	
0	71631	0				0	1	0	
256	72091	0				0	1	3	
384	72581	0				0	1	0	
256	73071	0				0	1	3	
521	74020	0				0	1	0	
521	74296	0				0	1	0	
128	75000	0				0	1	0	
128	75459	0				0	1	0	
256	75949	0				0	1	3	
256	76899	0				0	1	3	
256	77879	0				0	1	3	
256	78338	0				0	1	0	
128	78828	0				0	1	0	
521	79318	0				0	1	0	
0	79778	0				0	1	0	
256	80268	0				0	1	3	
384	80758	0				0	1	0	
0	81217	0				0	1	0	
256	81707	0				0	1	3	
384	82411	0				0	1	4	
256	83146	0				0	1	3	
521	83636	0				0	1	0	
384	84096	0				0	1	0	
256	84831	0				0	1	3	
256	86025	0				0	1	3	
521	86515	0				0	1	0	
256	87679	0				0	1	3	
384	88169	0				0	1	0	
256	88628	0				0	1	3	
256	89363	0				0	1	0	
256	90068	0				0	1	3	
256	90343	0				0	1	0	
256	90833	0				0	1	3	
521	91262	0				0	1	0	
384	91568	0				0	1	0	
0	91997	0				0	1	0	
0	92487	0	S		C3	0	1	0	
0	92763	0				0	1	0	
0	93222	0				0	1	0	
256	93712	0				0	1	3	
128	94171	0				0	1	0	
256	94661	0				0	1	3	
0	95396	0				0	1	0	
384	96315	0				0	1	0	
256	96897	0				0	1	3	
256	97540	0				0	1	3	
521	98000	0				0	1	0	
256	98489	0				0	1	3	
256	98979	0				0	1	0	
0	99470	0				0	1	0	
256	99929	0				0	1	3	
256	100419	0				0	1	3	
128	100756	0				0	1	0	
256	101858	0				0	1	0	
256	103053	0				0	1	3	
521	103788	0				0	1	0	
256	104247	0				0	1	3	
521	104737	0				0	1	0	
0	105227	0				0	1	0	
0	105686	0				0	1	0	
256	106176	0				0	1	3	
256	106666	0				0	1	3	
521	107126	0				0	1	0	
128	107616	0				0	1	0	
256	108106	0				0	1	3	
0	108565	0				0	1	0	
128	109055	0				0	1	0	
0	109545	0				0	1	0	
521	110004	0				0	1	0	
256	110494	0				0	1	3	
256	110985	0				0	1	3	
0	111444	0				0	1	0	
256	111934	0				0	1	3	
0	112424	0				0	1	0	
128	112914	0				0	1	0	
0	113373	0				0	1	0	
256	113863	0				0	1	3	
521	114323	0				0	1	0	
521	114813	0				0	1	0	
256	115303	0				0	1	3	
0	115762	0				0	1	0	
128	116252	0				0	1	0	
128	116742	0				0	1	0	
0	117232	0				0	1	0	
256	117691	0				0	1	3	
256	118181	0				0	1	3	
0	118671	0				0	1	0	
521	119131	0				0	1	0	
256	119621	0				0	1	3	
0	120080	0				0	1	0	
521	120570	0				0	1	0	
256	121060	0				0	1	0	
384	121519	0				0	1	0	
256	122009	0				0	1	3	
521	122500	0				0	1	0	
0	122989	0				0	1	0	
256	123449	0				0	1	3	
384	123939	0				0	1	0	
0	124429	0				0	1	0	
256	124888	0				0	1	0	
256	125378	0				0	1	3	
128	125868	0				0	1	0	
384	126328	0				0	1	0	
0	126818	0				0	1	0	
256	127308	0				0	1	3	
128	127767	0				0	1	0	
256	128257	0				0	1	3	
128	129115	0				0	1	0	
128	129696	0				0	1	0	
521	130186	0				0	1	0	
256	130646	0				0	1	3	
384	130952	0				0	1	0	
0	131350	0				0	1	0	
0	131626	0				0	1	0	
256	132085	0				0	1	3	
128	132575	0				0	1	0	
256	133065	0				0	1	3	
256	133524	0				0	1	3	
256	134014	0				0	1	0	
384	134750	0				0	1	0	
256	135454	0				0	1	3	
0	135944	0				0	1	1	
384	136403	0				0	1	0	
256	136893	0				0	1	3	
256	137383	0				0	1	3	
0	137843	0				0	1	0	
256	138333	0				0	1	3	
521	138823	0				0	1	0	
0	139282	0				0	1	0	
521	139772	0				0	1	4	
521	140170	0				0	1	0	
256	140568	0				0	1	3	
384	141671	0				0	1	0	
384	142161	0				0	1	0	
256	142651	0				0	1	3	
521	143600	0				0	1	0	
384	143998	0				0	1	0	
256	144580	0				0	1	3	
0	145070	0				0	1	0	
0	145529	0				0	1	0	
256	145866	0				0	1	3	
521	146234	0				0	1	0	
521	146509	0				0	1	0	
256	146969	0				0	1	3	
128	147459	0				0	1	1	
128	147949	0				0	1	0	
256	148408	0				0	1	3	
0	148898	0				0	1	0	
128	149388	0				0	1	0	
256	149848	0				0	1	3	
384	150338	0				0	1	0	
384	150797	0				0	1	0	
521	151287	0	S		C1	0	1	0	
