音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个	音量0-0.7的值可两位小数	0是打击点	音效点需要播的音效名字
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt
256	2021	0				0	1	0	
256	2940	0				0	1	3	
256	3674	0				0	1	3	
128	4134	0				0	1	0	
256	4869	0				0	1	3	
256	5573	0				0	1	3	
256	6768	0				0	1	3	
256	7472	0				0	1	3	
521	7962	0				0	1	0	
256	8666	0				0	1	3	
521	9064	0				0	1	0	
256	9371	0				0	1	3	
256	9861	0				0	1	3	
256	10565	0				0	1	3	
0	11269	0				0	1	0	
0	11760	0				0	1	0	
256	12464	0				0	1	3	
256	13199	0				0	1	3	
256	13658	0				0	1	0	
256	14393	0				0	1	3	
256	15343	0				0	1	3	
256	16292	0				0	1	3	
256	17241	0				0	1	3	
0	17609	0				0	1	0	
256	18191	0				0	1	3	
521	19018	0				0	1	0	
256	19508	0				0	1	3	
256	20090	0				0	1	3	
384	20825	0				0	1	0	
521	21406	0				0	1	0	
256	21774	0				0	1	3	
256	22723	0				0	1	3	
384	23305	0				0	1	0	
256	23673	0				0	1	3	
256	24040	0				0	1	0	
128	24745	0				0	1	0	
256	25571	0				0	1	3	
128	25939	0				0	1	0	
128	26643	0				0	1	0	
256	27133	0				0	1	3	
384	27470	0				0	1	0	
384	27838	0				0	1	0	
384	28174	0				0	1	0	
256	29032	0	S		C2	0	1	3	
0	29369	0				0	1	0	
256	30349	0				0	1	0	
128	30931	0				0	1	0	
256	31298	0				0	1	3	
128	31666	0				0	1	0	
256	32248	0				0	1	3	
256	33197	0				0	1	3	
384	33687	0				0	1	0	
256	34391	0				0	1	3	
256	34851	0				0	1	3	
256	35341	0				0	1	3	
0	36535	0				0	1	0	
256	37240	0				0	1	3	
0	37729	0				0	1	0	
256	38679	0				0	1	3	
256	39383	0				0	1	3	
256	40578	0				0	1	3	
256	41404	0				0	1	3	
128	41895	0				0	1	0	
256	42966	0				0	1	3	
128	43548	0				0	1	0	
256	43916	0				0	1	3	
256	44375	0				0	1	3	
256	44865	0				0	1	3	
256	46243	0				0	1	0	
256	46794	0				0	1	3	
128	47162	0				0	1	0	
256	47713	0				0	1	3	
521	48663	0				0	1	1	
256	49061	0				0	1	3	
256	49612	0				0	1	3	
256	50102	0				0	1	3	
256	50806	0				0	1	0	
521	51174	0				0	1	0	
384	51511	0				0	1	0	
256	52246	0				0	1	3	
256	52858	0				0	1	3	
384	53440	0				0	1	1	
256	53900	0				0	1	3	
128	54389	0				0	1	0	
521	55339	0				0	1	0	
256	55798	0				0	1	3	
256	56288	0				0	1	3	
128	56656	0				0	1	0	
256	57483	0				0	1	3	
256	57942	0				0	1	3	
256	58555	0	S		C3	0	1	3	
0	59136	0				0	1	0	
256	59626	0				0	1	3	
384	60086	0				0	1	0	
256	60484	0				0	1	3	
256	61280	0				0	1	3	
384	61770	0				0	1	0	
128	62168	0				0	1	1	
256	62965	0				0	1	3	
256	63669	0				0	1	3	
384	64281	0				0	1	4	
256	64863	0				0	1	3	
256	65568	0				0	1	3	
256	66058	0				0	1	3	
256	67007	0				0	1	3	
256	67466	0				0	1	3	
256	67956	0				0	1	3	
256	68906	0				0	1	3	
384	69365	0				0	1	0	
256	69855	0				0	1	3	
521	70345	0				0	1	0	
256	71294	0				0	1	3	
256	71907	0				0	1	3	
128	72244	0				0	1	0	
256	72703	0				0	1	3	
256	73193	0				0	1	3	
256	73653	0				0	1	3	
256	74143	0				0	1	3	
256	74847	0				0	1	3	
256	75582	0				0	1	3	
256	76286	0				0	1	3	
256	76991	0				0	1	3	
256	77481	0				0	1	1	
256	77940	0				0	1	3	
256	78675	0				0	1	3	
256	79379	0				0	1	3	
256	79870	0				0	1	3	
256	80329	0				0	1	3	
256	80819	0				0	1	3	
521	81278	0				0	1	0	
256	81768	0				0	1	3	
128	82228	0				0	1	0	
256	82718	0				0	1	3	
384	83177	0				0	1	0	
256	83912	0				0	1	3	
256	84616	0				0	1	3	
521	85106	0				0	1	0	
256	85566	0				0	1	3	
256	86056	0				0	1	3	
384	86515	0				0	1	0	
256	87005	0				0	1	3	
256	87955	0				0	1	3	
256	88414	0				0	1	3	
256	88904	0				0	1	3	
256	89394	0				0	1	3	
256	89853	0				0	1	3	
256	90343	0				0	1	3	
0	90956	0				0	1	0	
256	91293	0				0	1	3	
256	91752	0				0	1	3	
256	92242	0				0	1	3	
256	92701	0				0	1	0	
256	93191	0	S		C1	0	1	0	
