音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	音效点需要播的音效名字	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	
0	1839	0				0	1			
512	3688	0				0	1			
128	5536	0				0	1			
384	6922	0				0	1			
512	7384	0				0	1			
256	9232	0				0	1			
0	10618	0				0	1			
128	11080	0				0	1			
512	12928	0				0	1			
128	14314	0				0	1			
256	14776	16162				0	1	2		
256	16625	0	S		C2	0	1	3		
512	17549	0				0	1			
256	18473	0				0	1			
384	18935	0				0	1			
128	20321	0				0	1			
384	21245	0				0	1			
0	22169	0				0	1			
128	22631	0				0	1			
256	23093	0				0	1			
512	24017	0				0	1			
256	24941	0				0	1			
512	25865	0				0	1			
128	26789	0				0	1			
384	27713	0				0	1			
256	28175	0				0	1	1		
128	28637	0				0	1			
256	29099	0				0	1			
384	29562	0				0	1			
0	30486	0				0	1			
256	31410	0			C3	0	1	3		
256	31698	0				0	1			
128	32334	0				0	1			
384	33258	0				0	1			
256	33547	0				0	1			
512	34182	0				0	1			
256	35106	0				0	1			
0	36030	0				0	1			
384	36954	0				0	1			
256	37416	0				0	1			
128	37878	0				0	1			
256	38802	0	S		C1	0	1	3		
384	39264	0				0	1	1		
512	39726	0				0	1			
256	40650	0				0	1			
256	41112	0				0	1			
0	42499	0				0	1			
128	42961	0				0	1	1		
256	43423	0				0	1			
512	44347	0				0	1			
256	44809	0				0	1			
512	45271	0				0	1			
256	46195	0				0	1			
256	46484	0				0	1			
384	47119	0				0	1			
0	48043	0				0	1			
256	48967	0				0	1			
0	49891	0				0	1			
256	50815	0				0	1			
512	51277	0				0	1			
384	51739	0				0	1			
0	52663	0				0	1			
128	53125	0				0	1			
256	53587	0				0	1	3		
256	53876	0				0	1			
512	54511	0				0	1			
384	54974	0				0	1			
512	55436	0				0	1			
512	55724	0				0	1			
256	56360	0				0	1			
384	56822	0				0	1			
512	57284	0				0	1			
256	57746	0				0	1	1		
0	58208	0				0	1			
128	58670	0				0	1	1		
256	59132	0				0	1			
0	59594	0				0	1			
128	60056	0	S		C2	0	1			
