音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）				
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	Event	Skin	
128	1126	0				0	1	5					
384	1526	0				0	1	5					
128	1926	0				0	1	5					
384	2326	0				0	1	5					
128	2726	0				0	1	5					
384	3126	0				0	1	5					
256	3926	0				0	1				1		
512	4726	0				0	1						
384	5126	0				0	1						
256	5526	0				0	1						
384	5926	0				0	1	5					
384	6326	0				0	1	5					
384	6726	0				0	1	5					
256	7126	0				0	1				1		
128	7526	0				0	1	7	1-1				
128	7926	0				0	1	7	1-1				
128	8326	0				0	1	7	1-1				
256	8726	0				0	1						
352	9126	0				0	1						
384	9326	0				0	1						
416	9526	0				0	1	7	0-1				
416	9926	0				0	1	7	0-1				
192	10326	0				0	1				1	1	
192	10526	0				0	1						
192	10726	0				0	1						
384	11126	0				0	1	5					
128	11526	0				0	1	5					
384	11926	0				0	1	5					
384	12326	0				0	1	5					
128	12726	0				0	1	5					
128	13126	0				0	1	5					
352	13526	0				0	1				1		
352	13726	0				0	1						
352	13926	0				0	1						
256	14326	0				0	1	7	1-1				
160	14726	0				0	1	7	1-1				
64	15126	0	S			0	1	7	1-1				
0	15526	0				0	1	7	1-1				
0	15726	0				0	1	7	1-1				
0	15926	0				0	1	7	1-1				
256	16326	0				0	1						
256	16526	0				0	1						
256	16726	0				0	1				1		
384	17126	0				0	1						
512	17526	0				0	1						
320	17926	0				0	1						
512	18326	0				0	1						
128	18726	0				0	1	5					
128	19126	0				0	1	5					
128	19526	0				0	1	5					
256	19926	0				0	1				1	1	
320	20326	0				0	1						
416	20526	0				0	1						
512	20726	0				0	1						
384	21126	0				0	1						
256	21526	0				0	1						
384	21926	0				0	1	5					
384	22326	0				0	1	5					
384	22726	0				0	1	5					
256	23126	0				0	1				1		
256	23326	0				0	1						
256	23526	0				0	1						
128	23926	0				0	1						
0	24326	0				0	1						
256	24726	0				0	1						
128	25126	0				0	1						
128	25526	0				0	1						
256	25926	0				0	1						
256	26326	0				0	1	6			1		
512	26726	0				0	1	7	0-2				
512	26926	0				0	1	7	0-2				
512	27126	0				0	1	7	0-2				
256	27526	0				0	1				1	1	
256	28326	0				0	1	4					
256	28526	0				0	1	4					
256	28726	0				0	1	4					
256	28926	0				0	1	4					
256	29126	0				0	1	4					
256	29926	0				0	1						
128	30226	0				0	1						
0	30526	0	S			0	1	7	1-2				
0	30726	0				0	1	7	1-2				
0	30926	0				0	1	7	1-2				
256	31526	0				0	1						
128	31826	0				0	1						
256	32126	0				0	1	7	2-1				
256	32326	0				0	1	7	2-1				
256	32526	0				0	1	7	2-1				
256	32726	0				0	1	7	2-1				
400	33126	0				0	1	5					
400	33326	0				0	1	5					
400	33526	0				0	1	5					
400	33726	0				0	1	5					
400	33926	0				0	1	5					
112	34726	0				0	1	5					
112	34926	0				0	1	5					
112	35126	0				0	1	5					
112	35326	0				0	1	5					
112	35526	0				0	1	5					
256	36326	0				0	1						
384	36726	0				0	1						
384	36926	0				0	1						
384	37126	0				0	1						
256	37526	0				0	1						
256	37726	0				0	1						
256	37926	0				0	1						
0	38326	0				0	1						
128	38726	0				0	1					1	
256	39126	0				0	1	3			1		
256	39326	0				0	1						
256	39526	0				0	1				1		
256	39926	0				0	1	7	2-1				
128	40326	0				0	1	7	1-1		1		
384	40726	0				0	1	7	0-1				
256	41126	0				0	1	7	2-1				
128	41526	0				0	1						
128	41726	0				0	1						
128	41926	0				0	1				1		
256	42326	0				0	1						
128	42726	0				0	1						
256	43126	0				0	1						
256	43526	0				0	1				1		
0	43926	0				0	1						
128	44326	0				0	1						
256	44726	0				0	1	4					
256	44926	0				0	1	4					
256	45126	0				0	1	4			1		
512	45526	0				0	1						
448	45726	0				0	1						
384	45926	0				0	1						
256	46326	0				0	1	7	1-1				
256	46526	0				0	1	7	1-1				
256	46726	0				0	1	7	1-1		1		
512	47126	0				0	1						
384	47526	0				0	1						
256	47926	0				0	1						
256	48126	0				0	1						
256	48326	0				0	1				1		
0	48726	0				0	1						
64	48926	0				0	1						
128	49126	0				0	1						
256	49526	0				0	1	7	0-1				
256	49726	0				0	1	7	0-1				
256	49926	0				0	1	7	0-1		1		
0	50326	0				0	1						
128	50726	0				0	1						
256	51126	0				0	1						
256	51326	0				0	1						
256	51526	0	S			0	1						
