音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个	音量0-0.7的值可两位小数	0是打击点	音效点需要播的音效名字
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt
0	9299	0				0	1	0	
521	10699	0				0	1	0	
128	15933	0				0	1	0	
521	17066	0				0	1	0	
256	18933	0				0	1	0	
0	21299	0				0	1	0	
256	22466	0				0	1	0	
0	23933	0				0	1	0	
128	24833	0				0	1	0	
521	25999	0				0	1	0	
384	27166	0				0	1	0	
521	28433	0				0	1	0	
384	29533	0				0	1	0	
521	30099	0				0	1	0	
256	31866	0				0	1	0	
128	33066	0				0	1	0	
521	34233	0				0	1	0	
128	35399	0				0	1	0	
256	37099	0				0	1	0	
256	37766	0				0	1	3	
128	38333	0				0	1	0	
256	38933	0				0	1	3	
0	39533	0				0	1	0	
128	40099	0				0	1	0	
256	40699	0				0	1	3	
0	41299	0				0	1	0	
521	41866	0				0	1	0	
256	42466	0				0	1	3	
521	43066	0				0	1	0	
128	43633	0				0	1	0	
256	44233	0				0	1	3	
0	44799	0				0	1	0	
128	45399	0				0	1	0	
256	45999	0				0	1	3	
0	46566	0				0	1	0	
256	47166	0				0	1	3	
256	47466	0				0	1	4	
256	47766	0				0	1	3	
256	48066	0				0	1	0	
256	48333	0				0	1	0	
384	48633	0				0	1	5	
128	48933	0				0	1	5	
384	49233	0				0	1	5	
128	49533	0				0	1	5	
384	49833	0				0	1	5	
128	50099	0				0	1	5	
384	50399	0				0	1	5	
128	50699	0				0	1	5	
384	50999	0				0	1	5	
128	51299	0				0	1	5	
384	51599	0				0	1	5	
128	52033	0				0	1	5	
521	52899	0				0	1	0	
256	53199	0	S		C2	0	1	3	
384	53499	0				0	1	5	
128	53933	0				0	1	5	
384	54233	0				0	1	5	
128	54533	0				0	1	5	
0	54966	0				0	1	0	
256	55699	0				0	1	3	
128	56299	0				0	1	0	
256	56566	0				0	1	3	
384	57166	0				0	1	0	
128	57766	0				0	1	0	
128	58066	0				0	1	0	
128	58333	0				0	1	0	
256	58933	0				0	1	3	
521	59533	0				0	1	0	
0	60399	0				0	1	0	
256	60699	0				0	1	3	
0	61299	0				0	1	0	
256	61866	0				0	1	3	
128	62466	0				0	1	4	
128	62766	0				0	1	0	
521	63633	0				0	1	0	
256	64233	0				0	1	3	
0	64799	0				0	1	0	
0	65099	0				0	1	0	
384	65399	0				0	1	5	
128	65699	0				0	1	5	
384	65999	0				0	1	5	
128	66566	0				0	1	5	
256	67166	0				0	1	0	
256	67466	0				0	1	0	
256	67766	0				0	1	0	
384	68333	0				0	1	4	
256	68933	0				0	1	3	
384	69533	0				0	1	0	
0	70099	0				0	1	0	
