音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）		
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	Event
256	1016	0				0	1				
96	1478	0				0	1	5			
96	1709	0				0	1	5			
416	2170	0				0	1	5			
416	2401	0				0	1	5			
256	2863	0				0	1	3		2	1
128	3786	0				0	1				
0	4247	0				0	1				
0	4478	0				0	1				
0	4709	0				0	1				1
256	5632	0				0	1				
384	6093	0				0	1				
384	6324	0				0	1				
384	6555	0				0	1				1
128	7478	0				0	1				
0	7939	0				0	1				
0	8170	0				0	1				
0	8401	0				0	1				1
96	9324	0				0	1	4			
96	9555	0				0	1	4			
96	9786	0				0	1	4			
96	10016	0				0	1	4			
96	10247	0				0	1	4			1
256	11170	0				0	1	3		2	
0	11632	0				0	1				
0	11863	0				0	1				
0	12093	0				0	1				1
256	13016	0				0	1				
384	13478	0				0	1				
384	13709	0				0	1				
384	13939	0				0	1				1
256	14863	0				0	1				
0	15324	0				0	1				
0	15555	0				0	1				
0	15786	0				0	1				1
416	16709	0				0	1	4			
416	16939	0				0	1	4			
416	17170	0				0	1	4			
416	17401	0				0	1	4			
416	17632	0				0	1	4			1
256	18555	0	S			0	1	3		2	
384	19016	0				0	1				
384	19247	0				0	1				
384	19478	0				0	1	7	0-1		
256	19939	0				0	1	7	0-1		
128	20401	0				0	1				
256	20863	0				0	1				
256	21093	0				0	1				
256	21324	0				0	1				1
256	21786	0				0	1	7	2-1		
512	22247	0				0	1	7	0-2		
384	22709	0				0	1				
384	22939	0				0	1				
384	23170	0				0	1				
512	24093	0				0	1				
256	24555	0				0	1				
256	24786	0				0	1				
256	25016	0				0	1				1
384	25478	0				0	1	7	0-1		
128	25939	0				0	1	7	1-1		
0	26401	0				0	1				
0	26632	0				0	1				
0	26863	0				0	1	7	1-1		
256	27324	0				0	1	7	1-1		
512	27786	0				0	1				
512	28247	0				0	1				
512	28478	0				0	1				
512	28709	0				0	1				1
256	29170	0				0	1				
384	29632	0				0	1				
128	30093	0				0	1				
128	30324	0				0	1				
128	30555	0				0	1				1
256	31016	0				0	1				
0	31478	0				0	1				
256	31939	0				0	1				
256	32170	0				0	1				
256	32401	0			C2	0	1	3		2	
384	32863	0				0	1				
128	33324	0				0	1				
384	33786	0				0	1				
128	34247	0				0	1				
384	34709	0				0	1				
128	35170	0				0	1				
384	35632	0				0	1	7	0-1		
384	35863	0				0	1	7	0-1		
384	36093	0	S			0	1	7	0-1		1
256	36555	0				0	1				
128	37016	0				0	1				
0	37478	0				0	1				
128	37939	0				0	1				
256	38401	0				0	1				
384	38863	0				0	1				
512	39324	0				0	1	7	0-1		
512	39555	0				0	1	7	0-1		
512	39786	0				0	1	7	0-1		1
384	40247	0				0	1				
256	40709	0				0	1				
128	41170	0				0	1				
384	41632	0				0	1	5			
384	41863	0				0	1	5			
384	42093	0				0	1	5			
384	42324	0				0	1	5			
384	42555	0				0	1	5			
384	42786	0				0	1	5			
384	43016	0				0	1	5			
384	43247	0				0	1	5			
256	43478	0				0	1				
256	43500	0				0	1	1			
256	45324	0				0	1				
416	45786	0				0	1	5			
416	46016	0				0	1	5			
96	46478	0				0	1	5			
96	46709	0				0	1	5			
256	47170	0			C3	0	1	6		2	1
256	47632	0				0	1				
256	47863	0				0	1				
256	48093	0				0	1				1
512	49016	0				0	1				1
384	49478	0				0	1				
384	49709	0				0	1				
384	49939	0				0	1				1
512	50863	0				0	1				1
128	51324	0				0	1				
128	51555	0				0	1				
128	51786	0				0	1				
0	52709	0				0	1				
128	53170	0				0	1				
128	53401	0				0	1				
128	53632	0				0	1				1
0	53978	0				0	1	1			
256	54555	0				0	1	3		2	1
512	55016	0				0	1	4			
512	55247	0				0	1	4			
512	55478	0				0	1	4			1
0	56170	0				0	1				
0	56401	0				0	1				1
384	56863	0				0	1				
384	57093	0				0	1				
384	57324	0				0	1				1
0	58016	0				0	1	4			
0	58247	0				0	1	4			1
128	58709	0				0	1				
128	58939	0				0	1				
128	59170	0				0	1				
256	59632	0				0	1				
256	59863	0				0	1				
256	60093	0				0	1				
384	60555	0				0	1				
384	60786	0				0	1				
384	61016	0				0	1				1
256	61478	0				0	1				
256	61939	0	S		C1	0	1	3		2	
