音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	音效点需要播的音效名字	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	
256	1534	0				0	1			
512	2382	0				0	1			
0	3255	0				0	1			
0	3641	0				0	1			
0	4052	0				0	1			
256	4848	0				0	1			
0	5696	0				0	1			
256	6107	0				0	1	1		
512	6518	0				0	1			
384	6955	0				0	1			
256	7340	0				0	1			
512	8162	0				0	1			
256	8959	0				0	1			
512	9755	0				0	1			
256	10166	0				0	1			
512	10578	0				0	1			
0	11400	0				0	1			
256	12222	0				0	1			
128	12633	0				0	1	1		
0	13044	0				0	1			
256	13455	0				0	1			
512	13866	0				0	1			
416	14688	0				0	1	5		
96	14894	0				0	1	5		
416	15099	0				0	1	5		
96	15305	0				0	1	5		
416	15510	0			C2	0	1	5		
256	16333	0	S			0	1			
128	16744	0				0	1			
384	17155	0				0	1			
416	17977	0				0	1	5		
96	18182	0				0	1	5		
416	18388	0				0	1	5		
96	18593	0				0	1	5		
416	18799	0				0	1	5		
256	19621	0				0	1			
512	20032	0				0	1			
256	20443	0				0	1			
96	21265	0				0	1	5		
416	21471	0				0	1	5		
96	21676	0				0	1	5		
416	21882	0				0	1	5		
96	22088	0				0	1	5		
176	22499	0				0	1	1		
256	22910	0				0	1			
0	23321	0				0	1			
256	23732	0				0	1			
416	24554	0				0	1	5		
96	24759	0				0	1	5		
416	24965	0				0	1	5		
96	25171	0				0	1	5		
416	25376	0				0	1	5		
256	26198	0				0	1			
0	26609	0				0	1			
128	26815	0				0	1			
256	27020	0				0	1			
512	27843	0				0	1			
256	28254	0				0	1			
256	28459	0				0	1			
384	28665	0	S		C3	0	1			
128	29076	0				0	1			
384	29487	0				0	1			
128	29898	0				0	1			
384	30309	0				0	1			
416	31131	0				0	1	5		
96	31337	0				0	1	5		
416	31542	0				0	1	5		
96	31748	0				0	1	5		
416	31953	0				0	1	5		
256	32364	0				0	1			
384	32775	0				0	1			
128	33186	0				0	1			
384	33598	0				0	1			
256	34009	0				0	1	1		
128	34420	0				0	1			
384	34831	0				0	1			
384	35036	0				0	1			
384	35242	0				0	1			
128	35653	0				0	1			
384	36064	0				0	1			
128	36475	0				0	1			
384	36886	0				0	1			
416	37708	0				0	1	5		
96	37914	0				0	1	5		
416	38119	0				0	1	5		
96	38325	0				0	1	5		
416	38530	0				0	1	5		
256	38941	0				0	1			
128	39353	0				0	1			
384	39764	0				0	1			
128	40175	0				0	1			
384	40586	0				0	1			
512	40997	0				0	1			
384	41202	0				0	1			
256	41408	0				0	1			
128	41613	0				0	1			
0	41819	0	S		C1	0	1			
