音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）		
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	
256	1400	0				0	1				
256	2357	0				0	1				
96	3314	0				0	1	5			
416	3634	0				0	1	5			
96	3953	0				0	1	5			
416	4272	0				0	1	5			
128	5229	0				0	1				
256	5708	0				0	1	1			
384	6187	0				0	1				
96	7144	0				0	1	5			
416	7463	0				0	1	5			
96	7782	0				0	1	5			
416	8102	0				0	1	5			
256	9059	0				0	1	3		2	
512	10336	0				0	1				
512	10655	0				0	1				
512	11293	0				0	1				
256	12251	0				0	1				
256	12570	0				0	1				
256	13208	14165				0	1	2			
240	14804	0				0	1				
272	15123	0				0	1				
240	15442	0				0	1				
272	15761	0				0	1				
240	16080	0				0	1				
272	16400	0				0	1				
256	16719	0			C2	0	1	3		2	
256	17357	0				0	1				
0	17995	0				0	1				
0	18314	0				0	1				
0	18634	0				0	1				
256	19272	0				0	1				
512	19910	0				0	1				
512	20229	0				0	1				
512	20548	0				0	1				
256	21187	0				0	1				
384	21825	0				0	1				
384	22144	0				0	1				
384	22463	0				0	1				
128	23102	0				0	1				
128	23421	0				0	1				
128	24059	0				0	1				
256	24378	0				0	1	3		2	
256	25017	0				0	1				
384	25655	0				0	1				
384	25974	0	S			0	1				
384	26293	0				0	1				
128	26931	0				0	1				
128	27570	0				0	1				
128	27889	0				0	1				
128	28208	0				0	1				
256	28846	0				0	1				
256	29485	0				0	1				
256	29804	0				0	1				
256	30123	0				0	1				
512	30761	0				0	1				
256	31400	0				0	1				
256	32038	0			C3	0	1	3		2	
256	32357	0				0	1				
384	32995	0				0	1	7	1-1		
384	33314	0				0	1	7	1-1		
128	33953	0				0	1	7	0-1		
128	34272	0				0	1	7	0-1		
512	34910	0				0	1	7	0-1		
512	35229	0				0	1	7	0-1		
256	35868	0				0	1				
256	36506	37463				0	1	2			
256	37782	0				0	1				
0	38740	0				0	1				
256	39697	0				0	1	3		2	
256	40017	0				0	1				
512	40655	0				0	1	7	0-1		
512	40974	0				0	1	7	0-1		
128	41612	0				0	1	7	0-1		
128	41931	0				0	1	7	0-1		
384	42570	0				0	1	7	1-1		
384	42889	0				0	1	7	1-1		
384	43208	0				0	1	7	1-1		
256	43687	0				0	1				
256	44006	44963				0	1	2			
256	45442	0				0	1				
240	45761	0				0	1				
272	46080	0				0	1				
256	46240	0				0	1	1			
240	46400	0				0	1				
272	46719	0				0	1				
240	47038	0				0	1				
256	47357	0			C1	0	1	6		2	
0	48314	0				0	1				
192	48793	0				0	1	1			
384	49272	0				0	1				
384	49591	0				0	1				
384	49910	0				0	1				
384	50229	0				0	1				
384	50548	0	S			0	1				
256	51187	0				0	1				
512	52144	0				0	1				
128	53102	0				0	1				
128	53421	0				0	1				
128	53740	0				0	1				
128	54059	0				0	1				
128	54378	0				0	1				
256	55017	0				0	1	3		2	
256	55336	0				0	1				
512	56293	0				0	1				
512	56612	0				0	1				
512	57251	0				0	1				
256	58208	0				0	1				
256	58527	0				0	1				
256	59165	60123				0	1	2			
256	60761	0				0	1				
256	61719	0				0	1				
256	62038	0				0	1				
256	62357	0				0	1				
256	62676	0			C2	0	1	3		2	
0	63634	0				0	1				
368	64591	0				0	1				
400	64910	0				0	1				
368	65229	0				0	1				
400	65548	0				0	1				
368	65868	0				0	1				
256	66506	0				0	1	3		2	
512	67463	0				0	1				
144	68421	0				0	1				
112	68740	0				0	1				
144	69059	0				0	1				
112	69378	0				0	1				
144	69697	0				0	1				
256	70336	0				0	1				
256	70655	0				0	1				
384	71612	0				0	1				
384	71931	0				0	1				
384	72570	0				0	1				
128	73527	0				0	1				
128	73846	0				0	1				
256	74485	76080				0	1	2			
256	76719	0			C3	0	1				
256	77038	0				0	1				
256	77357	0				0	1				
256	77676	0				0	1				
512	77995	0				0	1				
512	78314	0				0	1				
512	78634	0				0	1				
512	78953	0				0	1				
256	79910	0				0	1				
256	80229	0				0	1				
256	80548	0				0	1				
256	80868	0				0	1				
0	81825	0				0	1				
0	82144	0				0	1				
0	82463	0				0	1				
0	82782	0				0	1				
256	83740	0				0	1				
272	84378	0				0	1				
240	84697	0				0	1				
272	85017	0				0	1				
240	85336	0				0	1				
272	85655	0	S		C1	0	1				
