音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个	音量0-0.7的值可两位小数	0是打击点	音效点需要播的音效名字
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt
384	1225	0				0	1	0	
0	3215	0				0	1	0	
384	4287	0				0	1	0	
521	5022	0				0	1	0	
128	6216	0				0	1	0	
384	7196	0				0	1	0	
384	7870	0				0	1	1	
384	8421	0				0	1	0	
384	9708	0				0	1	0	
521	10780	0				0	1	0	
128	12985	0				0	1	0	
384	13842	0				0	1	0	
521	17027	0				0	1	0	
256	17303	0				0	1	3	
256	18191	0				0	1	0	
521	19538	0				0	1	0	
0	20488	0				0	1	0	
521	21008	0				0	1	0	
521	21284	0				0	1	0	
256	22601	0				0	1	0	
128	23673	0				0	1	0	
256	24990	0				0	1	0	
384	25786	0				0	1	0	
384	26123	0				0	1	4	
128	26858	0				0	1	0	
521	27899	0				0	1	0	
0	29338	0				0	1	0	
384	30808	0				0	1	0	
384	31084	0				0	1	0	
384	31635	0	S		C2	0	1	0	
0	33228	0				0	1	0	
0	33565	0				0	1	0	
384	34024	0				0	1	0	
384	34299	0				0	1	0	
256	36413	0				0	1	0	
384	38526	0				0	1	0	
521	39598	0				0	1	0	
256	41711	0				0	1	0	
384	42231	0				0	1	0	
384	42507	0				0	1	0	
384	42783	0				0	1	0	
256	43150	0				0	1	0	
256	43854	0				0	1	3	
521	44896	0				0	1	0	
384	47040	0				0	1	0	
384	47530	0				0	1	0	
384	48081	0				0	1	1	
128	49153	0				0	1	0	
0	50071	0				0	1	0	
384	50990	0				0	1	0	
384	52338	0				0	1	0	
256	52858	0				0	1	0	
256	54451	0				0	1	0	
0	55247	0				0	1	0	
256	55523	0				0	1	3	
521	57850	0				0	1	0	
256	59504	0				0	1	0	
0	61617	0				0	1	0	
0	62689	0				0	1	4	
384	63730	0				0	1	0	
384	64006	0				0	1	0	
256	65078	0				0	1	3	
384	66150	0	S		C3	0	1	0	
256	67191	0				0	1	3	
256	68263	0				0	1	1	
521	69059	0				0	1	0	
256	69334	0				0	1	3	
521	69947	0				0	1	0	
128	70376	0				0	1	0	
0	71172	0				0	1	0	
256	71448	0				0	1	3	
256	72520	0				0	1	3	
256	73561	0				0	1	3	
0	74235	0				0	1	0	
256	74633	0				0	1	0	
256	75705	0				0	1	3	
0	76470	0				0	1	0	
256	76746	0				0	1	3	
256	77818	0				0	1	3	
384	78338	0				0	1	0	
128	79135	0				0	1	0	
256	79931	0				0	1	3	
128	81003	0				0	1	0	
384	81523	0				0	1	0	
384	81799	0				0	1	0	
256	82075	0				0	1	3	
256	83146	0				0	1	0	
128	83636	0				0	1	0	
128	83912	0				0	1	0	
256	84188	0				0	1	3	
0	84708	0				0	1	0	
0	85260	0				0	1	0	
256	86301	0				0	1	3	
384	87373	0				0	1	0	
256	87771	0				0	1	0	
256	88444	0				0	1	3	
384	88965	0				0	1	0	
521	89516	0				0	1	0	
521	89792	0				0	1	0	
0	90282	0				0	1	0	
256	90558	0				0	1	3	
384	91630	0				0	1	4	
256	92671	0				0	1	3	
0	93743	0				0	1	0	
0	94110	0				0	1	0	
256	94815	0				0	1	3	
256	95886	0				0	1	1	
521	96438	0				0	1	4	
256	96928	0				0	1	3	
521	98000	0				0	1	0	
384	98551	0				0	1	0	
256	99041	0				0	1	3	
521	99592	0				0	1	0	
256	100388	0				0	1	0	
256	101185	0				0	1	3	
256	102256	0				0	1	0	
256	103298	0				0	1	3	
521	104370	0				0	1	0	
521	104645	0				0	1	0	
256	105166	0				0	1	0	
256	105441	0				0	1	0	
521	105962	0	S		C1	0	1	0	
