音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	音效点需要播的音效名字	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	
256	1000	0				0	1	3		
512	3182	0				0	1			
0	5363	0				0	1			
512	7545	0				0	1			
256	9727	0				0	1	3		
0	10818	0				0	1			
256	11636	0				0	1			
512	13000	0				0	1			
256	13818	0				0	1			
512	14909	0				0	1			
0	16272	0				0	1			
256	17363	0				0	1			
256	18454	0	S		C2	0	1	3		
512	19545	0				0	1			
256	20636	0				0	1			
512	21727	0				0	1			
0	22818	0				0	1			
256	23909	0				0	1	1		
512	25000	0				0	1			
384	26091	0				0	1	1		
256	27182	0				0	1	3		
512	28272	0				0	1			
256	29363	0				0	1			
0	30454	0				0	1			
512	31545	0				0	1			
256	32636	0				0	1			
512	33727	0				0	1			
0	34818	0				0	1			
256	35909	0			C3	0	1	3		
384	36454	0				0	1			
512	37000	0				0	1			
256	38091	0				0	1			
0	38636	0				0	1			
256	39182	0				0	1			
256	40272	0				0	1			
0	40818	0				0	1			
0	41363	0				0	1			
512	42454	0				0	1			
384	43000	0				0	1			
128	43545	0				0	1			
256	44636	0				0	1	3		
512	45727	0				0	1			
256	46272	0				0	1			
0	46818	0				0	1			
256	47909	0				0	1			
256	48454	0				0	1			
128	49000	0				0	1			
256	50091	51182				0	1	2		
512	52170	0				0	1			
256	53363	0	S		C1	0	1	3		
512	54454	0				0	1			
256	55000	0				0	1			
0	55545	0				0	1			
256	56636	0				0	1			
512	57182	0				0	1			
256	57727	0				0	1	3		
512	58818	0				0	1			
256	59363	0				0	1			
256	59909	0				0	1			
256	61000	0				0	1			
512	61545	0				0	1			
256	62091	0				0	1	3		
384	62636	0				0	1	1		
512	63182	0				0	1			
256	63727	0				0	1			
0	64272	0				0	1			
0	64818	0				0	1	1		
0	65363	0				0	1			
256	65909	0				0	1			
256	66454	0				0	1	3		
128	67000	0				0	1	1		
0	67545	0				0	1			
256	68091	0				0	1			
0	68636	0				0	1			
256	69182	0				0	1	1		
512	69727	0	S		C2	0	1			
