音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 3是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）		
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	Event	
256	956	0				0	1				
128	1533	0				0	1				
256	2110	0				0	1				
256	2687	0				0	1				
256	2975	0				0	1				
256	3264	0				0	1				
384	3696	0				0	1	5			
384	3841	0				0	1	5			
256	4418	0				0	1				
256	4994	0				0	1	3		1	
256	5283	0				0	1	7	2-1		
256	5571	0				0	1	7	2-1		
128	6148	0				0	1				
192	6437	0				0	1				
256	6725	0				0	1				
256	7014	0				0	1	5			
256	7158	0				0	1	5			
256	7302	0				0	1	5			
256	7591	0				0	1	5			
256	7879	0				0	1	5			
256	8168	0				0	1	5			
256	8456	0				0	1	5			
0	9033	0				0	1	1			
0	9610	0				0	1			1	
64	9898	0				0	1				
128	10187	0				0	1				
192	10475	0				0	1				
256	10764	0				0	1				
256	11629	0				0	1	5			
256	11773	0				0	1	5			
256	11918	0				0	1	5			
176	12206	0				0	1				
256	12495	0				0	1				
336	12783	0				0	1				
416	13071	0				0	1				
256	14225	0				0	1	7	0-1	1	
320	14514	0				0	1	7	0-1		
384	14802	0				0	1	7	0-1		
448	15091	0				0	1	7	0-1		
512	15379	0				0	1	7	0-1		
384	15956	0				0	1				
256	16533	0				0	1				
208	16821	0				0	1				
160	17110	0				0	1				
112	17398	0				0	1				
64	17687	0				0	1				
256	18841	0				0	1	6		1	
256	19129	0				0	1	5			
256	19418	0				0	1	5			
256	19706	0				0	1	5			
256	19995	0				0	1	5			
384	21149	0				0	1	7	0-1		
336	21437	0				0	1				
288	21726	0				0	1	7	0-1		
240	22014	0				0	1				
192	22302	0				0	1	7	1-1		
352	23168	0				0	1				
304	23456	0				0	1				
256	23745	0				0	1				
208	24033	0				0	1				
160	24322	0				0	1				
160	24610	0				0	1	5			
160	24898	0				0	1	5			
160	25187	0				0	1	5			
160	25475	0				0	1	5			
224	25764	0				0	1	7	1-1		
272	26052	0				0	1				
320	26341	0				0	1	7	0-1		
368	26629	0				0	1				
416	26918	0				0	1	7	0-1		
288	27495	0				0	1				
256	28071	0				0	1	3		1	
256	28360	0				0	1				
256	28648	0	S			0	1				
160	29225	0				0	1				
240	29514	0				0	1				
320	29802	0				0	1				
384	30379	0				0	1				
320	30668	0				0	1				
256	30956	0				0	1				
256	31389	0				0	1	5			
256	31533	0				0	1	5			
160	32687	0				0	1				
240	32976	0				0	1				
320	33264	0				0	1				
192	33696	0				0	1	7	1-1		
192	33841	0				0	1				
192	34130	0				0	1	7	1-1		
192	34418	0				0	1				
64	34850	0				0	1				
112	34995	0				0	1				
176	35284	0				0	1				
224	35572	0				0	1				
272	35860	0				0	1				
320	36149	0				0	1				
144	36725	0				0	1	7	1-1		
256	37302	0				0	1	3		1	
256	37591	0				0	1	5			
256	37879	0				0	1	5			
384	38456	0				0	1				
320	38745	0				0	1				
256	39033	0				0	1				
128	39610	0				0	1				
192	39899	0				0	1				
256	40187	0				0	1				
256	40620	0				0	1	7	2-1		
256	40764	0				0	1	7	2-1		
48	41918	0				0	1			1	
112	42207	0				0	1				
176	42495	0				0	1				
256	42927	0				0	1				
256	43072	0				0	1				
256	43361	0				0	1				
256	43649	0				0	1				
432	44081	0				0	1				
384	44226	0				0	1				
336	44515	0				0	1				
288	44803	0				0	1				
240	45091	0				0	1				
192	45380	0				0	1				
384	45956	0				0	1	7	0-1		
256	46533	0				0	1	6			
256	46821	0				0	1				
128	47110	0				0	1				
