音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	音效点需要播的音效名字	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	
256	2088	0				0	1			
0	3231	0				0	1			
256	4374	0				0	1			
128	4945	0				0	1			
0	5517	0				0	1			
256	6660	0			C2	0	1	3		
256	7803	0				0	1			
512	8945	0				0	1			
384	9517	0				0	1			
256	10088	0				0	1			
257	11231	0				0	1	3		
512	12374	0				0	1			
256	13517	0				0	1			
128	14088	0				0	1			
0	14660	0				0	1			
256	15803	0				0	1	3		
256	16945	0				0	1			
128	18088	0				0	1			
256	18660	0				0	1			
384	19231	0				0	1			
256	20374	0				0	1	3		
0	21517	0				0	1			
256	22660	0				0	1			
384	23231	0				0	1			
256	23803	0				0	1			
256	24945	0	S		C3	0	1	3		
0	26088	0				0	1			
128	26660	0				0	1			
256	27231	0				0	1			
512	28374	0				0	1			
384	28945	0				0	1			
256	29517	0				0	1			
128	30660	0				0	1			
256	31231	0				0	1			
384	31803	0				0	1			
256	32945	0				0	1			
128	33517	0				0	1			
256	34088	0				0	1	3		
512	35231	0				0	1			
384	35803	0				0	1			
256	36374	0				0	1			
0	37517	0				0	1			
128	38088	0				0	1			
0	38660	0				0	1			
256	39803	0				0	1			
160	40945	0				0	1	5		
352	41231	0				0	1	5		
160	41517	0				0	1	5		
352	41803	0				0	1	5		
160	42088	0				0	1	5		
256	42660	0				0	1			
256	43231	0			C1	0	1	3		
128	43803	0				0	1			
0	44374	0				0	1			
128	44945	0				0	1			
256	45517	0				0	1			
257	46088	0				0	1			
257	46374	0				0	1			
257	46660	0				0	1			
384	47231	0				0	1			
256	47803	0				0	1	3		
128	48374	0				0	1			
256	48945	0				0	1			
128	49517	0				0	1			
0	50088	0				0	1			
256	50660	0				0	1			
256	50945	0				0	1			
256	51231	0				0	1			
512	51803	0				0	1			
256	52374	0				0	1	3		
384	52945	0				0	1			
128	53517	0				0	1			
256	54088	0				0	1			
512	54660	0				0	1			
255	55231	0				0	1			
128	55517	0				0	1			
0	55803	0				0	1			
256	56374	0				0	1			
256	56945	0				0	1	3		
512	57517	0				0	1			
352	58088	0				0	1			
128	58660	0				0	1			
0	59231	0				0	1			
256	59803	0				0	1			
128	60088	0				0	1			
0	60374	0				0	1			
128	60945	0				0	1	1		
256	61517	0	S		C2	0	1	3		
0	62088	0				0	1			
256	62660	0				0	1			
512	63231	0				0	1	4		
512	63517	0				0	1	4		
512	63803	0				0	1	4		
384	64374	0				0	1			
256	64945	0				0	1			
0	65517	0				0	1	4		
0	65803	0				0	1	4		
0	66088	0				0	1	4		
128	66660	0				0	1			
384	67231	0				0	1			
257	67803	0				0	1	4		
257	68088	0				0	1	4		
257	68374	0				0	1	4		
256	68945	0				0	1			
0	69517	0				0	1			
128	70088	0				0	1	4		
128	70374	0				0	1	4		
128	70660	0				0	1	4		
256	71231	0				0	1			
512	71803	0				0	1			
384	72374	0				0	1	4		
384	72660	0				0	1	4		
384	72945	0				0	1	4		
256	73517	0				0	1			
512	74088	0				0	1			
384	74660	0				0	1			
256	74945	0				0	1	1		
128	75231	0				0	1	5		
384	75803	0				0	1	5		
128	76374	0				0	1	5		
384	76945	0				0	1	5		
256	77517	0				0	1			
256	77803	0				0	1			
256	78088	0				0	1			
256	78374	0				0	1			
256	78660	0	S		C3	0	1			
