音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）				
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	Event	Skin	
256	1577	0				0	1						
128	2529	0				0	1						
384	3481	0				0	1						
208	3957	0				0	1						
208	4196	0				0	1						
208	4434	0				0	1						
384	4910	0				0	1						
384	5148	0				0	1						
384	5386	0				0	1						
208	5862	0				0	1				1		
64	6338	0				0	1						
64	6577	0				0	1						
64	6815	0				0	1						
224	7291	0				0	1				1		
384	8243	0				0	1						
384	8481	0				0	1						
384	8719	0				0	1						
256	9196	0				0	1						
384	9672	0				0	1				1		
160	10624	0				0	1				1	1	
368	11577	0				0	1						
368	11815	0				0	1						
368	12053	0				0	1						
160	12529	0				0	1	7	1-1				
160	12767	0				0	1	7	1-1				
160	13005	0				0	1	7	1-1				
304	13481	0				0	1				1		
448	13957	0				0	1	5					
448	14196	0				0	1	5					
448	14434	0				0	1	5					
256	14910	0				0	1				1		
160	15386	0	S			0	1						
48	15862	0				0	1	7	1-1				
48	16100	0				0	1	7	1-1				
48	16338	0				0	1	7	1-1				
256	16815	0				0	1	3		2	1		
496	17291	0				0	1						
496	17529	0				0	1						
496	17767	0				0	1					1	
192	18243	0				0	1	7	1-1		1		
448	18719	0				0	1	7	0-1		1		
128	19196	0				0	1						
128	19434	0				0	1						
128	19672	0				0	1						
304	20148	0				0	1	7	0-1				
304	20386	0				0	1	7	0-1				
304	20624	0				0	1	7	0-1				
240	21100	0				0	1				1		
368	21577	0				0	1						
368	21815	0				0	1						
368	22053	0				0	1						
512	22529	0				0	1				1		
384	23005	0				0	1						
240	23481	0				0	1	7	1-1				
240	23719	0				0	1	7	1-1				
240	23957	0				0	1	7	1-1				
128	24434	0				0	1	7	1-1		1		
384	25386	0				0	1	7	0-1		1		
64	26338	0				0	1	7	1-1		1		
176	26815	0				0	1	1					
448	27291	0				0	1	7	0-1		1		
256	28242	0				0	1						
256	28481	0				0	1						
256	28719	0				0	1						
256	28957	0				0	1						
256	29196	0				0	1						
256	29434	0				0	1						
256	29671	0				0	1						
256	29910	0				0	1						
256	30148	0				0	1						
256	30385	0				0	1						
256	30624	0				0	1						
256	30862	0				0	1						
256	31100	0				0	1					1	
256	31577	0				0	1						
256	32053	0	S			0	1	6		2	1		
256	32529	0				0	1						
256	32767	0				0	1						
256	33005	0				0	1						
128	33481	0				0	1				1		
384	33957	0				0	1				1		
192	34434	0				0	1						
176	34672	0				0	1						
160	34910	0				0	1						
320	35386	0				0	1						
336	35624	0				0	1						
352	35862	0				0	1						
400	36338	0				0	1	5					
400	36576	0				0	1	5					
400	36815	0				0	1	5					
400	37053	0				0	1	5					
400	37291	0				0	1	5					
256	37767	0				0	1	3		2	1		
112	38243	0				0	1	5					
112	38481	0				0	1	5					
112	38719	0				0	1	5					
112	38957	0				0	1	5					
112	39196	0				0	1	5					
256	39672	0				0	1	3		2	1		
176	40148	0				0	1						
176	40386	0				0	1						
176	40624	0				0	1					1	
0	41100	0				0	1	7	1-2		1		
256	41577	0				0	1	7	2-1		1		
448	42053	0				0	1						
416	42291	0				0	1						
384	42529	0				0	1				1		
224	43005	0				0	1						
256	43243	0				0	1						
288	43481	0				0	1				1		
432	43957	0				0	1						
416	44196	0				0	1						
400	44434	0				0	1						
384	44672	0				0	1						
368	44910	0				0	1						
256	45386	0				0	1				1		
80	45862	0				0	1						
96	46100	0				0	1						
112	46338	0				0	1						
128	46577	0				0	1						
144	46815	0				0	1						
256	47291	0				0	1				1		
368	47767	0				0	1						
368	48005	0				0	1						
368	48243	0				0	1						
256	48719	0				0	1				1		
512	49196	0				0	1				1		
352	49672	0				0	1						
320	49910	0				0	1						
288	50148	0				0	1						
160	50624	0				0	1						
192	50862	0				0	1						
224	51100	0				0	1						
256	51577	0				0	1						
368	52053	0				0	1	7	0-1				
368	52291	0				0	1	7	0-1				
368	52529	0				0	1	7	0-1				
368	53005	0	S			0	1				1		
