音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）				
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	Event	Skin	
128	1175	0				0	1				1		
128	2142	0				0	1						
128	2626	0				0	1						
128	2868	0				0	1						
384	3352	0				0	1				1		
384	4078	0				0	1						
384	4320	0				0	1						
384	4562	0				0	1						
384	4804	0				0	1						
128	5287	0				0	1				1		
128	6013	0				0	1						
128	6497	0				0	1						
128	6739	0				0	1						
128	6981	0				0	1						
224	7465	0				0	1						
304	7949	0				0	1						
384	8433	0				0	1						
256	8916	0				0	1				1	1	
128	9400	0				0	1						
128	9884	0				0	1						
128	10126	0				0	1						
128	10368	0				0	1						
128	10610	0				0	1						
256	11094	0				0	1	7	0-1				
256	11336	0				0	1	7	0-1		1		
384	11820	0				0	1						
384	12062	0				0	1						
384	12304	0				0	1						
384	12545	0				0	1						
256	13029	0				0	1	7	1-1				
256	13271	0				0	1	7	1-1		1		
128	13755	0				0	1						
128	13997	0				0	1						
128	14239	0				0	1						
128	14481	0				0	1						
208	14723	0				0	1						
304	15207	0	S			0	1						
400	15691	0				0	1						
496	16174	0				0	1					1	
256	16658	0				0	1	6			1		
256	17142	0				0	1						
256	17626	0				0	1						
256	17868	0				0	1						
256	18110	0				0	1	1					
112	18594	0				0	1						
112	18836	0				0	1						
112	19078	0				0	1						
112	19562	0				0	1				1		
352	20529	0				0	1				1		
352	21013	0				0	1						
352	21497	0				0	1						
352	21739	0				0	1						
96	22465	0				0	1	5					
96	22707	0				0	1	5					
96	22949	0				0	1	5					
96	23191	0				0	1	5					
96	23433	0				0	1	5					
96	23674	0				0	1	5					
96	23916	0				0	1	5					
256	24400	0				0	1				1	1	
256	24884	0				0	1						
416	25368	0				0	1						
416	25610	0				0	1						
304	26336	0				0	1						
304	26578	0				0	1						
304	26820	0				0	1						
160	27304	0				0	1				1		
160	27545	0				0	1	1					
448	28271	0				0	1	7	0-1				
448	28755	0				0	1	7	0-1				
272	29239	0				0	1						
272	29481	0				0	1						
144	30207	0				0	1						
144	30691	0	S			0	1						
384	31174	0				0	1						
384	31416	0				0	1						
384	31658	0				0	1						
384	31900	0				0	1					1	
256	32142	0				0	1	3			1		
144	33110	0				0	1						
144	33352	0				0	1						
144	33594	0				0	1						
144	33836	0				0	1						
304	34239	0				0	1				1		
304	35045	0				0	1						
304	35287	0				0	1						
304	35529	0				0	1						
256	36255	0				0	1				1		
128	36981	0				0	1						
128	37465	0				0	1						
304	37949	0				0	1						
304	38433	0				0	1						
416	38916	0				0	1	5					
416	39158	0				0	1	5					
416	39400	0				0	1	5					
256	39884	0				0	1	7	2-1		1		
0	40368	0				0	1	7	1-2				
112	40852	0				0	1						
112	41094	0				0	1						
112	41336	0				0	1						
256	41820	0				0	1	7	2-1		1		
512	42304	0				0	1	7	0-2				
384	42787	0				0	1						
384	43029	0				0	1						
384	43271	0				0	1						
256	43755	0				0	1	7	2-1		1		
256	44239	0				0	1	7	2-1				
128	44723	0				0	1						
128	44965	0				0	1						
128	45207	0				0	1						
128	45691	0				0	1	7	1-1		1		
384	46174	0				0	1	7	0-1				
224	46658	0				0	1						
224	46900	0				0	1						
224	47142	0	S			0	1						
