音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）			
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	Event	
240	2414	0				0	1					
272	2700	0				0	1					
240	2985	0				0	1					
272	3271	0				0	1					
256	3557	0				0	1	3			1	
64	4699	0				0	1				1	
256	5271	0				0	1	1				
448	5842	0				0	1				1	
176	6985	0				0	1					
336	7557	0				0	1					
176	8128	0				0	1				1	
432	9271	0				0	1				1	
256	9842	0				0	1	1				
80	10414	0				0	1				1	
336	11557	0				0	1					
176	12128	0				0	1					
256	12700	0	S			0	1	3			1	
416	13271	0				0	1	5				
416	13557	0				0	1	5				
416	13842	0				0	1	5				
96	14414	0				0	1	5				
96	14699	0				0	1	5				
96	14985	0				0	1	5				
256	15557	0				0	1	7	0-1			
304	16128	0				0	1	7	0-1			
336	16414	0				0	1	7	0-1			
368	16699	0				0	1	7	0-1			
400	16985	0				0	1	7	0-1			
432	17271	0				0	1	7	0-1			
416	17842	0				0	1	5				
416	18128	0				0	1	5				
416	18414	0				0	1	5				
96	18985	0				0	1	5				
96	19271	0				0	1	5				
96	19557	0				0	1	5				
256	20128	0				0	1	7	1-1			
208	20699	0				0	1	7	1-1			
176	20985	0				0	1	7	1-1			
144	21271	0				0	1	7	1-1			
112	21557	0				0	1	7	1-1			
80	21842	0				0	1	7	1-1		1	
256	22414	0				0	1	6			1	
400	22985	0				0	1	7	0-1			
112	23557	0				0	1	7	1-1		1	
320	24128	0	S			0	1					
320	24414	0				0	1					
320	24699	0				0	1				1	
112	25271	0				0	1	7	1-1			
400	25842	0				0	1	7	0-1		1	
160	26414	0				0	1					
160	26699	0				0	1					
160	26985	0				0	1				1	
400	27557	0				0	1	7	0-1			
112	28128	0				0	1	7	1-1		1	
0	28699	0				0	1	7	1-2			
0	28985	0				0	1	7	1-2			
0	29271	0				0	1	7	1-2		1	
128	29842	0				0	1	7	1-1			
400	30414	0				0	1	7	0-1		1	
512	30985	0				0	1	7	0-2			
512	31271	0				0	1	7	0-2			
512	31557	0				0	1	7	0-2		1	
400	32128	0				0	1	7	0-1			
112	32699	0				0	1	7	1-1		1	
256	33271	0				0	1	4				
256	33557	0				0	1	4				
256	33842	0				0	1	4			1	
400	34414	0				0	1	7	1-1			
112	34985	0				0	1	7	0-1		1	
256	35557	0				0	1	4				
256	35842	0				0	1	4				
256	36128	0				0	1	4			1	
128	36699	0				0	1	5				
128	36985	0				0	1	5				
128	37271	0				0	1	5				
384	37842	0				0	1	5				
384	38128	0				0	1	5				
384	38414	0				0	1	5				
288	38985	0				0	1					
224	39271	0				0	1					
288	39557	0				0	1					
224	39842	0				0	1					
288	40128	0	S			0	1					
