音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor
256	2349	0				0	1			
256	2830	0				0	1			
256	3310	0				0	1			
0	4511	0				0	1			
256	5232	0				0	1			
512	6192	0				0	1			
256	7393	0				0	1			
256	7874	0				0	1			
256	8594	10035				0	1	2		
224	10876	0				0	1			
320	11236	0				0	1			
416	11597	0				0	1			
512	11957	0				0	1			
256	12197	0				0	1	1		
384	12918	0				0	1			
256	13158	0				0	1	1		
256	13878	0				0	1	3		
128	14359	0				0	1			
0	14839	0				0	1			
256	15800	0				0	1			
416	16280	0				0	1	5		
416	16521	0				0	1	5		
160	17241	0				0	1	5		
160	17481	0				0	1	5		
480	18202	0				0	1	5		
480	18442	0				0	1	5		
256	19163	0	S			0	1			
256	19643	0				0	1	3		
0	20124	0				0	1	7	1-1	
0	20364	0				0	1	7	1-1	
256	21084	0				0	1	7	1-1	
256	21325	0				0	1	7	1-1	
512	22045	0				0	1	7	0-1	
512	22285	0				0	1	7	0-1	
384	23486	0				0	1			
128	24447	0				0	1			
256	25408	0				0	1			
96	25887	0				0	1			
64	26127	0				0	1			
32	26368	0				0	1			
256	26849	0				0	1			
512	27329	0				0	1			
384	27810	0				0	1			
384	28050	0				0	1			
128	28770	0				0	1	5		
128	29011	0				0	1	5		
256	29731	0				0	1			
256	29971	0				0	1			
256	30692	0				0	1			
256	31172	0				0	1	3		
288	31653	0				0	1			
384	31893	0				0	1			
192	32613	0				0	1			
96	32854	0				0	1			
352	33574	0				0	1			
448	33814	0				0	1			
256	34535	0				0	1			
256	35015	0				0	1	3		
0	35496	0				0	1	7	1-1	
0	35736	0				0	1	7	1-1	
256	36457	0	S			0	1	7	1-1	
256	36697	0				0	1	7	1-1	
512	37417	0				0	1	7	0-1	
512	37657	0				0	1	7	0-1	
512	37898	0				0	1			
384	38018	0				0	1	1		
256	38858	0				0	1	3		
128	39819	0				0	1			
384	40780	0				0	1			
192	41501	0				0	1			
128	41741	0				0	1			
64	41981	0				0	1			
128	42702	0				0	1	7	1-1	
384	43422	0				0	1	7	0-1	
192	44623	0				0	1			
0	45584	0				0	1			
256	46545	0				0	1	6		
352	47025	0				0	1			
448	47265	0				0	1			
192	47986	0				0	1			
96	48226	0				0	1			
320	48947	0				0	1			
416	49187	0				0	1			
256	49907	0				0	1			
256	50388	0				0	1	3		
512	50868	0				0	1	7	0-1	
512	51108	0				0	1	7	0-1	
256	51829	0				0	1	7	1-1	
256	52069	0				0	1	7	1-1	
0	52790	0				0	1	7	1-1	
0	53030	0				0	1	7	1-1	
0	53270	0				0	1			
160	53390	0				0	1	1		
256	54231	0				0	1			
64	55192	0				0	1			
384	56152	0				0	1			
384	56633	0				0	1			
384	57113	0				0	1			
256	58074	0				0	1			
96	59035	0				0	1			
416	59995	0	S			0	1			
