音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个	音量0-0.7的值可两位小数	0是打击点	音效点需要播的音效名字
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt
256	1066	0				0	1	0	
521	1533	0				0	1	0	
256	2033	0				0	1	3	
521	2533	0				0	1	0	
256	3033	0				0	1	3	
0	3533	0				0	1	0	
256	3999	0				0	1	3	
0	4499	0				0	1	1	
256	4999	0				0	1	3	
521	5499	0				0	1	0	
256	5966	0				0	1	3	
384	6466	0				0	1	0	
256	6966	0				0	1	3	
128	7466	0				0	1	0	
256	7933	0				0	1	3	
256	8433	0				0	1	3	
384	8933	0				0	1	0	
256	9433	0				0	1	3	
521	9899	0				0	1	0	
256	10399	0				0	1	3	
128	10899	0				0	1	0	
384	11399	0				0	1	0	
128	11899	0				0	1	0	
256	12366	0				0	1	3	
128	12866	0				0	1	4	
256	13366	0				0	1	3	
128	13833	0				0	1	0	
256	14333	0				0	1	3	
256	14833	0				0	1	0	
256	15333	0				0	1	3	
256	15833	0				0	1	0	
256	16299	0				0	1	3	
128	16799	0				0	1	0	
256	17299	0				0	1	3	
521	17766	0				0	1	0	
256	18266	0				0	1	3	
521	18766	0				0	1	1	
256	19266	0				0	1	3	
256	19766	0				0	1	0	
256	20233	0				0	1	3	
521	20733	0				0	1	0	
256	21233	0				0	1	3	
256	21699	0				0	1	0	
256	21966	0				0	1	0	
384	22699	0				0	1	0	
256	23199	0				0	1	3	
256	23699	0				0	1	3	
256	24166	0				0	1	3	
0	24666	0				0	1	0	
256	25166	0				0	1	3	
256	26133	0				0	1	3	
521	26633	0				0	1	1	
256	27133	0				0	1	3	
128	27633	0				0	1	0	
256	28099	0				0	1	3	
128	28599	0				0	1	0	
256	29099	0				0	1	3	
384	29566	0				0	1	0	
256	30066	0				0	1	3	
384	30566	0				0	1	0	
256	31066	0				0	1	3	
521	31566	0				0	1	0	
256	32033	0				0	1	3	
256	32533	0				0	1	0	
256	33033	0				0	1	3	
521	34033	0				0	1	0	
128	34499	0				0	1	0	
256	34999	0				0	1	3	
521	35499	0				0	1	0	
521	35966	0				0	1	0	
384	36466	0				0	1	0	
256	36966	0				0	1	3	
521	37466	0				0	1	0	
256	37966	0				0	1	3	
256	38433	0				0	1	3	
256	38933	0				0	1	3	
521	39433	0				0	1	0	
521	40666	0				0	1	0	
0	41866	0				0	1	0	
256	42866	0				0	1	3	
0	43366	0				0	1	0	
384	44099	0				0	1	0	
521	44599	0	S		C2	0	1	0	
521	46299	0				0	1	0	
521	46799	0				0	1	0	
256	47299	0				0	1	3	
128	48033	0				0	1	0	
128	48533	0				0	1	0	
128	49266	0				0	1	0	
256	50733	0				0	1	0	
256	51233	0				0	1	3	
256	51499	0				0	1	0	
256	51966	0				0	1	3	
128	52466	0				0	1	0	
256	53699	0				0	1	4	
256	54166	0				0	1	0	
521	54666	0				0	1	0	
128	55166	0				0	1	0	
256	55666	0				0	1	3	
0	56133	0				0	1	0	
256	56633	0				0	1	3	
256	57133	0				0	1	0	
256	57633	0				0	1	3	
256	58099	0				0	1	3	
256	58599	0				0	1	3	
256	59099	0				0	1	0	
256	59599	0				0	1	3	
256	60066	0				0	1	3	
256	60566	0				0	1	3	
128	61066	0				0	1	0	
0	61566	0				0	1	0	
128	62033	0				0	1	0	
256	62533	0				0	1	3	
0	63033	0				0	1	0	
256	63533	0				0	1	3	
256	64499	0				0	1	3	
256	64999	0				0	1	0	
256	65499	0				0	1	3	
0	65999	0				0	1	0	
256	66466	0				0	1	3	
256	66966	0				0	1	0	
256	67466	0				0	1	3	
256	67933	0				0	1	3	
256	68433	0				0	1	3	
256	68933	0				0	1	3	
256	69433	0				0	1	3	
256	69899	0				0	1	0	
256	70399	0				0	1	3	
384	70899	0				0	1	0	
256	71866	0				0	1	3	
521	72366	0				0	1	0	
256	72866	0				0	1	3	
256	73833	0				0	1	3	
0	74333	0				0	1	0	
256	74833	0				0	1	3	
256	75799	0				0	1	3	
0	76299	0				0	1	4	
521	76799	0				0	1	0	
256	77766	0				0	1	3	
521	78266	0				0	1	0	
256	78533	0				0	1	3	
384	78999	0				0	1	0	
256	79733	0				0	1	3	
256	80233	0				0	1	0	
256	80733	0				0	1	3	
128	81233	0				0	1	0	
256	81699	0				0	1	3	
0	82199	0				0	1	0	
256	82466	0				0	1	3	
384	82933	0				0	1	1	
384	83199	0				0	1	0	
256	83666	0				0	1	3	
128	84166	0				0	1	0	
256	84666	0				0	1	3	
256	85166	0				0	1	0	
256	85666	0				0	1	3	
521	86133	0				0	1	0	
256	86399	0				0	1	3	
128	87566	0				0	1	0	
256	88133	0				0	1	0	
0	88599	0				0	1	0	
521	89599	0				0	1	0	
384	90133	0				0	1	0	
521	90566	0				0	1	0	
0	91066	0				0	1	0	
128	91566	0	S		C3	0	1	0	
384	92566	0				0	1	0	
384	93533	0				0	1	0	
521	94066	0				0	1	0	
256	94499	0				0	1	3	
384	94999	0				0	1	0	
521	95499	0				0	1	0	
256	95999	0				0	1	4	
521	96433	0				0	1	0	
128	96999	0				0	1	0	
384	97466	0				0	1	0	
384	98433	0				0	1	0	
521	99199	0				0	1	0	
128	100399	0				0	1	0	
256	100899	0				0	1	0	
521	101399	0				0	1	0	
521	101866	0				0	1	0	
256	102366	0				0	1	3	
256	102866	0				0	1	3	
521	103333	0				0	1	0	
256	103599	0				0	1	3	
256	104333	0				0	1	3	
256	104833	0				0	1	3	
384	105799	0				0	1	0	
256	106299	0				0	1	3	
256	106799	0				0	1	3	
256	107533	0				0	1	3	
256	108266	0				0	1	3	
256	108766	0				0	1	3	
256	109266	0				0	1	3	
256	109733	0				0	1	0	
256	109999	0				0	1	3	
256	110733	0				0	1	3	
256	111466	0				0	1	3	
256	112199	0				0	1	3	
256	112699	0				0	1	3	
256	113199	0				0	1	3	
256	113666	0				0	1	3	
256	114166	0				0	1	3	
256	114666	0				0	1	3	
256	115166	0				0	1	3	
256	116133	0				0	1	3	
256	116633	0				0	1	3	
256	117133	0				0	1	3	
384	117599	0				0	1	0	
256	117866	0				0	1	3	
256	118599	0				0	1	3	
256	119099	0				0	1	3	
256	119833	0				0	1	3	
256	120566	0				0	1	3	
256	121066	0				0	1	3	
256	121799	0				0	1	3	
256	122533	0				0	1	3	
256	123033	0				0	1	3	
384	123499	0				0	1	0	
256	123766	0				0	1	3	
256	124266	0				0	1	3	
128	124733	0				0	1	0	
256	124999	0				0	1	3	
256	125733	0				0	1	3	
256	126233	0				0	1	3	
0	126699	0				0	1	0	
256	126966	0				0	1	3	
256	127699	0				0	1	3	
256	128433	0				0	1	3	
256	128933	0				0	1	3	
256	129666	0				0	1	3	
256	130399	0				0	1	3	
256	130899	0				0	1	3	
256	131633	0				0	1	3	
256	132133	0				0	1	3	
256	132866	0				0	1	3	
256	133599	0				0	1	3	
256	134099	0				0	1	3	
256	135066	0				0	1	3	
256	135566	0				0	1	3	
256	136066	0				0	1	3	
128	136533	0				0	1	0	
256	136799	0				0	1	3	
256	137533	0				0	1	3	
256	138033	0				0	1	3	
384	138499	0				0	1	0	
256	138766	0				0	1	3	
256	139499	0				0	1	3	
256	139999	0				0	1	3	
256	140732	0				0	1	3	
256	141466	0				0	1	3	
256	141966	0				0	1	3	
256	142699	0				0	1	3	
256	143432	0				0	1	3	
256	143932	0				0	1	3	
256	144666	0				0	1	3	
256	145166	0				0	1	3	
521	146832	0				0	1	0	
256	147366	0				0	1	3	
256	147632	0				0	1	0	
256	148599	0				0	1	3	
384	149099	0	S		C1	0	1	0	
