音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor
384	1238	0				0	1			
256	1729	0				0	1			
128	2221	0				0	1			
128	2467	0				0	1			
128	2713	0				0	1			
0	3205	0				0	1	7	1-1	
256	3697	0				0	1	7	1-1	
512	4188	0				0	1	7	0-1	
384	5172	0				0	1			
256	5664	0				0	1			
128	6156	0				0	1			
128	6401	0				0	1			
128	6647	0				0	1			
256	7631	0				0	1	3		
256	8615	0				0	1			
128	9106	0				0	1			
128	9352	0				0	1			
128	9598	0				0	1			
256	10582	0				0	1			
384	11074	0				0	1			
384	11319	0				0	1			
384	11565	0				0	1			
256	12057	0				0	1			
256	12303	0				0	1			
256	12549	0				0	1			
256	13041	0				0	1	7	1-1	
0	13533	0				0	1	7	1-1	
256	14024	0				0	1	7	1-1	
512	14516	0				0	1	7	0-1	
256	15008	0				0	1	3		
128	15992	0				0	1			
128	16238	0				0	1			
128	16483	0				0	1			
128	16729	0				0	1			
384	17959	0				0	1	5		
384	18205	0				0	1	5		
384	18451	0				0	1	5		
384	18697	0				0	1	5		
384	18942	0				0	1	5		
256	19926	0				0	1			
256	20172	0				0	1			
256	20418	0				0	1			
256	20664	0				0	1			
128	20910	0				0	1	1		
384	21893	0				0	1			
128	22877	0				0	1			
384	23860	0				0	1	7	0-1	
384	24352	0				0	1	7	0-1	
384	24844	0				0	1	7	0-1	
256	25828	0				0	1			
0	26811	0				0	1			
256	27795	0				0	1			
352	28041	0				0	1	1		
512	28778	0				0	1			
512	29024	0				0	1			
512	29270	0				0	1			
512	29516	0				0	1			
512	29762	0				0	1			
256	30746	0	S			0	1			
256	31729	0				0	1	3		
0	32713	0				0	1			
256	33697	0				0	1			
512	34680	0				0	1			
384	35664	0				0	1			
384	35910	0				0	1			
384	36156	0				0	1			
384	36401	0				0	1			
256	36647	0				0	1	1		
0	37631	0				0	1			
0	38615	0				0	1			
0	39598	0				0	1	7	1-1	
256	40090	0				0	1	7	1-1	
512	40582	0				0	1			
512	40828	0				0	1			
512	41074	0				0	1			
512	41319	0				0	1			
512	41565	0				0	1			
256	42549	0				0	1			
384	43533	0				0	1	7	0-1	
384	44024	0				0	1	7	0-1	
384	44516	0				0	1	7	0-1	
160	45254	0				0	1	5		
160	45500	0				0	1	5		
160	45746	0				0	1	5		
160	45992	0				0	1	5		
160	46237	0				0	1	5		
256	47467	0				0	1			
256	47959	0				0	1			
256	48451	0				0	1	3		
512	49434	0				0	1			
192	49680	0				0	1	1		
256	50418	0				0	1			
0	51401	0				0	1			
384	52385	0				0	1	5		
384	52877	0				0	1	5		
128	53369	0				0	1	5		
128	53860	0				0	1	5		
384	54352	0				0	1			
384	54844	0				0	1			
256	55090	0				0	1	1		
256	56319	0				0	1	3		
160	57303	0				0	1	5		
160	57549	0				0	1	5		
160	57795	0				0	1	5		
160	58287	0				0	1	5		
256	59270	0				0	1			
384	59516	0				0	1			
512	59762	0				0	1			
384	60008	0	S			0	1			
256	60254	0				0	1			
384	60500	0				0	1			
512	60746	0				0	1			
384	60992	0				0	1			
256	61237	0				0	1			
384	61729	0				0	1			
384	62467	0				0	1			
96	63451	0				0	1			
96	63697	0				0	1			
96	63942	0				0	1			
96	64188	0				0	1			
96	64434	0				0	1			
224	64680	0				0	1	1		
352	65418	0				0	1			
352	65664	0				0	1			
352	65910	0				0	1			
352	66156	0				0	1			
352	66401	0				0	1			
256	67139	0				0	1			
0	67631	0				0	1			
256	68123	0				0	1			
512	68615	0				0	1			
256	69106	0				0	1			
0	69598	0				0	1			
256	70336	0				0	1	6		
384	71074	0				0	1			
384	71319	0				0	1			
384	71565	0				0	1			
384	71811	0				0	1			
384	72057	0				0	1			
256	73041	0				0	1	7	1-1	
0	74024	0				0	1	7	1-1	
64	75008	0				0	1	5		
64	75254	0				0	1	5		
64	75500	0				0	1	5		
64	75746	0				0	1	5		
64	75992	0				0	1	5		
256	76975	0				0	1	7	1-1	
256	78205	0				0	1	7	1-1	
384	79188	0				0	1			
384	79434	0				0	1			
384	79680	0				0	1			
384	79926	0				0	1			
128	81156	0				0	1			
128	81401	0				0	1			
128	81647	0				0	1			
128	81893	0				0	1			
0	82877	0				0	1			
256	83369	0				0	1			
512	83860	0				0	1			
256	84352	0				0	1			
512	84844	0				0	1			
256	85336	0				0	1			
160	85582	0				0	1	1		
256	86319	0				0	1	3		
128	87303	0				0	1			
128	87549	0				0	1			
128	87795	0				0	1			
128	88287	0				0	1			
384	88778	0				0	1			
384	89270	0				0	1			
96	89762	0				0	1			
160	90008	0				0	1	1		
96	90746	0				0	1			
256	91729	0				0	1			
416	92713	0				0	1			
416	93205	0				0	1			
416	93697	0	S			0	1			
