音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）			
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	Event	
256	910	0				0	1	3			1	
256	1323	0				0	1					
384	1763	0				0	1				1	
384	2151	0				0	1					
256	2539	0				0	1				1	
256	2979	0				0	1					
512	3392	0				0	1	7	0-2			
512	3574	0				0	1	7	0-2			
512	3780	0				0	1	7	0-2			
512	3961	0				0	1	7	0-2			
256	4194	0				0	1	7	1-1		1	
256	4582	0				0	1					
128	5048	0				0	1	5				
128	5229	0				0	1	5				
128	5436	0				0	1	5				
384	6651	0				0	1	5				
384	6858	0				0	1	5				
256	7039	0				0	1					
256	7246	0				0	1					
256	7453	0				0	1				1	
256	7867	0				0	1	3				
384	8306	0				0	1	5				
384	8487	0				0	1	5				
256	8668	0				0	1					
256	8875	0				0	1					
256	9108	0				0	1					
512	9522	0				0	1	7	0-2			
512	9936	0				0	1	7	0-2			
256	10349	0				0	1	7	2-1			
128	10737	0				0	1	5			1	
128	10944	0				0	1	5				
256	11151	0				0	1					
256	11410	0				0	1					
384	11642	0				0	1	5				
384	11849	0				0	1	5				
256	12056	0				0	1	1				
256	12806	0				0	1					
256	13453	0				0	1					
256	13660	0				0	1					
256	13866	0				0	1					
256	14048	0				0	1				1	
256	14461	0				0	1	3				
384	14901	0				0	1					
384	15108	0				0	1					
512	15315	0				0	1					
512	15522	0				0	1					
512	15703	0				0	1					
256	16142	0				0	1	7	2-1			
128	16556	0				0	1	5				
128	16737	0				0	1	5				
256	16944	0				0	1					
256	17151	0				0	1					
256	17384	0				0	1				1	
128	17798	0				0	1					
128	18263	0				0	1					
0	18677	0				0	1					
0	18884	0				0	1					
128	19479	0				0	1					
128	19892	0				0	1					
256	20332	0				0	1					
256	20513	0				0	1					
256	20746	0				0	1				1	
256	21160	0				0	1					
256	21548	0				0	1				1	
0	21987	0				0	1	7	1-2			
0	22427	0				0	1				1	
256	23229	0				0	1	7	2-1			
256	23616	0	S			0	1	7	2-1			
256	24056	0				0	1	6			1	
256	24470	0				0	1					
128	24910	0				0	1	5				
128	25142	0				0	1	5				
256	25323	0				0	1					
256	25504	0				0	1					
256	25711	0				0	1					
256	26125	0				0	1					
256	26565	0				0	1					
256	26746	0				0	1					
512	26979	0				0	1	7	0-2			
512	27211	0				0	1	7	0-2			
512	27418	0				0	1	7	0-2			
352	27806	0				0	1					
352	28220	0				0	1					
352	28660	0				0	1	1				
352	29513	0				0	1					
256	30315	0				0	1					
256	30522	0				0	1	3			1	
128	31116	0				0	1					
384	31556	0				0	1	5				
384	31763	0				0	1	5				
512	31970	0				0	1					
512	32151	0				0	1					
512	32384	0				0	1					
384	32798	0				0	1					
256	33237	0				0	1					
256	33651	0				0	1					
256	34065	0				0	1					
256	34479	0				0	1					
128	34892	0				0	1					
128	35306	0				0	1					
256	35694	0				0	1					
256	36108	0				0	1					
256	36548	0				0	1					
384	36935	0				0	1					
256	37401	0				0	1	1			1	
320	38177	0				0	1	5				
320	38384	0				0	1	5				
320	38591	0				0	1	5				
320	38823	0				0	1	5				
320	39030	0				0	1	5				
256	39418	0				0	1					
192	39858	0				0	1	5				
192	40065	0				0	1	5				
192	40272	0				0	1	5				
192	40479	0				0	1	5				
256	40685	0				0	1	5				
256	41125	0				0	1					
256	41332	0				0	1					
256	42366	0				0	1				1	
256	42806	0				0	1					
384	43220	0				0	1	5				
384	43427	0				0	1	5				
384	43634	0				0	1	5				
384	43815	0				0	1	5				
256	44048	0				0	1					
256	44461	0				0	1					
128	44927	0				0	1					
128	45341	0	S			0	1	1				
256	46530	0				0	1					
256	46944	0				0	1					
320	47798	0				0	1	5				
320	48030	0				0	1	5				
320	48237	0				0	1	5				
320	48392	0				0	1	5				
320	48625	0				0	1	5				
320	48832	0				0	1	5				
320	49013	0				0	1	5			1	
256	49479	0				0	1	3				
192	49892	0				0	1	5				
192	50073	0				0	1	5				
192	50280	0				0	1	5				
256	50487	0				0	1					
256	50694	0				0	1					
256	51134	0				0	1					
384	51548	0				0	1					
384	51961	0				0	1	1				
256	52841	0				0	1					
256	53203	0				0	1					
128	53591	0				0	1					
128	53979	0				0	1				1	
352	54806	0				0	1	5				
352	54987	0				0	1	5				
352	55220	0				0	1	5				
352	55427	0				0	1	5				
352	55660	0				0	1	5				
256	56048	0				0	1					
256	56513	0				0	1					
256	56720	0				0	1					
128	56927	0				0	1	5				
128	57134	0				0	1	5				
128	57341	0				0	1	5				
0	57754	0				0	1					
0	58194	0				0	1					
0	58608	0				0	1					
256	59048	0				0	1	7	2-1			
256	59461	0				0	1					
384	59849	0				0	1					
384	60263	0				0	1					
160	60651	0				0	1	1			1	
160	61479	0				0	1	5				
160	61685	0				0	1	5				
160	61918	0				0	1	5				
160	62099	0				0	1	5				
160	62332	0				0	1	5				
256	62746	0				0	1					
352	63134	0				0	1	5				
352	63341	0				0	1	5				
352	63548	0				0	1	5				
352	63754	0				0	1	5				
352	63961	0				0	1	5				
256	64401	0				0	1					
256	64841	0				0	1					
384	66082	0				0	1					
384	66470	0				0	1					
256	66884	0				0	1	7	2-1			
128	67323	0				0	1	5			1	
128	67530	0				0	1	5				
128	67763	0				0	1	5			1	
256	68177	0				0	1					
256	68358	0				0	1				1	
256	68591	0				0	1					
512	69935	0				0	1	7	0-2		1	
512	70323	0				0	1	7	0-2			
256	71539	0				0	1	7	2-1			
0	72392	0	S			0	1	7	1-2			
