音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt
256	822	0				0	1		
160	1782	0				0	1	5	
320	2262	0				0	1	5	
160	2742	0				0	1	5	
320	3222	0				0	1	5	
384	3702	0				0	1		
448	4182	0				0	1		
512	4662	0				0	1		
416	5462	0				0	1		
416	5623	0				0	1		
352	6102	0				0	1		
288	6582	0				0	1		
256	7542	0				0	1		
256	8502	0				0	1	6	
320	9462	0				0	1	7	0-1
256	9942	0				0	1	7	1-1
320	10422	0	S			0	1		
256	10902	0				0	1		
192	11382	0				0	1	7	1-1
128	11862	0				0	1	7	1-1
192	12342	0				0	1	7	1-1
96	13103	0				0	1		
96	13303	0				0	1		
192	13779	0				0	1		
288	14262	0				0	1	7	0-1
256	15222	0				0	1	3	
320	16182	0				0	1		
384	16982	0				0	1		
384	17142	0				0	1	7	0-1
384	17462	0				0	1		
384	17622	0				0	1	7	0-1
448	17942	0				0	1		
448	18102	0				0	1	7	0-1
448	18422	0				0	1		
448	18582	0				0	1	7	0-1
384	19062	0				0	1		
288	19542	0				0	1		
384	20022	0				0	1		
256	20822	0				0	1		
256	20982	0	S			0	1		
256	21302	0				0	1		
256	21462	0				0	1		
352	21782	0				0	1		
352	21942	0				0	1		
352	22262	0				0	1		
352	22422	0				0	1		
352	22742	0				0	1		
256	23862	0				0	1	6	
256	24662	0				0	1		
256	24822	0				0	1		
192	25142	0				0	1		
192	25302	0				0	1		
128	25622	0				0	1		
128	25782	0				0	1		
64	26102	0				0	1		
64	26262	0				0	1		
0	26582	0				0	1		
0	26742	0				0	1		
96	27222	0				0	1	7	1-1
192	27702	0				0	1	7	1-1
320	28480	0				0	1		
320	28662	0				0	1		
256	29142	0	S			0	1		
