音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt
256	1234	0				0	1		
192	1710	0				0	1		
256	2187	0				0	1		
320	2663	0				0	1		
384	3139	0				0	1		
384	3615	0				0	1	5	
384	3853	0				0	1	5	
384	4092	0				0	1	5	
384	4330	0				0	1	5	
384	4568	0				0	1	5	
384	4806	0				0	1	5	
384	5044	0				0	1	5	
384	5282	0				0	1	5	
384	5520	0				0	1	5	
320	5996	0				0	1		
256	6472	0				0	1		
256	6711	0				0	1		
256	6949	0				0	1		
256	7187	0				0	1		
256	7424	0				0	1		
256	7901	0				0	1		
224	8139	0				0	1		
192	8377	0				0	1		
256	8852	0				0	1		
256	9329	0				0	1	3	
128	9805	0				0	1		
160	10043	0				0	1		
192	10282	0				0	1		
256	10758	0				0	1		
224	10996	0				0	1		
192	11234	0				0	1		
96	11710	0				0	1		
128	11948	0				0	1		
160	12186	0				0	1	7	1-1
192	12424	0				0	1		
160	12662	0				0	1		
128	12901	0				0	1	7	1-1
96	13139	0				0	1	7	1-1
96	13615	0				0	1	5	
96	13853	0				0	1	5	
96	14091	0				0	1	5	
96	14329	0				0	1	5	
96	14567	0				0	1	5	
96	14805	0				0	1	5	
96	15043	0				0	1	5	
192	15520	0				0	1		
224	15758	0				0	1		
256	15996	0				0	1		
352	16473	0				0	1	7	0-1
256	16948	0				0	1	6	
256	17425	0				0	1		
288	17663	0	S			0	1		
320	17901	0				0	1		
384	18377	0				0	1	7	0-1
352	18615	0				0	1	7	0-1
320	18853	0				0	1	7	0-1
416	19329	0				0	1		
384	19567	0				0	1		
352	19805	0				0	1		
320	20043	0				0	1		
352	20282	0				0	1		
384	20520	0				0	1		
416	20758	0				0	1		
416	21234	0				0	1	5	
416	21472	0				0	1	5	
416	21710	0				0	1	5	
416	21948	0				0	1	5	
416	22186	0				0	1	5	
416	22424	0				0	1	5	
416	22662	0				0	1	5	
320	23139	0				0	1	7	0-1
288	23377	0				0	1	7	0-1
256	23615	0				0	1	7	1-1
160	24091	0	S			0	1		
256	24567	0				0	1	3	
192	25043	0				0	1	7	1-1
192	25282	0				0	1	7	1-1
192	25520	0				0	1	7	1-1
256	25996	0				0	1		
256	26234	0				0	1		
256	26472	0				0	1		
160	26948	0				0	1		
128	27186	0				0	1		
96	27424	0				0	1		
192	27901	0				0	1	7	1-1
256	28377	0				0	1	3	
192	28854	0				0	1		
224	29092	0				0	1		
256	29329	0				0	1		
352	29805	0				0	1		
352	30282	0				0	1	5	
352	30520	0				0	1	5	
352	30758	0				0	1	5	
192	31234	0				0	1	5	
192	31473	0				0	1	5	
192	31710	0				0	1	5	
256	32186	0				0	1		
256	32425	0				0	1		
256	32662	0				0	1		
352	33139	0				0	1	7	0-1
352	33377	0				0	1	7	0-1
352	33615	0				0	1	7	0-1
256	34091	0				0	1		
288	34329	0				0	1		
320	34567	0				0	1		
352	34805	0				0	1		
384	35044	0				0	1		
352	35282	0				0	1		
320	35520	0				0	1		
288	35758	0				0	1		
256	35996	0	S			0	1		
