音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	音效点需要播的音效名字		
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	Event	
256	2086	0				0	1				
512	2988	0				0	1				
384	3664	0				0	1				
384	4116	0				0	1				
256	4792	0				0	1				
128	5469	0				0	1				
128	5920	0				0	1				
0	6597	0				0	1				
384	7499	0				0	1	5			
384	7725	0				0	1	5			
384	7950	0				0	1	5			
384	8176	0				0	1	5			
128	8627	0				0	1	5			
128	8852	0				0	1	5			
256	9304	0				0	1			1	
128	9775	0				0	1	1			
0	10206	0				0	1				
128	10882	0				0	1	7	1-1		
128	11334	0				0	1	7	1-1		
256	12010	0				0	1				
384	12687	0				0	1	7	0-1		
384	13138	0				0	1	7	0-1		
512	13815	0				0	1				
128	14717	0				0	1	5			
128	14943	0				0	1	5			
128	15168	0				0	1	5			
128	15394	0				0	1	5			
384	15845	0				0	1	5			
384	16070	0				0	1	5			
256	16522	0				0	1	3		1	
384	16973	0				0	1	7	0-1		
384	17198	0				0	1	7	0-1		
256	17875	0				0	1			1	
128	18326	0				0	1				
0	18777	0				0	1	7	1-1		
0	19003	0				0	1	7	1-1		
128	19679	0				0	1			1	
256	20131	0				0	1				
384	20582	0				0	1	7	0-1		
384	20807	0				0	1	7	0-1		
256	21484	0				0	1			1	
256	21935	0				0	1				
512	22386	0				0	1	7	0-1		
512	22612	0				0	1	7	0-1		
256	23289	0				0	1			1	
256	23740	0				0	1				
0	24191	0				0	1	7	1-1		
0	24416	0				0	1	7	1-1		
256	25093	0	S			0	1			1	
512	25544	0				0	1				
256	25995	0				0	1	7	1-1		
256	26221	0				0	1	7	1-1		
384	26898	0				0	1			1	
192	27349	0				0	1				
0	27800	0				0	1	7	1-1		
0	28025	0				0	1	7	1-1		
256	28702	0				0	1			1	
0	29153	0				0	1				
256	29604	0				0	1	7	0-1		
256	29830	0				0	1	7	0-1		
0	30507	0				0	1				
256	30958	0				0	1			1	
0	31409	0				0	1	5			
0	31634	0				0	1	5			
256	32311	0				0	1				
256	32762	0				0	1			1	
512	33213	0				0	1	5			
512	33439	0				0	1	5			
256	34116	0				0	1				
256	34567	0				0	1				
384	34905	0				0	1				
512	35243	0				0	1			1	
384	35694	0				0	1	1			
256	35920	0				0	1				
256	36371	0				0	1				
128	36710	0				0	1				
0	37048	0				0	1			1	
256	37725	0				0	1				
256	38176	0				0	1			1	
512	38627	0				0	1	5			
512	38852	0				0	1	5			
256	39529	0				0	1				
256	39980	0				0	1			1	
0	40431	0				0	1	5			
0	40657	0				0	1	5			
256	41334	0				0	1				
256	41785	0				0	1				
128	42123	0				0	1				
0	42461	0				0	1			1	
256	43138	0				0	1				
256	43589	0				0	1				
384	43928	0				0	1				
512	44266	0				0	1			1	
256	44717	0				0	1				
256	44943	0				0	1				
256	45394	0				0	1	6		1	
128	45845	0				0	1				
0	46296	0				0	1				
256	46973	0				0	1	7	0-1		
256	47424	0				0	1	7	1-1	1	
512	48101	0				0	1			1	
256	48777	0				0	1	7	1-1		
256	49228	0				0	1	7	0-1	1	
512	49905	0				0	1				
384	50807	0	S			0	1				
320	51033	0				0	1				
256	51258	0				0	1				
192	51484	0				0	1				
128	51935	0				0	1	7	1-1		
128	52161	0				0	1	7	1-1		
256	52612	0				0	1			1	
256	53063	0				0	1				
0	53514	0				0	1				
256	54191	0				0	1				
384	54642	0				0	1			1	
256	55319	0				0	1				
0	55995	0				0	1				
128	56446	0				0	1			1	
256	57123	0				0	1				
128	58025	0				0	1				
192	58251	0				0	1				
256	58476	0				0	1				
320	58702	0				0	1				
448	59153	0				0	1	7	0-1		
448	59379	0				0	1	7	0-1		
256	59830	0				0	1	3		1	
384	60281	0				0	1				
512	60732	0				0	1				
384	61183	0				0	1				
384	61409	0				0	1				
256	61860	0				0	1			1	
256	62311	0				0	1				
256	62537	0				0	1				
0	62988	0				0	1				
0	63213	0				0	1				
256	63664	0				0	1			1	
416	64116	0				0	1	5			
416	64341	0				0	1	5			
416	64567	0				0	1	5			
416	64792	0				0	1	5			
256	65243	0				0	1	4			
256	65695	0				0	1	4			
256	66146	0				0	1	4			
256	66597	0				0	1	4			
256	67048	0				0	1			1	
128	67499	0				0	1				
0	67950	0				0	1				
256	68627	0				0	1				
384	69078	0				0	1			1	
256	69755	0				0	1				
512	70431	0				0	1				
512	70882	0				0	1			1	
256	71559	0				0	1				
256	72461	0				0	1				
192	72687	0				0	1				
256	72913	0				0	1				
320	73138	0				0	1				
192	73589	0				0	1				
256	73815	0				0	1				
256	74266	0	S			0	1				
