音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	音效点需要播的音效名字	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	
0	993	0				0	1			
512	1565	0				0	1			
0	2136	0				0	1			
256	2708	0				0	1	3		
384	3279	0				0	1			
384	3565	0				0	1			
384	3850	0				0	1			
128	4422	0				0	1			
256	4707	0				0	1			
384	4993	0				0	1			
256	5565	0				0	1			
512	6136	0				0	1			
256	6707	0				0	1			
256	6993	0				0	1			
256	7279	0				0	1	3		
384	7850	0				0	1			
256	8136	0				0	1			
128	8422	0				0	1			
0	8993	0				0	1			
0	9279	0				0	1			
0	9565	0				0	1			
256	10136	0				0	1			
0	10708	0				0	1			
256	11279	0				0	1			
128	11565	0				0	1			
256	11850	0				0	1	3		
128	12422	0				0	1			
384	12993	0				0	1			
256	13565	0				0	1			
384	13850	0				0	1			
512	14136	0				0	1			
256	14708	0				0	1			
512	15279	0				0	1			
128	15850	0				0	1			
128	16136	0				0	1			
256	16422	0				0	1	3		
0	16993	0				0	1			
256	17565	0				0	1	1		
512	18136	0				0	1			
256	18708	0				0	1	1		
0	19279	0				0	1			
512	19850	0				0	1			
0	20422	0				0	1			
256	20993	0	S		C2	0	1	3		
128	21565	0				0	1			
256	21850	0				0	1			
384	22136	0				0	1			
128	22708	0				0	1			
128	22993	0				0	1			
0	23279	0				0	1			
256	23850	0				0	1			
0	24422	0				0	1			
384	24993	0				0	1			
384	25279	0				0	1			
256	25565	0				0	1	3		
512	26136	0				0	1			
512	26422	0				0	1			
512	26708	0				0	1			
256	27279	0				0	1			
384	27565	0				0	1			
256	27850	0				0	1			
0	28422	0				0	1			
256	28993	0				0	1			
128	29565	0				0	1			
0	29850	0				0	1			
256	30136	0				0	1	3		
512	30708	0				0	1			
256	31279	0				0	1			
384	31850	0				0	1			
256	32136	0				0	1			
128	32422	0				0	1			
256	32993	0				0	1			
0	33565	0				0	1			
256	34136	0				0	1			
256	34422	0				0	1			
256	34708	0				0	1	3		
128	35279	0				0	1			
256	35850	0				0	1	1		
384	36422	0				0	1			
256	36993	38708				0	1	2		
256	39279	0			C3	0	1			
0	40422	0				0	1			
384	41565	0				0	1			
256	42708	0				0	1			
512	43850	0				0	1			
0	44993	0				0	1			
128	46136	0				0	1			
384	47279	0				0	1			
256	48422	0				0	1			
128	48993	0				0	1	1		
0	49565	0				0	1			
512	50708	0				0	1			
256	51279	0				0	1	1		
0	51850	0				0	1			
256	52993	0				0	1			
128	54136	0				0	1			
512	55279	0				0	1			
0	56422	0				0	1			
256	57565	0	S		C1	0	1	3		
0	58708	0				0	1			
0	59279	0				0	1			
256	59850	0				0	1			
128	60993	0				0	1			
256	61565	0				0	1			
0	62136	0				0	1			
384	63279	0				0	1			
384	63850	0				0	1			
256	64422	0				0	1			
512	65565	0				0	1			
384	66136	0				0	1			
128	66708	0				0	1			
256	67850	0				0	1			
384	68422	0				0	1			
128	68993	0				0	1			
512	70136	0				0	1			
512	70708	0				0	1			
256	71279	0				0	1			
0	72422	0				0	1			
512	73565	0	S		C2	0	1			
