音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）		
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	
256	947	0				0	1				
0	1621	0				0	1				
256	2295	0				0	1				
512	2969	0				0	1				
256	3643	0				0	1				
256	4317	0				0	1				
256	4486	0				0	1				
256	4654	0				0	1				
256	4823	0				0	1	3		1	
416	5160	0				0	1	5			
96	5329	0				0	1	5			
416	5497	0				0	1	5			
96	5666	0				0	1	5			
416	5834	0				0	1	5			
256	6129	0			C2	0	1	3		1	
256	6677	0				0	1				
512	7351	0				0	1				
384	7857	0				0	1				
384	8026	0				0	1				
384	8194	0				0	1				
256	8531	0				0	1				
0	8868	0				0	1				
128	9374	0				0	1				
256	9879	0				0	1				
256	10216	0				0	1				
384	10553	0				0	1				
512	10890	0				0	1				
384	11228	0				0	1				
256	11565	0				0	1	3		1	
256	12913	0				0	1				
0	13587	0				0	1				
512	14261	0				0	1				
0	14935	0				0	1				
512	15610	0				0	1				
0	16284	0				0	1				
384	16958	0				0	1				
128	17632	0				0	1				
256	18306	0				0	1				
256	18643	0				0	1				
256	18980	0				0	1	6		1	
256	19823	0			C3	0	1				
512	20497	0				0	1				
0	21171	0				0	1				
256	21846	0				0	1				
256	22183	0				0	1				
256	22520	0				0	1				
256	22857	0				0	1				
128	23195	0				0	1				
256	23532	0				0	1	3		1	
256	24037	0				0	1	1			
256	24542	0				0	1				
0	25216	0				0	1				
256	25890	0				0	1				
512	26565	0				0	1				
256	27238	0				0	1				
256	27576	0				0	1				
256	27913	0				0	1				
256	28250	0				0	1				
384	28587	0				0	1				
256	28924	0				0	1	3		1	
256	29430	0				0	1	1			
256	29935	0	S			0	1				
512	30609	0				0	1	7	0-2		
256	31284	0				0	1				
0	31958	0				0	1	7	1-2		
256	32632	0				0	1	7	0-1		
128	32969	0				0	1	7	1-1		
256	33306	0				0	1	7	0-1		
128	33643	0				0	1	7	1-1		
256	33980	0				0	1	7	0-1		
256	34317	0				0	1	3		1	
256	35160	0				0	1				
256	35328	0				0	1				
256	35497	0				0	1				
256	36003	0				0	1	3		1	
320	36256	0				0	1	1			
384	36508	0				0	1				
384	36677	0				0	1				
384	36846	0				0	1				
256	37351	0				0	1	3		1	
128	37857	0				0	1				
128	38025	0				0	1				
128	38194	0				0	1				
0	38699	0				0	1				
512	39373	0				0	1				
256	40048	0				0	1				
256	40722	0				0	1	3		1	
256	41396	0			C1	0	1				
256	41733	0				0	1				
256	42071	0				0	1				
384	42408	0				0	1	7	0-1		
128	42745	0				0	1	7	1-1		
256	42913	0				0	1	1			
384	43082	0				0	1	7	0-1		
128	43419	0				0	1	7	1-1		
0	44093	0				0	1				
128	44431	0				0	1				
256	44767	0				0	1				
384	45105	0				0	1				
512	45441	0				0	1				
384	45778	0				0	1				
256	46115	0				0	1	3		1	
256	46789	0				0	1				
512	47463	0				0	1				
0	48138	0				0	1				
256	49149	0				0	1				
256	49317	0				0	1				
256	49486	50160				0	1	2			
256	50834	0				0	1	6		1	
96	51171	0				0	1	5			
416	51340	0				0	1	5			
96	51508	0				0	1	5			
416	51677	0				0	1	5			
96	51846	0				0	1	5			
256	52014	0			C2	0	1	3		1	
256	52183	0				0	1				
256	52520	0				0	1				
0	53194	0				0	1				
128	53699	0				0	1				
128	53868	0				0	1				
128	54036	0				0	1				
256	54374	0				0	1				
256	54710	0				0	1				
256	54879	0				0	1				
256	55385	0				0	1				
384	55722	0				0	1	7	0-1		
512	56059	0				0	1	7	0-1		
384	56396	0				0	1	7	0-1		
256	56733	0				0	1	7	2-1		
128	57070	0				0	1	7	1-1		
256	57407	0				0	1	3		1	
128	58419	0				0	1				
128	58588	0				0	1				
128	58756	0				0	1				
0	59261	0				0	1				
0	59430	0				0	1				
0	60104	0				0	1				
128	60441	0				0	1				
256	60778	0				0	1				
256	60946	0				0	1				
256	61115	0				0	1				
256	61452	0	S			0	1	3		1	
256	61958	0				0	1				
384	62295	0				0	1				
384	62632	0				0	1				
384	62801	0			C3	0	1				
128	63138	0				0	1				
128	63306	0				0	1				
128	63643	0				0	1				
256	64149	0				0	1				
256	64486	0				0	1				
256	64654	0				0	1				
256	64823	0				0	1	3		1	
256	65329	0				0	1				
384	65666	0				0	1				
256	66004	0				0	1				
128	66508	0				0	1				
0	66846	0				0	1				
128	67183	0				0	1				
256	67520	0				0	1				
384	67857	0				0	1				
256	68194	0				0	1	3		1	
512	69205	0				0	1				
512	69374	0				0	1				
512	69542	0				0	1				
