音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）			
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	Event	
256	1602	0				0	1	3			1	
256	2255	0				0	1					
128	2907	0				0	1	7	1-1			
128	3233	0				0	1	7	1-1			
0	3559	0				0	1	7	1-2			
0	3885	0				0	1	7	1-2			
128	4211	0				0	1				1	
256	4863	0				0	1	7	2-1			
256	5189	0				0	1	7	2-1			
256	5515	0				0	1	7	2-1			
384	6168	0				0	1					
512	6657	0				0	1	1				
512	7146	0				0	1				1	
512	7472	0				0	1					
512	7798	0				0	1					
352	8124	0				0	1	5				
352	8450	0				0	1	5				
352	8776	0				0	1	5				
352	9102	0				0	1	5				
256	9428	0				0	1	7	2-1		1	
256	10407	0				0	1					
256	10733	0				0	1					
256	11059	0				0	1					
256	11385	0				0	1					
256	11711	0				0	1					
256	12037	0	S			0	1				1	
128	12689	0				0	1	7	1-1			
128	13015	0				0	1	7	1-1			
160	13341	0				0	1	5				
352	13668	0				0	1	5				
160	13994	0				0	1	5				
352	14320	0				0	1	5				
160	14646	0				0	1	5				
352	14972	0				0	1	5				
384	15950	0				0	1				1	
384	16276	0				0	1					
384	16602	0				0	1					
384	16928	0				0	1					
256	17255	0				0	1	3			1	
160	17907	0				0	1	5				
160	18233	0				0	1	5				
160	18559	0				0	1	5				
160	18885	0				0	1	5				
160	19211	0				0	1	5				
160	19537	0				0	1	5				
256	19863	0				0	1	7	2-1			
256	20189	0				0	1	7	2-1			
352	20515	0				0	1	5				
352	20841	0				0	1	5				
352	21168	0				0	1	5				
352	21494	0				0	1	5				
352	21820	0				0	1	5				
352	22146	0				0	1	5				
256	22472	0				0	1	3			1	
128	23124	0				0	1	7	1-1			
128	23450	0				0	1	7	1-1			
0	23776	0				0	1	7	1-2			
0	24102	0				0	1	7	1-2			
0	24428	0				0	1	7	1-2			
0	24755	0				0	1	7	1-2			
128	25081	0				0	1				1	
160	25733	0				0	1	5				
160	26059	0				0	1	5				
160	26385	0				0	1	5				
256	27037	0				0	1	7	2-1		1	
384	27689	0				0	1	1				
384	28015	0				0	1	7	0-1			
384	28341	0				0	1	7	0-1			
384	28668	0				0	1	7	0-1			
160	28994	0				0	1	5				
352	29320	0				0	1	5				
160	29646	0				0	1	5				
352	29972	0				0	1	5				
160	30298	0				0	1	5			1	
256	31276	0	S			0	1	7	2-1			
256	31602	0				0	1					
256	31928	0				0	1					
256	32255	0				0	1					
256	32581	0				0	1					
256	32907	0				0	1	6			1	
384	33559	0				0	1	7	0-1			
384	33885	0				0	1	7	0-1			
512	34211	0				0	1	7	0-2			
512	34537	0				0	1	7	0-2			
512	34863	0				0	1	7	0-2			
512	35189	0				0	1	7	0-2			
384	35515	0				0	1	7	0-1			
384	35841	0				0	1	7	0-1		1	
256	36820	0				0	1	7	2-1		1	
128	37472	0				0	1	7	1-1			
0	38124	0				0	1	7	1-2		1	
128	38776	0				0	1					
128	39102	0				0	1					
256	39428	0				0	1	7	2-1			
256	39755	0				0	1	7	2-1			
384	40081	0				0	1	7	0-1			
384	40407	0				0	1	7	0-1			
512	40733	0				0	1	7	0-2			
512	41059	0	S			0	1	7	0-2			
