音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个	音量0-0.7的值可两位小数	0是打击点	音效点需要播的音效名字
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt
384	2166	0				0	1	0	
384	2833	0				0	1	0	
0	3466	0				0	1	0	
384	4466	0				0	1	0	
384	4799	0				0	1	0	
521	5633	0				0	1	0	
128	6099	0				0	1	0	
384	7399	0				0	1	0	
128	8066	0				0	1	0	
384	8699	0				0	1	0	
521	9033	0				0	1	0	
256	9999	0				0	1	0	
521	10366	0				0	1	0	
256	10799	0				0	1	3	
0	12266	0				0	1	0	
384	12599	0				0	1	0	
521	13266	0				0	1	0	
128	13733	0				0	1	0	
521	14733	0				0	1	0	
521	15366	0				0	1	0	
521	16033	0				0	1	0	
0	16533	0				0	1	0	
256	17166	0				0	1	0	
128	17666	0				0	1	0	
521	18633	0				0	1	0	
128	19133	0				0	1	0	
384	19933	0				0	1	0	
521	21299	0				0	1	0	
256	22533	0				0	1	3	
384	23033	0				0	1	0	
0	23499	0				0	1	0	
256	24366	0				0	1	0	
384	24733	0				0	1	0	
256	25166	0				0	1	0	
128	25633	0				0	1	4	
256	26466	0				0	1	3	
128	26966	0				0	1	0	
521	27433	0				0	1	0	
521	27733	0				0	1	0	
0	29066	0				0	1	0	
256	29566	0				0	1	0	
0	29899	0				0	1	0	
384	30366	0				0	1	0	
128	30866	0				0	1	0	
521	31699	0				0	1	0	
256	32333	0				0	1	3	
521	32999	0				0	1	0	
256	33499	0				0	1	3	
384	34299	0				0	1	0	
384	34799	0				0	1	0	
256	35599	0				0	1	3	
128	36099	0				0	1	0	
384	36899	0	S		C2	0	1	0	
256	37433	0				0	1	1	
256	38199	0				0	1	0	
256	38733	0				0	1	0	
256	39033	0				0	1	0	
256	39333	0				0	1	0	
128	40166	0				0	1	0	
384	40966	0				0	1	0	
0	41299	0				0	1	0	
128	42099	0				0	1	0	
256	42599	0				0	1	3	
0	43066	0				0	1	0	
256	43399	0				0	1	0	
384	43933	0				0	1	4	
384	44233	0				0	1	0	
256	44733	0				0	1	0	
256	45366	0				0	1	0	
384	46033	0				0	1	0	
521	46366	0				0	1	0	
128	46999	0				0	1	0	
0	47333	0				0	1	0	
384	47799	0				0	1	0	
521	48799	0				0	1	1	
256	49133	0				0	1	0	
521	49466	0				0	1	0	
384	49932	0				0	1	0	
256	51232	0				0	1	3	
128	51732	0				0	1	0	
384	52532	0				0	1	0	
256	53032	0				0	1	3	
0	53532	0				0	1	0	
521	54166	0				0	1	0	
384	55166	0				0	1	4	
128	56466	0				0	1	1	
521	56799	0				0	1	0	
128	58232	0				0	1	0	
256	58832	0				0	1	1	
128	59566	0				0	1	0	
521	60366	0				0	1	0	
256	60866	0				0	1	3	
0	61632	0				0	1	0	
128	62199	0				0	1	0	
384	62966	0				0	1	0	
0	63466	0				0	1	0	
256	64266	0				0	1	3	
128	65266	0				0	1	0	
128	65566	0				0	1	0	
384	66099	0				0	1	0	
128	66466	0				0	1	0	
384	66966	0				0	1	0	
521	67499	0				0	1	0	
128	68166	0				0	1	0	
384	68666	0				0	1	0	
128	69999	0				0	1	0	
521	70799	0				0	1	0	
256	71299	0				0	1	3	
0	71932	0				0	1	0	
256	72599	0				0	1	3	
521	73066	0				0	1	0	
384	73899	0				0	1	0	
256	74566	0	S		C3	0	1	0	
256	75032	0				0	1	0	
256	75699	0				0	1	0	
256	75999	0				0	1	0	
256	76332	0				0	1	0	
521	76666	0				0	1	0	
128	77166	0				0	1	0	
256	77799	0				0	1	0	
0	78299	0				0	1	0	
521	78632	0				0	1	0	
256	79099	0				0	1	0	
521	79932	0				0	1	0	
521	80199	0				0	1	0	
256	81232	0				0	1	3	
0	81732	0				0	1	0	
0	82066	0				0	1	0	
128	82532	0				0	1	0	
521	82866	0				0	1	0	
521	83532	0				0	1	0	
128	83866	0				0	1	0	
256	84332	0				0	1	3	
256	84666	0				0	1	0	
0	85166	0				0	1	1	
0	85466	0				0	1	4	
256	87099	0				0	1	0	
521	87732	0				0	1	0	
256	89532	0				0	1	0	
256	90366	0				0	1	3	
256	90699	0				0	1	0	
256	90999	0				0	1	0	
256	91332	0				0	1	0	
0	91666	0				0	1	0	
128	92699	0				0	1	0	
128	92999	0				0	1	0	
521	94199	0				0	1	0	
384	95532	0				0	1	0	
128	96032	0				0	1	0	
384	96899	0				0	1	0	
521	97399	0				0	1	0	
384	98199	0				0	1	0	
0	98532	0				0	1	0	
384	99332	0				0	1	0	
521	99999	0				0	1	0	
384	100832	0				0	1	0	
521	101932	0				0	1	0	
256	102599	0				0	1	3	
0	103532	0				0	1	0	
521	103899	0				0	1	0	
256	104599	0				0	1	0	
0	105199	0				0	1	0	
128	105865	0				0	1	0	
384	106365	0				0	1	0	
384	106999	0				0	1	0	
128	107332	0				0	1	0	
521	108632	0				0	1	0	
0	108965	0				0	1	0	
521	109465	0				0	1	0	
521	109932	0				0	1	0	
0	110432	0				0	1	0	
521	111065	0				0	1	0	
256	112065	0				0	1	0	
256	113032	0				0	1	0	
256	115165	0				0	1	0	
384	115565	0				0	1	0	
256	117832	0	S		C1	0	1	0	
