音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	Events
256	901	0				0	1			
128	1520	0				0	1			
384	2138	0				0	1			
256	2757	0				0	1			
160	3375	0				0	1			
256	4612	0				0	1			
256	5231	0				0	1			
256	5850	0				0	1	3		
128	6468	0				0	1			
384	7087	0				0	1			
128	7705	0				0	1			
64	8324	0				0	1	7	1-1	1
64	8633	0				0	1	7	1-1	
64	8942	0				0	1	7	1-1	
64	9097	0				0	1	1		
256	10179	0				0	1			
384	10798	0				0	1			1
512	11417	0				0	1			
384	12035	0				0	1			1
256	12654	0				0	1			
256	13272	0				0	1			1
128	13891	0				0	1			
0	14509	0				0	1			
0	14664	0				0	1	1		
256	15746	0	S			0	1	6		
256	16365	0				0	1			
384	16984	0				0	1	7	0-1	
128	17602	0				0	1	7	1-1	
256	18221	0				0	1			1
384	18839	0				0	1			
512	19458	0				0	1			
352	20695	0				0	1			
192	21313	0				0	1			
64	21932	0				0	1			
0	22551	0				0	1	7	1-1	
0	22860	0				0	1	7	1-1	
0	23169	0				0	1	7	1-1	
0	23324	0				0	1	1		
256	24406	0				0	1			
256	25025	0				0	1			
256	25643	0				0	1	7	1-1	
384	26262	0				0	1	7	0-1	
512	26880	0				0	1	7	0-1	
384	27499	0				0	1			1
384	27808	0				0	1			
384	28118	0				0	1			
256	28736	0				0	1			
128	29355	0				0	1			
0	29973	0				0	1			
0	30437	0	S			0	1			
128	30901	0				0	1			
176	31210	0				0	1			
224	31520	0				0	1			
304	31984	0				0	1			
384	32447	0				0	1			
464	33066	0				0	1	7	0-1	1
464	33375	0				0	1	7	0-1	
256	34303	0				0	1			
256	34922	0				0	1			
256	35540	0				0	1	3		
160	36159	0				0	1			
64	36777	0				0	1			
0	37396	0				0	1	7	1-1	1
0	37705	0				0	1	7	1-1	
0	38014	0				0	1	7	1-1	
112	38633	0				0	1			
224	39252	0				0	1			
256	39870	0				0	1			
256	40334	0				0	1			
256	40798	0				0	1	7	1-1	
368	41107	0				0	1	7	0-1	
256	41417	0				0	1	7	1-1	
144	41726	0				0	1	7	1-1	
256	42190	0				0	1			
352	42963	0				0	1			
352	43272	0	S			0	1			
