音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个	音量0-0.7的值可两位小数	0是打击点	音效点需要播的音效名字
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt
0	1199	0				0	1	0	
256	1699	0				0	1	0	
256	2199	0				0	1	3	
256	2699	0				0	1	0	
384	3066	0				0	1	1	
256	3333	0				0	1	3	
0	3699	0				0	1	0	
128	4199	0				0	1	0	
256	4699	0				0	1	3	
128	5433	0				0	1	0	
256	5699	0				0	1	3	
256	6199	0				0	1	0	
256	6699	0				0	1	3	
384	7433	0				0	1	0	
256	7699	0				0	1	3	
0	8199	0				0	1	0	
0	8699	0				0	1	0	
256	9699	0				0	1	3	
521	10199	0				0	1	0	
256	10699	0				0	1	3	
384	11433	0				0	1	0	
256	11699	0				0	1	3	
256	12199	0				0	1	3	
0	12699	0				0	1	0	
256	13699	0				0	1	3	
521	14199	0				0	1	0	
256	14699	0				0	1	3	
384	15433	0				0	1	0	
256	15699	0				0	1	3	
256	16199	0				0	1	0	
256	16699	0				0	1	3	
0	17433	0				0	1	0	
256	17699	0				0	1	3	
128	18199	0				0	1	0	
256	18699	0				0	1	3	
521	19433	0				0	1	0	
256	19699	0				0	1	3	
521	20199	0				0	1	0	
128	20699	0				0	1	0	
256	21699	0				0	1	3	
256	22199	0				0	1	0	
256	22699	0				0	1	3	
384	23099	0				0	1	0	
256	23699	0				0	1	3	
256	24199	0				0	1	0	
128	24699	0				0	1	0	
256	25699	0				0	1	3	
384	26199	0				0	1	0	
256	26699	0				0	1	3	
128	27099	0				0	1	0	
0	27433	0				0	1	0	
256	27699	0				0	1	3	
384	28199	0				0	1	0	
384	28699	0				0	1	0	
521	29433	0				0	1	0	
256	29699	0				0	1	3	
256	30199	0				0	1	3	
256	30699	0				0	1	3	
384	31166	0				0	1	0	
384	31433	0				0	1	0	
256	31699	0				0	1	3	
256	32199	0				0	1	3	
256	32699	0				0	1	3	
0	33433	0				0	1	0	
256	33699	0				0	1	3	
256	34199	0				0	1	1	
256	34699	0				0	1	3	
0	35433	0				0	1	0	
256	35699	0				0	1	3	
521	36199	0				0	1	0	
0	36833	0				0	1	0	
128	37433	0				0	1	4	
0	37833	0				0	1	0	
256	38199	0				0	1	3	
256	38699	0				0	1	3	
256	39199	0				0	1	0	
256	39699	0				0	1	3	
0	40199	0				0	1	0	
256	40699	0				0	1	3	
521	41433	0				0	1	0	
256	41699	0				0	1	3	
256	42199	0				0	1	3	
256	42699	0				0	1	3	
384	43433	0				0	1	0	
256	43699	0				0	1	3	
0	44199	0				0	1	0	
256	44699	0				0	1	3	
256	45433	0				0	1	0	
256	45699	0				0	1	3	
256	46199	0	S		C2	0	1	3	
0	46699	0				0	1	0	
256	47433	0				0	1	0	
256	47699	0				0	1	3	
521	48199	0				0	1	0	
256	48699	0				0	1	3	
521	49433	0				0	1	0	
256	49699	0				0	1	3	
128	50199	0				0	1	0	
256	50699	0				0	1	3	
128	51433	0				0	1	0	
256	51699	0				0	1	3	
521	52199	0				0	1	0	
256	52699	0				0	1	3	
128	53366	0				0	1	0	
256	53699	0				0	1	3	
521	54199	0				0	1	0	
256	54699	0				0	1	3	
256	55433	0				0	1	0	
256	55699	0				0	1	3	
