音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt
256	519	0				0	1		
320	1298	0				0	1		
416	2078	0				0	1		
320	2856	0				0	1		
320	3247	0				0	1	5	
320	3441	0				0	1	5	
320	3636	0				0	1	5	
320	3831	0				0	1	5	
320	4025	0				0	1	5	
320	4220	0				0	1	5	
320	4415	0				0	1	5	
192	4805	0				0	1	5	
192	4999	0				0	1	5	
192	5194	0				0	1	5	
192	5389	0				0	1	5	
192	5584	0				0	1	5	
192	5779	0				0	1	5	
192	5973	0				0	1	5	
256	6753	0				0	1	3	
384	7532	0				0	1	7	0-1
480	8116	0				0	1	7	0-1
480	8311	0				0	1	7	0-1
480	8506	0				0	1	7	0-1
480	8701	0				0	1	7	0-1
384	9090	0				0	1		
288	9869	0				0	1		
288	10064	0	S			0	1		
288	10260	0				0	1		
288	10454	0				0	1		
256	10649	0				0	1	7	1-1
256	10844	0				0	1	7	1-1
256	11039	0				0	1	7	1-1
256	11233	0				0	1	7	1-1
224	11428	0				0	1		
224	11623	0				0	1		
224	11818	0				0	1		
320	12207	0				0	1		
256	12986	0				0	1	6	
128	13766	0				0	1		
128	14350	0				0	1	5	
128	14545	0				0	1	5	
128	14740	0				0	1	5	
128	14934	0				0	1	5	
192	15324	0				0	1		
256	15714	0				0	1		
320	16103	0				0	1	7	0-1
320	16298	0				0	1	7	0-1
320	16493	0				0	1		
320	16688	0				0	1	7	0-1
288	16882	0				0	1	7	0-1
288	17077	0				0	1		
288	17272	0				0	1		
192	17662	0				0	1		
96	18247	0				0	1		
128	18441	0				0	1		
160	18636	0				0	1		
192	18830	0				0	1		
256	19220	0				0	1	3	
192	20000	0	S			0	1	7	1-1
288	20779	0				0	1		
384	21558	0				0	1	7	0-1
288	22338	0				0	1		
224	22727	0				0	1		
192	22921	0				0	1		
128	23311	0				0	1		
160	23506	0				0	1		
224	23896	0				0	1	7	1-1
352	24480	0				0	1		
320	24675	0				0	1		
288	24870	0				0	1		
256	25065	0				0	1		
160	25454	0				0	1	5	
320	25844	0				0	1	5	
160	26234	0				0	1	5	
320	26623	0				0	1	5	
448	27013	0				0	1		
384	27402	0				0	1	7	0-1
320	27792	0				0	1	7	0-1
256	28181	0				0	1	7	1-1
256	28571	0				0	1	6	
256	28960	0				0	1		
224	29155	0				0	1		
160	29545	0				0	1		
128	29740	0				0	1		
224	30130	0				0	1		
288	30519	0				0	1	7	0-1
224	30909	0				0	1		
224	31103	0	S			0	1		
