音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）		
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	
256	1710	0				0	1				
256	2735	0				0	1				
512	3760	0				0	1				
256	4443	0				0	1				
256	4956	0				0	1	1			
256	5468	0				0	1				
0	6493	0				0	1				
256	7176	0			C2	0	1	3		2	
256	7860	0				0	1	7	2-1		
512	8543	0				0	1	7	0-2		
512	9227	0				0	1	7	0-2		
256	9910	0				0	1	7	2-1		
256	10593	0				0	1	7	2-1		
0	11277	0				0	1	7	1-2		
0	11960	0				0	1	7	1-2		
256	12643	0				0	1	7	2-1		
256	13327	0				0	1	7	2-1		
416	14010	0				0	1	5			
96	14352	0				0	1	5			
416	14694	0				0	1	5			
96	15035	0				0	1	5			
416	15377	0				0	1	5			
256	16402	0				0	1				
0	17427	0				0	1				
256	18110	0	S			0	1	3		2	
256	18794	0				0	1				
384	19135	0				0	1	1			
512	19477	0				0	1				
512	20161	0				0	1				
256	20844	0				0	1				
256	21527	0				0	1				
0	22211	0				0	1				
0	22894	0				0	1				
256	23577	0				0	1				
256	24261	0				0	1				
128	24944	0				0	1				
128	25286	0				0	1				
384	25627	0				0	1				
384	25969	0				0	1				
384	26311	0				0	1				
256	27336	0				0	1				
256	28122	0				0	1				
256	28463	0				0	1				
256	28976	0			C3	0	1	6		2	
0	29659	0				0	1				
0	30001	0				0	1				
256	31026	0				0	1				
512	31538	0				0	1				
512	31880	0				0	1				
512	32221	0				0	1				
256	32905	0				0	1				
256	33247	0				0	1				
256	33760	0				0	1				
256	34442	0				0	1				
128	34956	0				0	1	1			
0	35468	0				0	1				
256	36493	0	S			0	1				
128	37005	0				0	1	7	1-1		
128	37347	0				0	1	7	1-1		
128	37688	0				0	1	7	1-1		
384	38372	0				0	1	7	0-1		
384	38714	0				0	1	7	0-1		
256	39227	0				0	1				
256	39909	0			C1	0	1	3		2	
384	40593	0				0	1				
128	41276	0				0	1				
512	41960	0				0	1				
0	42643	0				0	1				
0	42985	0				0	1				
0	43156	0				0	1	1			
0	43326	0				0	1				
0	43668	0				0	1				
256	44693	0				0	1	3		2	
128	45376	0				0	1				
384	46060	0				0	1				
128	46743	0				0	1				
256	47427	0				0	1				
512	48110	0				0	1				
256	48793	0				0	1				
0	49477	0				0	1				
256	50160	0			C2	0	1				
256	50843	53577				0	1	2			
256	54602	0				0	1				
256	55285	0				0	1				
256	55627	0				0	1	3		2	
384	56310	0				0	1				
384	56652	0				0	1				
384	56994	0				0	1				
384	57335	0				0	1				
128	57677	0				0	1				
128	58019	0				0	1				
128	58360	0				0	1				
128	58702	0				0	1				
256	60069	0	S		C3	0	1				
