音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor
256	2106	0				0	1			
64	2852	0				0	1			
448	3786	0				0	1			
448	3973	0				0	1			
448	4159	0				0	1			
448	4346	0				0	1			
336	5093	0				0	1			
128	5839	0				0	1			
176	6773	0				0	1			
176	6960	0				0	1			
176	7146	0				0	1			
176	7333	0				0	1			
256	8080	0				0	1			
416	8826	0				0	1			
224	9760	0				0	1			
224	9946	0				0	1			
224	10133	0				0	1			
224	10320	0				0	1			
0	11067	0				0	1	7		
256	11813	0				0	1	7		
512	12560	0				0	1	7		
256	13307	0				0	1	7		
256	14053	0				0	1			
256	14240	0				0	1	1		
0	14800	0				0	1			
0	14987	0				0	1	1		
256	15547	0				0	1			
256	16294	0				0	1	3		
368	17040	0				0	1			
256	17414	0				0	1			
144	17787	0				0	1			
144	18534	0				0	1			
400	19281	0				0	1			
96	20027	0				0	1			
256	20774	0				0	1	3		
128	21708	0				0	1			
128	21894	0				0	1			
128	22081	0				0	1			
128	22268	0				0	1			
352	23014	0				0	1			
96	23761	0				0	1			
368	24508	0				0	1			
336	25254	0				0	1	7		
336	25628	0				0	1	7		
336	26001	0				0	1	7		
448	26748	0				0	1	7		
64	27495	0				0	1	7		
256	28241	0				0	1			
112	28615	0				0	1			
112	28801	0				0	1			
112	28988	0				0	1			
400	29735	0	S			0	1			
128	30576	0				0	1	5		
128	30762	0				0	1	5		
416	31322	0				0	1	5		
416	31508	0				0	1	5		
112	32068	0				0	1	5		
112	32255	0				0	1	5		
256	32909	0				0	1	7		
512	33655	0				0	1	7		
368	34402	0				0	1			
368	34589	0				0	1			
368	34775	0				0	1			
368	34962	0				0	1			
224	35335	0				0	1			
80	35709	0				0	1			
384	36642	0				0	1			
160	37389	0				0	1			
384	38136	0				0	1	5		
384	38322	0				0	1	5		
256	38696	0				0	1			
0	39629	0				0	1	7		
256	40376	0				0	1	7		
416	41123	0				0	1			
416	41309	0				0	1			
416	41496	0				0	1			
416	41683	0				0	1			
416	41869	0				0	1			
256	42616	0				0	1			
0	43363	0				0	1			
256	44110	0				0	1	3		
400	44856	0				0	1			
400	45043	0				0	1			
400	45230	0				0	1			
256	45603	0				0	1			
128	45976	0				0	1			
128	46163	0				0	1			
256	47096	0				0	1			
416	47843	0				0	1			
416	48030	0				0	1			
416	48217	0				0	1			
416	48403	0				0	1			
416	48590	0				0	1			
256	49523	0				0	1			
112	49617	0				0	1	1		
0	50830	0				0	1	7		
256	51577	0				0	1	7		
512	52324	0				0	1	7		
256	53070	0				0	1	6		
144	53630	0				0	1			
144	53817	0				0	1			
144	54564	0				0	1			
400	55497	0				0	1	5		
400	55684	0				0	1	5		
400	55871	0				0	1	5		
400	56057	0				0	1	5		
256	56804	0				0	1			
96	57551	0				0	1			
96	57738	0				0	1			
384	58298	0				0	1			
384	58484	0				0	1			
80	59044	0				0	1			
80	59231	0				0	1			
256	59978	0				0	1			
256	60724	0	S			0	1			
112	61471	0				0	1			
144	61658	0				0	1			
80	61844	0				0	1			
48	62031	0				0	1			
16	62218	0				0	1			
128	62778	0				0	1	7		
384	63525	0				0	1	7		
256	64458	0				0	1			
304	64645	0				0	1			
352	64831	0				0	1			
400	65018	0				0	1			
512	65765	0				0	1	7		
256	66698	0				0	1	7		
256	67445	0				0	1			
96	68192	0				0	1	5		
96	68378	0				0	1	5		
96	68565	0				0	1	5		
96	68752	0				0	1	5		
400	69498	0				0	1	5		
80	70245	0				0	1	5		
256	70992	0				0	1	3		
352	71739	0				0	1			
384	71925	0				0	1			
416	72112	0				0	1			
448	72299	0				0	1			
480	72485	0				0	1			
288	72859	0				0	1			
288	73045	0				0	1	1		
0	73979	0				0	1			
160	74446	0				0	1			
160	74633	0				0	1			
160	74819	0				0	1			
512	76032	0				0	1	7		
512	76406	0				0	1	7		
320	77432	0				0	1			
320	77619	0				0	1			
320	77806	0				0	1			
256	78646	0				0	1	7		
0	79393	0				0	1	7		
128	80139	0				0	1			
128	80886	0				0	1			
256	81633	0				0	1			
320	82006	0				0	1			
384	82380	0				0	1			
448	82753	0				0	1			
512	83126	0				0	1			
352	83873	0				0	1	7		
352	84246	0				0	1	7		
352	84620	0				0	1	7		
128	85367	0				0	1	5		
128	85553	0				0	1	5		
368	86113	0				0	1	5		
368	86300	0				0	1	5		
256	86860	0				0	1			
0	87607	0				0	1			
256	88353	0				0	1			
512	89100	0				0	1			
368	89660	0				0	1			
368	89847	0				0	1			
368	90034	0				0	1			
368	90220	0				0	1			
256	90780	0				0	1			
256	91340	0				0	1			
112	92087	0	S			0	1			
