音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）			
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	Event	
256	917	0				0	1	3			1	
0	2476	0				0	1	7	1-2			
256	4034	0				0	1	7	2-1		1	
512	5593	0				0	1	7	0-2			
256	7151	0				0	1	7	2-1		1	
384	7541	0				0	1					
512	7930	0				0	1					
256	8710	0				0	1	7	2-1		1	
128	9099	0				0	1					
0	9489	0				0	1					
128	10268	0				0	1				1	
384	10658	0				0	1	1				
384	11047	0				0	1					
256	11826	0				0	1					
128	12216	0				0	1					
256	12557	0				0	1					
128	13385	0				0	1				1	
256	13774	0				0	1					
384	14164	0				0	1					
384	14943	0				0	1					
256	15333	0				0	1					
128	15723	0				0	1					
0	16502	0				0	1				1	
256	17281	0				0	1	7	2-1			
256	18060	0	S			0	1					
512	18839	0				0	1	7	0-2			
256	19619	0				0	1				1	
128	20398	0				0	1					
0	21177	0				0	1					
128	21956	0				0	1					
256	22346	0				0	1					
512	22930	0				0	1	1				
512	23515	0				0	1	7	0-2			
384	23904	0				0	1					
352	24294	0				0	1					
160	24684	0				0	1					
352	25073	0				0	1					
160	25463	0				0	1					
256	25852	0				0	1	3			1	
128	26632	0				0	1					
0	27411	0				0	1					
128	28190	0				0	1					
128	28580	0				0	1					
128	28969	0				0	1					
256	29749	0				0	1					
256	30138	31307				0	1	2				
256	32086	0				0	1	3			1	
256	32865	0				0	1					
160	33450	0				0	1	5				
160	33645	0				0	1	5				
160	33839	0				0	1	5				
160	34034	0				0	1	5				
256	34424	0				0	1					
256	34813	0				0	1					
384	35203	0				0	1	7	0-1		1	
384	35593	0				0	1	7	0-1			
160	35982	0				0	1	5				
352	36177	0				0	1	5				
160	36372	0				0	1	5				
352	36567	0				0	1	5				
160	36762	0				0	1	5				
352	36956	0				0	1	5				
384	37151	0				0	1					
256	38320	0				0	1	3			1	
256	39099	0				0	1					
160	39684	0				0	1	5				
160	39878	0				0	1	5				
160	40073	0				0	1	5				
160	40268	0				0	1	5				
256	40658	0				0	1					
384	41047	0				0	1					
384	41437	0				0	1				1	
256	41826	0				0	1					
352	42216	0				0	1	5				
352	42411	0				0	1	5				
352	42606	0				0	1	5				
256	43385	0				0	1					
128	43774	0				0	1	7	1-1			
128	44164	0				0	1	7	1-1			
256	44554	0				0	1	6			1	
512	45333	0				0	1	7	0-2			
352	45917	0				0	1	5				
352	46112	0				0	1	5				
352	46307	0				0	1	5				
352	46502	0				0	1	5				
256	46891	0	S			0	1					
256	47281	0				0	1					
256	47671	0				0	1				1	
256	48060	0				0	1					
160	48450	0				0	1	5				
160	48645	0				0	1	5				
160	48839	0				0	1	5				
160	49034	0				0	1	5				
160	49229	0				0	1	5				
256	49619	0				0	1					
256	50008	0				0	1					
384	50398	0				0	1	7	0-1			
256	50787	0				0	1	3			1	
128	51567	0				0	1	7	1-1			
160	52151	0				0	1	5				
160	52346	0				0	1	5				
160	52541	0				0	1	5				
160	52736	0				0	1	5				
256	53125	0				0	1					
256	53515	0				0	1					
384	53904	0				0	1	7	0-1		1	
384	54294	0				0	1	7	0-1			
352	54684	0				0	1	5				
352	54878	0				0	1	5				
352	55073	0				0	1	5				
256	55852	0				0	1					
512	56242	0				0	1	1				
512	56632	0				0	1	7	0-2			
384	57021	0				0	1	6			1	
256	57411	0				0	1	7	2-1			
256	57800	0				0	1	7	2-1			
128	58580	0				0	1	7	1-1			
251	59359	0				0	1					
251	59749	0				0	1					
384	60138	0				0	1	7	0-1		1	
384	60528	0				0	1	7	0-1			
384	60917	0				0	1	7	0-1			
256	61697	0				0	1					
160	62281	0				0	1	5				
160	62476	0				0	1	5				
160	62671	0				0	1	5				
160	62865	0				0	1	5				
256	63255	0				0	1				1	
384	63645	0				0	1	7	0-1			
384	64034	0				0	1	7	0-1			
256	64813	0				0	1					
256	65593	0				0	1					
128	65982	0				0	1					
128	66372	0				0	1	7	1-1		1	
256	66762	0				0	1					
256	67005	0				0	1					
384	67297	0				0	1					
384	67541	0	S			0	1					
