音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor
128	1841	0				0	1			
128	2241	0				0	1			
128	2641	0				0	1			
128	3041	0				0	1			
128	3442	0				0	1			
208	3642	0				0	1	1		
400	5043	0				0	1			
400	5443	0				0	1			
400	5843	0				0	1			
400	6244	0				0	1			
400	6644	0				0	1			
272	6844	0				0	1	1		
256	8245	0				0	1			
128	8645	0				0	1			
256	9045	0				0	1			
384	9446	0				0	1			
256	9846	0				0	1			
0	10646	0				0	1			
128	11047	0				0	1			
256	11447	0				0	1			
384	11847	0				0	1			
512	12248	0				0	1			
256	13048	0				0	1	3		
128	13448	0				0	1			
128	13648	0				0	1			
128	13849	0				0	1			
320	14249	0				0	1			
320	14449	0				0	1			
320	14649	0				0	1			
64	15049	0				0	1			
64	15250	0				0	1			
64	15450	0				0	1			
256	16250	0				0	1	3		
368	16650	0				0	1			
368	16851	0				0	1			
368	17051	0				0	1			
144	17451	0				0	1			
144	17651	0				0	1			
144	17851	0				0	1			
336	18252	0	S			0	1			
336	18452	0				0	1			
336	18652	0				0	1			
176	19652	0				0	1			
144	19853	0				0	1			
112	20053	0				0	1			
80	20253	0				0	1			
256	20653	0				0	1	7	1-1	
512	21053	0				0	1	7	0-1	
256	21854	0				0	1	3		
112	22654	0				0	1	5		
112	23055	0				0	1	5		
416	23455	0				0	1	5		
416	23855	0				0	1	5		
256	24256	0				0	1			
256	25056	0				0	1			
256	25857	0				0	1			
256	26257	0				0	1	1		
0	27458	0				0	1	7	1-1	
0	27858	0				0	1	7	1-1	
0	28258	0				0	1	7	1-1	
256	29059	0				0	1			
400	29859	0				0	1			
448	30260	0				0	1			
496	30660	0				0	1			
256	31460	0				0	1	7	1-1	
512	32261	0				0	1	7	0-1	
368	33061	0				0	1			
320	33262	0				0	1			
272	33462	0				0	1			
224	33662	0				0	1			
176	33862	0				0	1			
16	34662	0				0	1			
64	34863	0				0	1			
112	35063	0				0	1			
160	35263	0				0	1			
208	35463	0				0	1			
400	36264	0	S			0	1	7	0-1	
256	37064	0				0	1	3		
320	37865	0				0	1			
400	38265	0				0	1			
480	38665	0				0	1			
320	39466	0				0	1			
224	39866	0				0	1			
128	40266	0				0	1			
256	41067	0				0	1			
352	41467	0				0	1			
448	41867	0				0	1			
128	42668	0				0	1			
128	42868	0				0	1			
128	43068	0				0	1			
128	43268	0				0	1			
128	43468	0				0	1			
128	44069	0				0	1			
128	44269	0				0	1	1		
256	45069	0				0	1	6		
400	45870	0				0	1			
416	46070	0				0	1			
432	46270	0				0	1			
416	46470	0				0	1			
400	46670	0				0	1			
144	47471	0				0	1	7	1-1	
144	47871	0				0	1	7	1-1	
144	48272	0				0	1	7	1-1	
336	49072	0				0	1			
368	49272	0				0	1			
400	49472	0				0	1			
128	49672	0				0	1	1		
256	50673	0				0	1	3		
144	51474	0				0	1	7	1-1	
400	52074	0				0	1			
400	52274	0				0	1			
256	53475	0				0	1			
176	53875	0				0	1			
96	54276	0				0	1			
16	54676	0				0	1			
0	55476	0				0	1	7	1-1	
256	56277	0				0	1	7	1-1	
512	57077	0				0	1	7	0-1	
384	57878	0				0	1	7	0-1	
144	58478	0				0	1			
144	58678	0				0	1			
272	59879	0				0	1			
352	60280	0				0	1			
432	60680	0				0	1			
512	61080	0				0	1			
384	61881	0				0	1			
256	62681	0				0	1			
176	63081	0				0	1			
256	63482	0				0	1			
336	63882	0				0	1			
256	64282	0	S			0	1			
