音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	音效点需要播的音效名字	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	
256	1658	0				0	1	3		
0	2658	0				0	1			
256	3658	0				0	1			
512	4858	0				0	1			
256	5858	0				0	1			
512	6858	0				0	1			
256	8058	0				0	1	3		
256	9058	0				0	1			
0	10058	0				0	1			
512	11258	0				0	1			
256	12058	0				0	1			
384	12458	0				0	1			
512	12858	0				0	1			
256	14058	0				0	1			
255	14458	0	S		C2	0	1	3		
512	15258	0				0	1			
256	16058	0				0	1			
0	16858	0				0	1			
0	17258	0				0	1			
0	17658	0				0	1			
256	18458	0				0	1			
0	19258	0				0	1			
256	20058	0				0	1			
256	20458	0				0	1			
256	20858	0				0	1	3		
512	21658	0				0	1			
384	22058	0				0	1			
256	22458	0				0	1			
0	23258	0				0	1			
128	23658	0				0	1			
256	24058	0				0	1			
512	24858	0				0	1			
416	25658	0				0	1	5		
96	25858	0				0	1	5		
416	26058	0				0	1	5		
96	26258	0				0	1	5		
416	26458	0				0	1	5		
256	27258	0			C3	0	1	3		
512	28258	0				0	1			
384	28658	0				0	1			
256	29058	0				0	1			
0	29658	0				0	1			
256	30458	0				0	1	3		
0	31458	0				0	1			
128	31858	0				0	1			
256	32258	0				0	1			
0	32858	0				0	1			
256	33658	0				0	1	3		
512	34858	0				0	1			
256	35658	0				0	1			
96	36458	0				0	1	5		
416	36658	0				0	1	5		
96	36858	0				0	1	5		
416	37058	0				0	1	5		
96	37258	0				0	1	5		
256	38058	0				0	1			
512	38858	0				0	1			
384	39258	0				0	1			
256	39658	0				0	1			
256	40058	0	S		C1	0	1	3		
0	40858	0				0	1			
128	41258	0				0	1			
256	41658	0				0	1			
512	42458	0				0	1			
384	42858	0				0	1			
256	43258	0				0	1	3		
256	44058	0				0	1			
384	44458	0				0	1			
512	44858	0				0	1			
256	45658	0				0	1			
256	46058	0				0	1			
256	46458	0				0	1	3		
0	47258	0				0	1			
128	47658	0				0	1			
256	48058	0				0	1			
512	48858	0				0	1			
384	49258	0				0	1			
256	49658	0				0	1	3		
512	50458	0				0	1			
512	50858	0				0	1			
512	51258	0				0	1			
256	52058	0				0	1			
256	52458	0				0	1			
256	52858	0			C2	0	1	3		
128	53258	0				0	1	1		
0	53658	0				0	1			
128	54058	0				0	1			
256	54458	0				0	1			
384	54858	0				0	1	1		
512	55258	0				0	1			
384	55658	0				0	1			
256	56058	0				0	1	3		
384	56458	0				0	1	1		
512	56858	0				0	1			
384	57258	0				0	1			
256	57658	0				0	1			
256	58458	0				0	1			
256	58858	0				0	1			
256	59258	0				0	1	3		
128	59658	0				0	1	1		
0	60058	0				0	1			
128	60458	0				0	1			
256	60858	0				0	1			
256	61258	0				0	1	1		
256	61658	0				0	1			
256	62058	0				0	1			
256	62458	0				0	1	3		
384	62858	0				0	1	1		
512	63258	0				0	1			
384	63658	0				0	1			
256	64058	0	S		C3	0	1			
