音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	Event
256	846	0				0	1			
176	1828	0				0	1			
96	2810	0				0	1			
256	3791	0				0	1			
256	4282	0				0	1			
256	4773	0				0	1			
336	5755	0				0	1			
416	6737	0				0	1			
256	7718	0				0	1			
256	8209	0				0	1			
256	8699	0				0	1			
144	9681	0				0	1			
32	10662	0				0	1			
192	11644	0				0	1			
192	12135	0				0	1			
192	12625	0	S			0	1			
368	13607	0				0	1			
256	14589	0				0	1	7	1-1	
128	15079	0				0	1	7	1-1	
0	15570	0				0	1	7	1-1	
128	16061	0				0	1	7	1-1	
256	16552	0				0	1	3		
256	17533	0				0	1			
416	18515	0				0	1			
256	19497	0				0	1			
256	19987	0				0	1			
256	20110	0				0	1	1		
0	21460	0				0	1			
0	21951	0				0	1			
256	22932	0				0	1			
320	23423	0				0	1			
384	23914	0				0	1	7	0-1	
384	24159	0				0	1	7	0-1	
256	24895	0				0	1			
160	25386	0				0	1			
64	25877	0				0	1			
64	26245	0				0	1			
128	27349	0				0	1			
128	27840	0				0	1			
128	27963	0				0	1	1		
416	28879	0				0	1			
352	29370	0				0	1			
256	29860	0				0	1			
160	30351	0				0	1			
256	30842	0				0	1			
352	31333	0				0	1			
256	31824	0				0	1			
256	32314	0				0	1	3		
128	32805	0				0	1			
128	33051	0				0	1			
128	33296	0	S			0	1			
256	34278	0				0	1			1
336	34768	0				0	1	7	0-1	
336	35014	0				0	1	7	0-1	
336	35259	0				0	1	7	0-1	
160	36241	0				0	1			
112	36732	0				0	1			
64	37222	0				0	1			1
128	38204	0				0	1			
128	38449	0				0	1			
128	38695	0				0	1			
208	39186	0				0	1			1
256	39676	0				0	1	3		
256	40167	0				0	1			1
336	40658	0				0	1			
384	40903	0				0	1			
432	41149	0				0	1			
304	42130	0				0	1	7	0-1	1
176	42621	0				0	1			
128	42867	0				0	1			
80	43112	0				0	1			
192	44093	0				0	1	7	1-1	1
288	44584	0				0	1			
336	44830	0				0	1			
384	45075	0				0	1			
368	46057	0				0	1			
256	46547	0				0	1			
144	47038	0				0	1			1
256	48020	0				0	1	3		
256	49001	0				0	1			
192	49247	0				0	1			
128	49492	0				0	1			
192	49983	0				0	1			
272	50474	0				0	1			
352	50965	0				0	1			
272	51455	0				0	1			
272	51701	0				0	1			
272	51946	0				0	1	1		
256	52928	0				0	1	7	1-1	
336	53419	0				0	1	7	0-1	
256	53909	0				0	1	7	1-1	
176	54400	0				0	1	7	1-1	
256	54891	0				0	1	7	1-1	
336	55382	0				0	1	7	0-1	
256	55873	0	S			0	1			
