音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）			
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	Event	
256	1279	0				0	1					
384	1730	0				0	1					
512	2181	0				0	1					
512	2633	0				0	1					
256	3084	0				0	1	7	2-1			
128	3535	0				0	1					
0	3986	0				0	1	1				
0	4888	0				0	1					
256	5339	0				0	1	7	2-1			
512	5790	0				0	1	7	0-2			
256	6242	0				0	1	7	2-1			
512	6693	0				0	1	7	0-2			
256	7144	0				0	1	7	2-1			
256	7369	0				0	1					
256	7595	0				0	1					
256	8497	0				0	1	3			1	
128	8948	0				0	1					
0	9399	0				0	1					
0	9625	0				0	1					
0	9851	0				0	1					
256	10302	0				0	1	7	2-1		1	
384	10753	0				0	1	7	0-1			
512	11204	0				0	1	7	0-2			
256	12106	0				0	1	7	2-1			
128	12557	0				0	1					
512	13008	0				0	1	7	0-2			
256	13460	0				0	1	7	2-1			
192	13911	0				0	1	5			1	
192	14136	0				0	1	5				
192	14362	0				0	1	5				
192	14587	0				0	1	5				
192	14813	0				0	1	5				
256	15715	0				0	1	3			1	
0	16166	0				0	1	7	1-2			
0	16392	0				0	1					
0	16617	0				0	1					
0	16843	0				0	1					
128	17069	0				0	1					
128	17294	0				0	1					
128	17520	0				0	1					
256	17971	0				0	1					
256	18196	0				0	1					
256	18422	0				0	1					
0	18873	0				0	1	7	1-2			
0	19099	0				0	1					
0	19324	0				0	1				1	
256	19775	0				0	1	7	2-1			
512	20226	0				0	1	7	0-2			
256	20678	0				0	1	7	2-1			
256	20903	0				0	1					
256	21129	0				0	1					
256	22031	0				0	1					
256	22933	0				0	1	3			1	
512	23384	0				0	1					
512	23836	0				0	1					
256	24287	0	S			0	1	7	2-1			
128	24738	0				0	1					
256	25189	0				0	1					
256	25414	0				0	1					
256	25640	0				0	1					
512	26091	0				0	1	7	0-2			
512	26542	0				0	1				1	
256	26993	0				0	1	7	2-1			
256	27219	0				0	1					
256	27445	0				0	1					
0	27896	0				0	1	7	1-2			
0	28347	0				0	1	1				
256	29249	0				0	1	7	2-1			
256	29700	0				0	1					
256	30151	0				0	1	6			1	
512	30602	0				0	1	7	0-2			
256	31054	0				0	1	7	2-1			
0	31505	0				0	1	7	1-2			
256	31956	0				0	1	7	2-1			
320	32407	0				0	1	5				
320	32633	0				0	1	5				
320	32858	0				0	1	5				
256	33309	0				0	1	7	2-1			
256	33760	0				0	1				1	
0	34211	0				0	1	7	1-2			
256	34663	0				0	1	7	2-1			
128	35114	0				0	1					
128	35565	0				0	1					
320	36016	0				0	1	5				
320	36242	0				0	1	5				
320	36467	0				0	1	5				
320	36693	0				0	1	5				
320	36918	0				0	1	5				
