音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）				
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	Event	Skin	
256	1412	0				0	1				1		
64	2412	0				0	1						
448	2912	0				0	1						
256	3412	0				0	1				1		
512	4412	0				0	1						
512	4662	0				0	1						
352	4912	0				0	1						
256	5412	0				0	1				1		
256	6412	0				0	1						
128	6912	0				0	1						
0	7412	0				0	1						
176	7912	0				0	1	1					
256	8412	0				0	1						
256	8912	0				0	1	3		2	1		
256	9412	0				0	1					1	
128	9912	0				0	1						
0	10412	0				0	1						
0	10662	0				0	1						
0	10912	0				0	1						
256	11412	0				0	1	7	2-1		1		
0	11912	0				0	1	7	1-2				
208	12412	0				0	1						
208	12662	0				0	1						
208	12912	0				0	1				1		
512	13412	0				0	1	7	0-2				
256	13912	0				0	1	7	2-1				
384	14412	0				0	1						
384	14662	0				0	1						
384	14912	0				0	1						
64	15412	0				0	1	7	1-1				
448	15912	0				0	1	7	0-1				
64	16412	0				0	1	7	1-1				
256	16912	0	S			0	1	3		2	1		
256	17412	0				0	1					1	
384	17912	0				0	1						
512	18412	0				0	1	7	0-1				
512	18662	0				0	1	7	0-1				
512	18912	0				0	1	7	0-1				
304	19412	0				0	1						
128	19912	0				0	1						
0	20412	0				0	1	7	1-1				
0	20662	0				0	1	7	1-1				
0	20912	0				0	1	7	1-1		1		
192	21412	0				0	1					1	
384	21912	0				0	1						
288	22412	0				0	1	7	0-1				
288	22662	0				0	1	7	0-1				
288	22912	0				0	1	7	0-1				
96	23412	0				0	1	5					
96	23662	0				0	1	5					
96	23912	0				0	1	5					
96	24162	0				0	1	5					
96	24412	0				0	1	5					
256	24912	0				0	1	3		2	1		
256	25412	0				0	1						
384	25912	0				0	1						
512	26412	0				0	1						
384	26912	0				0	1						
256	27412	0				0	1						
384	27912	0				0	1						
304	28412	0				0	1	4					
288	28662	0				0	1	4					
272	28912	0				0	1	4			1		
144	29412	0				0	1					1	
240	29912	0				0	1						
48	30412	0				0	1						
128	30912	0				0	1						
416	31412	0				0	1	7	0-1				
96	31912	0				0	1	7	1-1				
416	32412	0				0	1	7	0-1				
256	32912	0	S			0	1	6		2	1		
304	33412	0				0	1				1	1	
496	33912	0				0	1						
400	34412	0				0	1						
400	34662	0				0	1						
400	34912	0				0	1						
208	35412	0				0	1						
16	35912	0				0	1						
112	36412	0				0	1						
112	36662	0				0	1						
112	36912	0				0	1				1		
400	37412	0				0	1	7	0-1		1		
112	37912	0				0	1	7	1-1				
256	38412	0				0	1						
256	38662	0				0	1						
256	38912	0				0	1					1	
416	39412	0				0	1	5					
96	39912	0				0	1	5					
416	40412	0				0	1	5					
256	40912	0				0	1	3		2	1		
160	41412	0				0	1				1		
64	41912	0				0	1				1		
0	42412	0				0	1						
32	42662	0				0	1						
64	42912	0				0	1				1		
208	43412	0				0	1				1		
320	43912	0				0	1						
352	44162	0				0	1						
320	44412	0				0	1						
288	44662	0				0	1						
320	44912	0				0	1						
160	45412	0				0	1	7	1-1		1		
352	45912	0				0	1	7	0-1		1		
448	46412	0				0	1						
432	46662	0				0	1						
416	46912	0				0	1				1		
160	47412	0				0	1						
192	47662	0				0	1						
224	47912	0				0	1						
256	48162	0				0	1						
288	48412	0				0	1						
256	48912	0	S			0	1				1		
