音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	音效点需要播的音效名字	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	
256	2124	0				0	1	3		
512	3124	0				0	1			
0	4124	0				0	1			
256	5124	0				0	1			
256	6124	0				0	1			
512	7124	0				0	1			
0	8124	0				0	1			
512	9124	0				0	1			
512	10124	0				0	1			
256	11124	0				0	1			
0	12124	0				0	1			
256	13124	0				0	1			
256	14124	0				0	1			
512	15124	0				0	1			
0	16124	0				0	1			
256	17124	0				0	1			
256	18124	0	S		C2	0	1	3		
0	19124	0				0	1			
256	19624	0				0	1			
256	20124	0				0	1			
512	21124	0				0	1			
0	22124	0				0	1			
256	23124	0				0	1			
0	23624	0				0	1			
0	24124	0				0	1			
256	25124	0				0	1			
256	26124	0				0	1			
512	27124	0				0	1			
256	27624	0				0	1			
0	28124	0				0	1			
256	29124	0				0	1			
512	30124	0				0	1			
256	31124	0				0	1			
0	31624	0				0	1			
256	32124	0				0	1			
512	33124	0				0	1			
512	33624	0				0	1			
256	34124	0			C3	0	1	3		
0	35124	0				0	1			
256	35624	0				0	1			
512	36124	0				0	1			
256	37124	0				0	1			
256	37624	0				0	1			
512	38124	0				0	1			
256	39124	0				0	1			
512	39624	0				0	1			
256	40124	0				0	1			
0	41124	0				0	1			
256	41624	0				0	1			
256	42124	0				0	1			
512	43124	0				0	1			
256	43624	0				0	1			
0	44124	0				0	1			
256	45124	0				0	1			
256	45624	0				0	1			
512	46124	0				0	1			
256	47124	0				0	1			
256	47624	0				0	1			
0	48124	0				0	1			
256	49124	0				0	1			
0	49624	0				0	1			
256	50124	0			C1	0	1	3		
512	51124	0				0	1			
512	51374	0				0	1	1		
512	51624	0				0	1			
256	52124	0				0	1			
512	53124	0				0	1			
256	53624	0				0	1			
0	54124	0				0	1			
256	55124	0				0	1			
384	55374	0				0	1	1		
512	55624	0				0	1			
512	56124	0				0	1			
256	57124	0				0	1			
512	57624	0				0	1			
256	58124	0				0	1			
0	59124	0				0	1			
128	59374	0				0	1	1		
256	59624	0				0	1			
260	60124	0				0	1			
512	61124	0				0	1			
256	61624	0				0	1			
512	62124	0				0	1			
256	63124	0				0	1			
384	63374	0				0	1	1		
512	63624	0				0	1			
256	64124	0				0	1			
256	64624	65624				0	1	2		
256	66124	0	S		C2	0	1	3		
0	67124	0				0	1			
256	68124	0				0	1			
256	69124	0				0	1			
512	69624	0				0	1			
512	69874	0				0	1	1		
512	70124	0				0	1			
0	71124	0				0	1			
256	72124	0				0	1			
512	73124	0				0	1			
256	74124	0				0	1	3		
256	75124	0				0	1			
512	76124	0				0	1			
256	77124	0				0	1			
256	78124	0				0	1			
0	79124	0				0	1			
128	79374	0				0	1	1		
256	79624	0				0	1			
256	80124	0				0	1			
512	81124	0				0	1			
256	81624	0				0	1			
256	82124	0	S		C3	0	1			
