音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）		
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	
256	2211	0				0	1				
256	3067	0				0	1				
256	3923	0				0	1				
0	5635	0				0	1				
0	6491	0				0	1				
256	7347	0				0	1				
512	8203	0				0	1				
512	9059	0				0	1				
512	9915	0				0	1				
512	10771	0				0	1				
256	12482	0				0	1				
256	12910	0				0	1				
0	13338	0				0	1				
0	13766	0				0	1				
256	14194	0			C2	0	1	3		2	
512	16334	0				0	1				
512	16762	0				0	1				
256	17190	0				0	1				
256	17404	0				0	1				
256	18046	0				0	1	3		2	
256	19758	0				0	1				
256	19972	0				0	1				
256	20186	0				0	1				
256	20614	0				0	1				
0	21042	0				0	1				
512	21898	0				0	1				
0	22753	0				0	1				
512	23609	0				0	1				
256	24465	0				0	1	3		2	
384	26177	0				0	1				
384	26605	0				0	1				
128	27033	0				0	1				
128	27461	0				0	1				
256	27889	0				0	1	3		2	
256	30029	0				0	1				
256	30243	0				0	1				
256	30457	0				0	1				
512	30885	0	S			0	1				
512	31099	0				0	1				
256	31741	0				0	1	3		2	
0	33452	0				0	1				
0	33666	0				0	1				
0	33880	0				0	1				
0	34308	0				0	1				
512	34736	0				0	1	7	0-2		
0	35592	0				0	1	7	1-2		
512	36448	0				0	1	7	0-2		
0	37304	0				0	1	7	1-2		
512	38160	0				0	1	7	0-2		
0	39016	0				0	1	7	1-2		
256	39872	0				0	1				
256	40300	0				0	1				
384	40728	0				0	1				
384	41156	0				0	1				
384	41370	0				0	1				
384	41584	0			C3	0	1	3		2	
256	42440	43296				0	1	2			
128	43937	0				0	1				
128	44151	0				0	1				
128	44365	0				0	1				
128	44579	0				0	1				
256	45007	0				0	1	3		2	
384	45649	0				0	1				
384	45756	0				0	1	1			
384	45863	0				0	1				
384	46077	0				0	1				
384	46291	0				0	1				
256	46719	0				0	1	3		2	
96	47147	0				0	1	5			
416	47361	0				0	1	5			
96	47575	0				0	1	5			
416	48003	0				0	1	5			
256	48431	0				0	1	3		2	
256	49287	50143				0	1	2			
384	50999	0				0	1				
384	51213	0				0	1				
384	51427	0				0	1				
256	51855	0				0	1	3		2	
128	52497	0				0	1				
128	52711	0				0	1				
128	52925	0				0	1				
128	53139	0				0	1				
256	53567	0				0	1	3		2	
416	53995	0				0	1				
96	54208	0				0	1				
416	54422	0				0	1				
96	54850	0				0	1				
256	55278	0				0	1	3		2	
256	56134	0				0	1				
256	57204	57846				0	1	2			
256	58274	0				0	1				
256	58702	0				0	1				
256	59558	0	S			0	1				
96	60414	0				0	1				
416	60842	0				0	1				
96	61270	0				0	1				
416	61698	0				0	1				
256	62126	0			C1	0	1	3		2	
256	62982	0				0	1				
384	64266	0				0	1				
384	64480	0				0	1				
384	64694	0				0	1				
256	64907.5	0				0	1	1			
128	65121	0				0	1				
128	65335	0				0	1				
128	65763	0				0	1				
256	67689	0				0	1				
256	67903	0				0	1				
256	68117	0				0	1				
256	68545	0				0	1				
512	68973	0				0	1	7	0-2		
0	69829	0				0	1	7	1-2		
512	70685	0				0	1	7	0-2		
0	71541	0				0	1	7	1-2		
256	72397	0				0	1	6		2	
416	73253	0				0	1	5			
96	74109	0				0	1	5			
416	74537	0				0	1	5			
96	74965	0				0	1	5			
416	75393	0				0	1	5			
256	75820	0				0	1	3		2	
256	76676	0				0	1				
512	77960	0				0	1				
512	78174	0				0	1				
512	78388	0				0	1				
256	78816	0				0	1				
256	79030	0				0	1				
256	79458	0				0	1				
256	81384	0				0	1				
256	81598	0				0	1				
256	81812	0				0	1				
256	82240	0				0	1				
512	82668	0				0	1	7	0-2		
0	83524	0				0	1	7	1-2		
512	84380	0				0	1	7	0-2		
0	85236	0				0	1	7	1-2		
512	86092	0				0	1	7	0-2		
0	86947	0				0	1	7	1-2		
256	87803	0				0	1				
256	88231	0				0	1				
256	88659	0				0	1				
256	89087	0				0	1				
256	89515	0	S		C2	0	1				
