音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）		
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	
0	1772	0				0	1				
256	3238	0				0	1	3		2	
256	4617	0				0	1				
512	5996	0				0	1	7	0-2		
512	6514	0				0	1	7	0-2		
256	7376	0				0	1	7	1-1		
256	8755	0				0	1	3		2	
512	10177	0				0	1	7	0-2		
206	11514	0				0	1				
306	11858	0				0	1				
206	12203	0				0	1				
306	12548	0				0	1				
206	12893	0				0	1				
306	13238	0				0	1				
206	13582	0				0	1				
306	13927	0				0	1				
256	14272	0			C2	0	1	6		2	
512	15694	0				0	1	7	0-2		
320	16472	0				0	1	1			
128	17074	0				0	1	7	1-1		
128	17591	0				0	1	7	1-1		
206	18453	0				0	1				
306	18798	0				0	1				
206	19143	0				0	1				
306	19488	0	S			0	1				
206	19832	0				0	1				
306	20177	0				0	1				
206	20565	0				0	1				
384	21255	0				0	1	7	0-1		
256	21945	0				0	1	1			
206	22634	0				0	1				
306	22979	0				0	1				
206	23324	0				0	1				
306	23669	0				0	1				
206	24014	0				0	1				
306	24358	0				0	1				
206	24703	0				0	1				
306	25048	0				0	1				
256	25393	0				0	1	3		2	
0	26815	0				0	1	7	1-2		
256	28238	0				0	1	7	0-1		
256	28669	0				0	1	7	0-1		
128	29574	0				0	1	7	1-1		
192	30264					0	1	1			
256	30953	0				0	1	7	0-1		
512	32376	0				0	1	7	0-2		
0	33755	0				0	1	7	1-2		
0	34445	0				0	1	7	1-2		
256	35134	0				0	1	7	0-1		
256	35824	0				0	1	7	0-1		
256	36514	40005			C3	0	1	2			
256	40652	0				0	1				
0	42031	0				0	1	7	1-1		
512	43453	0				0	1	7	0-2		
206	44832	0				0	1				
306	45177	0				0	1				
206	45522	0				0	1				
306	45867	0				0	1				
206	46212	0				0	1				
306	46557	0				0	1				
206	46901	0				0	1				
306	47246	0				0	1				
256	47634	0	S			0	1	3		2	
256	48324	0				0	1				
320	48669	0				0	1	1			
384	49014	0				0	1	7	1-1		
384	49703	0				0	1	7	1-1		
206	50393	0				0	1				
306	50738	0				0	1				
206	51082	0				0	1				
306	51427	0				0	1				
206	51772	0				0	1				
306	52117	0				0	1				
206	52505	0				0	1				
306	52850	0				0	1				
206	53195	0				0	1				
128	53884	0				0	1	7	1-1		
128	54574	0				0	1	7	1-1		
256	55953	0				0	1	7	0-1		
384	56600	0				0	1	7	0-1		
256	57289	0				0	1	7	1-1		
128	57979	0				0	1	7	1-1		
192	58324	0				0	1	1			
128	58712	0			C1	0	1	7	1-1		
256	59445	0				0	1	7	0-1		
384	60091	0				0	1	7	0-1		
384	60781	0				0	1	7	0-1		
128	61470	0				0	1	7	1-1		
128	62160	0				0	1	7	1-1		
128	62850	0				0	1	7	1-1		
0	63539	0				0	1	7	1-1		
256	64229	0	S			0	1				
