音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	音效点需要播的音效名字	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	
256	1375	0				0	1	3		
512	2815	0				0	1			
512	3295	0				0	1			
0	4735	0				0	1			
128	5215	0				0	1			
384	6175	0				0	1			
256	6655	0				0	1			
128	7135	0				0	1			
256	9055	0				0	1	3		
0	10495	0				0	1			
0	10615	0				0	1	1		
0	10735	0				0	1			
0	10975	0				0	1			
512	12415	0				0	1			
512	12535	0				0	1	1		
512	12655	0				0	1			
512	12895	0				0	1			
416	13855	0				0	1	5		
96	14095	0				0	1	5		
416	14335	0				0	1	5		
96	14455	0				0	1	5		
416	14575	0				0	1	5		
96	14815	0				0	1	5		
256	16735	0			C2	0	1	3		
128	17215	0				0	1			
256	17695	0				0	1			
384	18175	0				0	1			
128	18655	0				0	1			
256	19135	0				0	1			
384	19615	0				0	1			
256	20095	0				0	1			
512	20575	0				0	1			
384	21055	0				0	1			
256	21535	0				0	1			
128	22015	0				0	1			
384	22495	0				0	1			
256	22975	0				0	1			
128	23455	0				0	1			
0	23935	0				0	1			
256	24415	0				0	1	3		
128	24895	0				0	1			
256	25375	0				0	1			
384	25855	0				0	1			
384	26095	0				0	1			
384	26335	0				0	1			
512	26815	0				0	1			
384	27295	0				0	1			
512	27775	0				0	1			
512	28015	0				0	1			
512	28255	0				0	1			
384	28735	0				0	1			
256	29215	0				0	1			
128	29695	0				0	1	4		
128	29935	0				0	1	4		
128	30175	0				0	1	4		
256	30655	0				0	1			
128	31135	0				0	1			
256	31615	0				0	1			
256	31855	0				0	1			
256	32095	33535				0	1	2		
256	34015	0	S		C3	0	1	3		
0	34975	0				0	1			
128	35335	0				0	1			
256	35695	0				0	1			
512	36415	0				0	1			
512	36655	0				0	1			
256	37375	0				0	1			
128	37615	0				0	1			
384	38335	0				0	1			
256	38815	0				0	1			
256	39175	0				0	1			
256	39535	0				0	1			
384	40735	0				0	1	1		
512	41695	0				0	1			
384	42175	0				0	1			
256	42655	0				0	1			
256	43015	0				0	1			
256	43375	0				0	1			
0	44095	0				0	1			
256	44575	0				0	1			
128	44935	0				0	1			
0	45295	0				0	1			
256	46015	0				0	1			
128	46495	0				0	1			
256	46975	0				0	1			
256	47215	0				0	1			
256	48415	0				0	1	1		
256	49375	0				0	1	3		
512	49855	0				0	1			
384	50335	0				0	1			
512	50815	0				0	1			
512	51055	0				0	1			
256	51775	0				0	1			
384	52255	0				0	1			
256	52615	0				0	1			
128	52975	0				0	1			
384	53695	0				0	1			
256	54175	0				0	1			
128	54535	0				0	1			
0	54895	0				0	1			
256	56095	0				0	1	1		
512	57055	0				0	1			
384	57535	0				0	1			
384	57775	0				0	1			
128	58495	0				0	1			
256	58735	0				0	1			
512	59455	0				0	1			
384	59695	0				0	1			
256	59935	0				0	1			
0	60415	0				0	1			
0	60655	0				0	1			
384	62095	0				0	1			
512	62335	0				0	1			
384	62575	0				0	1			
128	63775	0				0	1			
512	64735	0				0	1			
256	65695	0				0	1			
0	66655	0				0	1			
512	67615	0				0	1			
384	68095	0				0	1			
256	68575	0	S		C1	0	1	3		
512	70015	0				0	1			
384	70255	0				0	1			
0	70975	0				0	1			
128	71215	0				0	1			
384	71695	0				0	1			
256	71935	0				0	1			
384	72175	0				0	1			
0	73375	0				0	1			
256	74575	0				0	1			
0	75055	0				0	1			
128	75295	0				0	1			
384	75775	0				0	1			
384	76015	0				0	1			
128	76495	0				0	1			
256	76975	0				0	1			
128	77215	0				0	1			
0	77455	0				0	1			
128	77695	0				0	1			
256	77935	0				0	1			
512	78415	0				0	1			
384	78895	0				0	1			
512	79135	0				0	1			
256	79615	0				0	1			
128	79855	0				0	1			
512	81055	0				0	1			
256	82255	0				0	1			
384	82495	0				0	1			
128	82975	0				0	1			
256	83215	0				0	1			
128	83455	0				0	1			
256	83935	0			C2	0	1	3		
512	85135	0				0	1			
512	85375	0				0	1			
384	85615	0				0	1			
384	85855	0				0	1			
128	86335	0				0	1			
256	86815	0				0	1			
128	87055	0				0	1			
384	87535	0				0	1			
0	88735	0				0	1			
256	89935	0				0	1			
384	90175	0				0	1			
256	90415	0				0	1			
128	90655	0				0	1			
256	91015	0				0	1			
0	91375	0				0	1			
256	91855	0				0	1			
128	92095	0				0	1			
0	92335	0				0	1			
0	92575	0				0	1			
256	93055	0				0	1			
128	93295	0				0	1			
384	93775	0				0	1			
256	94015	0				0	1			
128	94255	0				0	1			
0	94495	0				0	1			
256	94975	0				0	1			
256	95215	0				0	1			
256	95695	0				0	1			
0	96415	0				0	1			
512	97615	0				0	1			
384	97855	0				0	1			
256	98095	0				0	1			
256	98335	0				0	1			
0	98815	0				0	1			
128	99055	0				0	1			
256	99295	100735				0	1	2		
256	101215	0	S		C3	0	1			
