音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt
320	1300	0				0	1		
256	1700	0				0	1	3	
192	2100	0				0	1		
128	2500	0				0	1		
192	2900	0				0	1		
192	3100	0				0	1		
192	3300	0				0	1		
288	4100	0				0	1		
224	4500	0				0	1		
288	4900	0				0	1		
288	5300	0				0	1	5	
288	5500	0				0	1	5	
288	5700	0				0	1	5	
288	5900	0				0	1	5	
288	6100	0				0	1	5	
256	6500	0				0	1	6	
256	6900	0				0	1		
256	7100	0				0	1		
256	7300	0				0	1		
320	7700	0				0	1		
256	8100	0				0	1		
160	8500	0				0	1		
160	8700	0				0	1		
160	8900	0				0	1		
224	9300	0				0	1		
160	9700	0				0	1	7	1-1
160	9900	0				0	1		
160	10100	0				0	1		
64	10500	0				0	1	7	1-1
0	10900	0				0	1	7	1-1
64	11300	0				0	1		
64	11500	0				0	1		
64	11700	0				0	1		
128	12100	0				0	1		
64	12500	0				0	1	7	1-1
160	12900	0				0	1		
160	13100	0				0	1		
160	13300	0				0	1		
256	13700	0				0	1		
224	13900	0				0	1		
192	14100	0				0	1		
288	14500	0				0	1	7	0-1
352	14900	0				0	1		
384	15100	0				0	1		
416	15300	0				0	1		
352	15700	0				0	1	7	0-1
256	16100	0				0	1	3	
384	16500	0				0	1		
384	16700	0				0	1		
384	16900	0				0	1		
320	17300	0				0	1		
256	17700	0	S			0	1		
256	18100	0				0	1	5	
256	18300	0				0	1	5	
256	18500	0				0	1	5	
256	18700	0				0	1	5	
256	18900	0				0	1	5	
352	19300	0				0	1	7	0-1
416	19700	0				0	1		
416	19900	0				0	1		
416	20100	0				0	1		
480	20500	0				0	1	7	0-1
416	20900	0				0	1	7	0-1
416	21300	0				0	1	5	
416	21500	0				0	1	5	
416	21700	0				0	1	5	
416	22100	0				0	1		
320	22500	0				0	1		
320	22700	0				0	1		
320	22900	0				0	1		
256	23300	0				0	1	7	1-1
352	23700	0				0	1	7	0-1
256	24100	0				0	1		
256	24300	0				0	1		
256	24500	0				0	1		
192	24900	0				0	1		
256	25300	0				0	1		
256	25700	0				0	1	3	
352	26100	0				0	1	5	
160	26500	0				0	1	5	
352	26900	0				0	1	5	
352	27700	0	S			0	1		
352	27900	0				0	1		
352	28100	0				0	1		
352	28300	0				0	1		
352	28500	0				0	1		
320	29300	0				0	1	7	0-1
256	29700	0				0	1	7	1-1
224	30100	0				0	1		
224	30300	0				0	1		
128	30900	0				0	1		
192	31300	0				0	1		
160	31700	0				0	1		
128	31900	0				0	1		
96	32100	0				0	1	7	1-1
96	32500	0				0	1	5	
96	32700	0				0	1	5	
96	32900	0				0	1	5	
96	33100	0				0	1	5	
96	33300	0				0	1	5	
256	34100	0				0	1	5	
256	34300	0				0	1	5	
256	34500	0				0	1	5	
256	34700	0				0	1	5	
256	34900	0				0	1	5	
256	35300	0				0	1	6	
384	35700	0				0	1	7	0-1
320	36100	0				0	1	7	0-1
256	36500	0				0	1	7	1-1
224	36900	0				0	1		
224	37100	0				0	1		
256	37300	0				0	1		
256	37500	0				0	1		
256	37700	0				0	1		
256	37900	0				0	1		
256	38105	0	S			0	1		
