音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	音效点需要播的音效名字	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	
256	2050	0				0	1			
256	2925	0				0	1			
0	4049	0				0	1			
0	4924	0				0	1			
256	6049	0				0	1			
512	6924	0				0	1			
256	8049	0				0	1	3		
256	8550	0				0	1			
256	8924	0				0	1			
512	10049	0				0	1	7	0-1	
384	10550	0				0	1	7	0-1	
256	10924	0				0	1	7	0-1	
0	12049	0				0	1			
128	12550	0				0	1			
0	12924	0				0	1			
256	14049	0				0	1	7	1-1	
128	14550	0				0	1	7	1-1	
0	14924	0				0	1	7	1-1	
256	16050	0			C2	0	1	3		
128	16550	0				0	1			
0	16924	0				0	1			
0	17424	0				0	1			
256	18049	0				0	1			
512	18550	0				0	1			
512	18924	0				0	1			
384	19424	0				0	1			
256	20049	0				0	1			
384	20550	0				0	1			
512	20924	0				0	1			
512	21424	0				0	1			
256	22049	0				0	1			
0	22550	0				0	1			
0	22924	0				0	1			
128	23424	0				0	1			
256	24049	0				0	1	3		
384	24550	0				0	1			
512	24924	0				0	1			
512	25424	0				0	1			
256	26050	0				0	1			
128	26550	0				0	1			
0	26924	0				0	1			
0	27424	0				0	1			
256	28049	0				0	1			
512	28550	0				0	1			
512	28924	0				0	1			
256	29424	0				0	1			
512	30049	0				0	1			
256	30550	0				0	1			
128	30924	0				0	1			
256	31424	0				0	1			
256	32049	0	S		C3	0	1	3		
512	32924	0				0	1			
384	33174	0				0	1	1		
256	33424	0				0	1			
256	34049	0				0	1			
0	34924	0				0	1			
256	35549	0				0	1			
256	36049	0				0	1			
512	36924	0				0	1			
0	38049	0				0	1			
256	38549	0				0	1			
512	39049	0				0	1			
256	40049	0				0	1	3		
512	40924	0				0	1	7	0-1	
384	41174	0				0	1	1		
256	41424	0				0	1	7	1-1	
0	42049	0				0	1			
256	42924	0				0	1	7	0-1	
128	43424	0				0	1	7	1-1	
256	44049	0				0	1			
384	44549	0				0	1			
512	45049	0				0	1			
384	45549	0				0	1			
256	46049	0				0	1			
0	46924	0				0	1			
256	48049	0			C1	0	1	3		
0	49049	0				0	1			
128	49549	0				0	1			
256	50049	0				0	1			
256	50299	0				0	1	1		
256	50549	0				0	1			
512	52049	0				0	1			
512	52300	0				0	1			
0	53049	0				0	1	7	1-1	
256	53549	0				0	1	7	2-1	
512	54049	0				0	1	7	0-1	
256	54924	0				0	1			
256	56049	0				0	1	3		
0	57049	0				0	1			
512	58049	0				0	1	7	0-2	
384	58549	0				0	1	7	0-1	
256	59049	0				0	1	7	2-1	
128	59549	0				0	1	7	1-1	
0	60049	0				0	1	7	1-2	
96	61049	0				0	1	5		
416	61174	0				0	1	5		
96	61299	0				0	1	5		
416	61424	0				0	1	5		
96	61549	0				0	1	5		
416	61674	0				0	1	5		
96	61799	0				0	1	5		
416	61924	0				0	1	5		
96	62049	0				0	1	5		
256	63049	0				0	1			
256	64050	0	S		C2	0	1	3		
512	65049	0				0	1			
0	66049	0				0	1			
128	66299	0				0	1	1		
256	66549	0				0	1			
0	68049	0				0	1			
512	69049	0				0	1			
256	69549	0				0	1			
384	69799	0				0	1	1		
512	70049	0				0	1			
256	70549	0				0	1			
0	71050	0				0	1			
256	72049	0				0	1	3		
512	73049	0				0	1			
0	74049	0				0	1	7	1-1	
256	74549	0				0	1	7	2-1	
512	75049	0				0	1	7	0-1	
256	75549	0				0	1	7	2-1	
0	76049	0				0	1	7	1-1	
96	77049	0				0	1	5		
416	77174	0				0	1	5		
96	77299	0				0	1	5		
416	77424	0				0	1	5		
96	77549	0				0	1	5		
416	77674	0				0	1	5		
96	77799	0				0	1	5		
416	77924	0				0	1	5		
96	78049	0				0	1	5		
256	79049	0				0	1			
256	80049	0			C3	0	1	3		
0	81549	0				0	1			
128	82049	0				0	1			
512	83049	0				0	1			
0	84050	0				0	1	7	1-2	
512	86050	0				0	1			
0	88049	0				0	1			
512	89549	0				0	1			
384	90049	0				0	1			
0	91049	0				0	1			
256	92050	0				0	1	7	2-1	
0	94050	0				0	1			
512	96049	0	S		C1	0	1			
