音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt
320	841	0				0	1		
320	1082	0				0	1		
320	1324	0				0	1		
320	1566	0				0	1		
320	1808	0				0	1		
256	2322	0				0	1		
256	2564	0				0	1		
256	2806	0				0	1		
256	3048	0				0	1		
256	3290	0				0	1		
256	3532	0				0	1		
256	3774	0				0	1		
192	4259	0				0	1		
192	4500	0				0	1		
128	4953	0				0	1	7	1-1
192	5437	0				0	1	7	1-1
192	5921	0				0	1	5	
192	6163	0				0	1	5	
192	6405	0				0	1	5	
192	6647	0				0	1	5	
192	6889	0				0	1	5	
192	7131	0				0	1	5	
192	7373	0				0	1	5	
256	7823	0				0	1	3	
288	8189	0				0	1		
352	8552	0				0	1		
352	8794	0				0	1		
416	9278	0	S			0	1		
384	10004	0				0	1	7	0-1
384	10246	0				0	1		
480	10730	0				0	1		
512	11214	0				0	1		
416	11939	0				0	1		
416	12181	0				0	1		
320	12665	0				0	1	7	0-1
256	13149	0				0	1	7	1-1
320	13633	0				0	1		
320	13875	0				0	1		
320	14117	0				0	1		
320	14359	0				0	1		
320	14601	0				0	1		
320	14843	0				0	1		
320	15085	0				0	1		
256	15568	0				0	1	6	
160	16052	0				0	1		
96	16778	0				0	1	7	1-1
192	17262	0				0	1		
256	17746	0				0	1	7	1-1
192	18230	0				0	1		
192	18472	0				0	1	7	1-1
288	18956	0				0	1	7	0-1
352	19439	0				0	1		
416	19923	0	S			0	1		
352	20649	0				0	1		
256	21375	0				0	1	5	
256	21617	0				0	1	5	
256	21859	0				0	1	5	
256	22101	0				0	1	5	
256	22343	0				0	1	5	
256	22584	0				0	1	5	
256	22826	0				0	1	5	
256	23310	0				0	1	3	
256	23794	0				0	1	7	1-1
96	24520	0				0	1		
128	25004	0				0	1		
192	25488	0				0	1		
128	25972	0				0	1		
128	26214	0				0	1		
64	26698	0				0	1		
96	26939	0				0	1		
128	27181	0				0	1		
192	27665	0				0	1	7	1-1
256	28149	0				0	1		
256	28391	0				0	1		
96	28875	0				0	1		
128	29117	0				0	1		
160	29359	0				0	1		
192	29601	0				0	1		
224	29843	0				0	1		
192	30085	0				0	1	7	1-1
160	30327	0				0	1		
128	30568	0	S			0	1		
