音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt
256	442	0				0	1		
256	780	0				0	1		
352	1119	0				0	1		
256	1570	0				0	1	3	
128	1965	0				0	1		
128	2247	0				0	1		
0	2698	0				0	1		
128	3149	0				0	1	7	1-1
320	4164	0				0	1		
320	4502	0				0	1	5	
320	4728	0				0	1	5	
512	5856	0				0	1	7	0-1
384	6307	0				0	1	7	0-1
256	6758	0				0	1	7	1-1
384	7209	0				0	1	7	0-1
256	7660	0				0	1	6	
96	8562	0				0	1		
256	9465	0				0	1		
352	10254	0				0	1		
352	10480	0				0	1		
256	10931	0				0	1	5	
256	11156	0				0	1	5	
256	11382	0				0	1	5	
352	11834	0				0	1		
256	12285	0				0	1		
352	12736	0				0	1		
256	13187	0				0	1	3	
128	13864	0				0	1	7	1-1
256	14315	0				0	1	7	1-1
256	14540	0				0	1		
256	14766	0				0	1		
256	14992	0	S			0	1		
352	15443	0				0	1	5	
352	15894	0				0	1	5	
352	16345	0				0	1	5	
256	16796	0				0	1	6	
416	17473	0				0	1		
416	17698	0				0	1		
512	18149	0				0	1		
512	18375	0				0	1		
512	18601	0				0	1		
384	19052	0				0	1	5	
384	19277	0				0	1	5	
384	19503	0				0	1	5	
256	19954	0				0	1		
256	20179	0				0	1		
128	20405	0				0	1	7	1-1
128	20631	0				0	1	7	1-1
128	20856	0				0	1	7	1-1
128	21082	0				0	1	7	1-1
128	21307	0				0	1	7	1-1
256	21758	0				0	1		
384	22210	0				0	1		
384	22435	0				0	1		
384	22661	0				0	1		
384	22887	0				0	1		
256	23112	0				0	1		
256	23338	0				0	1		
256	23563	0	S			0	1		
128	24014	0				0	1		
160	24240	0				0	1		
192	24465	0				0	1		
224	24691	0				0	1		
256	24916	0				0	1		
384	25367	0				0	1		
256	25819	0				0	1	3	
0	26721	0				0	1		
256	27623	0				0	1	7	2-1
160	28525	0				0	1	7	1-1
256	29428	0				0	1	7	1-1
416	30330	0				0	1		
512	31232	0				0	1		
256	32360	0				0	1		
224	32586	0				0	1		
192	32811	0				0	1		
160	33037	0				0	1		
192	33262	0				0	1		
224	33488	0				0	1		
256	33713	0				0	1		
288	33939	0				0	1		
160	34841	0				0	1	7	1-1
64	35969	0				0	1	5	
64	36195	0				0	1	5	
256	36646	0				0	1	6	
320	37548	0				0	1		
256	38450	0				0	1		
352	39578	0				0	1		
352	39804	0	S			0	1		
