音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）		
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	
256	1197	0				0	1	3		2	
416	1666	0				0	1	5			
96	2134	0				0	1	5			
416	2603	0				0	1	5			
96	3072	0				0	1	5			
256	3541	0				0	1	3		2	
0	4009	0				0	1	7	1-2		
256	4478	0				0	1	7	0-1		
0	4947	0				0	1	7	1-1		
256	5416	0				0	1	7	2-1		
580	5884	0				0	1	7	0-1		
256	6353	0				0	1	7	1-1		
580	6822	0				0	1	7	0-1		
256	7291	0				0	1	3		2	
580	7759	0				0	1	7	0-2		
256	8228	0				0	1	7	1-1		
580	8697	0				0	1	7	0-1		
256	9166	0				0	1	7	2-1		
0	9634	0				0	1	7	1-1		
256	10103	0	S			0	1	7	0-1		
0	10572	0				0	1	7	1-1		
256	11041	0				0	1	3		2	
580	11509	0				0	1	7	0-1		
0	11978	0				0	1	7	1-1		
256	12447	0				0	1				
128	12916	0				0	1				
384	13384	0				0	1				
256	13853	0				0	1				
256	14322	0				0	1				
256	14791	0				0	1	3		2	
0	15259	0				0	1	7	1-1		
550	15728	0				0	1	7	0-1		
0	16197	0				0	1	7	1-1		
256	16666	18072				0	1	2			
256	18541	0				0	1	3		2	
256	19009	0				0	1				
418	19478	0				0	1				
418	19595	0				0	1				
418	19947	0				0	1				
256	20416	0				0	1				
256	20533	0				0	1				
256	20884	0	S			0	1				
90	21353	0				0	1				
90	21470	0				0	1				
90	21822	0				0	1				
256	22291	0				0	1	3		2	
256	22759	0				0	1				
205	23228	0				0	1				
205	23345	0				0	1				
205	23697	0				0	1				
421	24166	0				0	1				
421	24283	0				0	1				
421	24634	0				0	1				
127	25103	0				0	1				
127	25220	0				0	1				
127	25572	0				0	1				
256	26041	0				0	1	3		2	
325	26509	0				0	1				
325	26626	0				0	1				
325	26978	0				0	1				
128	27447	0				0	1				
128	27564	0				0	1				
128	27916	0				0	1				
384	28384	0				0	1				
384	28501	0				0	1				
384	28853	0				0	1				
256	29322	0				0	1				
256	29791	0				0	1	3		2	
128	30259	0				0	1	1			
0	31666	0	S			0	1				
