音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 3是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）		
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	Event	
256	865	0				0	1			1	
256	1300	0				0	1	7	2-1		
256	1517	0				0	1	7	2-1		
256	1735	0				0	1	7	2-1		
256	1952	0				0	1	7	2-1		
256	2169	0				0	1	7	2-1		
176	2604	0				0	1				
256	3474	0				0	1	5			
256	3691	0				0	1	5			
256	3909	0				0	1	5			
320	4343	0				0	1				
384	4778	0				0	1				
128	5696	0				0	1				
256	6131	0				0	1	3		1	
144	6565	0				0	1	5			
144	6782	0				0	1	5			
144	7000	0				0	1	5			
144	7217	0				0	1	5			
144	7434	0				0	1	5			
240	7870	0				0	1				
336	8304	0				0	1				
240	8739	0				0	1				
320	9174	0				0	1	7	0-1		
320	9391	0				0	1	7	0-1		
320	9609	0				0	1	7	0-1		
320	9826	0				0	1	7	0-1		
320	10043	0				0	1	7	0-1		
224	10478	0				0	1				
144	10913	0				0	1				
48	11348	0				0	1				
144	11783	0				0	1	5			
144	12000	0				0	1	5			
144	12218	0				0	1	5			
144	12435	0				0	1	5			
144	12652	0				0	1	5			
224	13087	0				0	1				
144	13522	0				0	1				
48	13957	0				0	1				
144	14391	0				0	1				
224	14826	0				0	1				
304	15261	0				0	1				
432	16130	0				0	1	7	0-1		
432	16565	0				0	1	7	0-1	1	
432	16999	0				0	1	7	0-1		
336	17434	0				0	1				
336	17868	0				0	1				
256	18304	0				0	1	3			
224	18738	0				0	1				
128	19173	0				0	1				
256	19608	0				0	1	5			
256	19825	0				0	1	5			
256	20043	0				0	1	5			
336	20477	0				0	1				
256	21347	0				0	1	7	2-1		
256	21782	0				0	1	7	2-1		
368	22217	0				0	1				
320	22434	0				0	1				
272	22652	0				0	1				
224	22869	0				0	1				
176	23086	0				0	1				
272	23521	0				0	1				
176	23956	0				0	1	7	1-1		
176	24174	0				0	1	7	1-1		
176	24391	0				0	1	7	1-1		
112	24825	0				0	1				
208	25260	0	S			0	1				
304	25695	0				0	1				
128	26565	0				0	1				
256	27000	0				0	1	3		1	
256	27434	0				0	1	5			
256	27651	0				0	1	5			
256	27869	0				0	1	5			
256	28086	0				0	1	5			
256	28303	0				0	1	5			
384	28739	0				0	1	7	0-1		
256	29173	0				0	1	7	2-1		
384	29608	0				0	1	7	0-1		
288	30043	0				0	1				
240	30260	0				0	1				
192	30478	0				0	1				
144	30695	0				0	1				
96	30912	0				0	1				
192	31347	0				0	1				
272	31782	0				0	1				
384	32217	0				0	1				
256	32652	0				0	1	7	2-1		
256	32869	0				0	1	7	2-1		
256	33087	0				0	1	7	2-1		
256	33304	0				0	1	7	2-1		
256	33521	0				0	1	7	2-1		
128	33956	0				0	1				
240	34391	0				0	1				
336	34826	0				0	1				
416	35260	0				0	1				
336	35695	0				0	1				
256	36130	0				0	1				
512	37000	0				0	1				
400	37435	0				0	1			1	
256	37869	0				0	1				
400	38304	0				0	1				
256	38738	0				0	1				
160	39174	0				0	1				
80	39608	0				0	1				
0	40043	0				0	1				
128	40478	0				0	1	5			
128	40695	0				0	1	5			
128	40913	0				0	1	5			
256	41347	0				0	1				
128	42217	0				0	1				
256	42652	0				0	1	6		1	
128	43087	0				0	1	7	1-1		
128	43304	0				0	1	7	1-1		
128	43522	0				0	1	7	1-1		
128	43739	0				0	1	7	1-1		
128	43956	0				0	1	7	1-1		
256	44391	0				0	1				
384	44826	0				0	1	5			
384	45044	0				0	1	5			
384	45261	0				0	1	5			
256	45695	0				0	1				
384	46130	0				0	1				
512	46565	0				0	1				
384	47435	0				0	1				
256	47870	0				0	1			1	
384	48304	0				0	1	7	0-1		
336	48521	0				0	1	7	0-1		
288	48739	0				0	1	7	0-1		
240	48956	0				0	1	7	1-1		
192	49173	0				0	1	7	1-1		
352	49609	0				0	1				
240	50043	0				0	1				
128	50478	0				0	1				
16	50913	0				0	1				
64	51130	0				0	1				
112	51348	0				0	1				
160	51565	0				0	1				
208	51782	0				0	1				
96	52217	0				0	1				
208	52652	0				0	1				
256	53087	0				0	1	3			
192	53522	0				0	1	5			
192	53739	0				0	1	5			
192	53957	0				0	1	5			
192	54174	0				0	1	5			
192	54391	0				0	1	5			
320	54826	0	S			0	1				
400	55261	0				0	1				
256	55696	0				0	1	7	2-1		
256	56130	0				0	1	7	2-1		
256	56565	0				0	1	7	2-1		
256	57000	0				0	1	7	2-1		
128	57870	0				0	1				
0	58305	0				0	1			1	
96	58739	0				0	1				
176	59174	0				0	1				
256	59608	0				0	1	7	2-1		
352	60044	0				0	1				
224	60478	0				0	1				
352	60913	0				0	1				
448	61348	0				0	1	5			
448	61565	0				0	1	5			
448	61783	0				0	1	5			
352	62217	0				0	1				
192	63087	0				0	1				
256	63522	0				0	1	3		1	
160	63957	0				0	1	7	1-1		
160	64174	0				0	1	7	1-1		
160	64392	0				0	1	7	1-1		
160	64609	0				0	1	7	1-1		
160	64826	0				0	1	7	1-1		
304	65261	0				0	1				
144	65696	0				0	1				
96	65914	0				0	1				
48	66131	0				0	1				
144	66565	0				0	1				
256	67000	0				0	1				
336	67435	0				0	1				
176	68304	0				0	1				
176	68739	0				0	1			1	
256	69173	0				0	1	5			
256	69390	0				0	1	5			
256	69608	0				0	1	5			
256	69825	0				0	1	5			
256	70042	0				0	1	5			
400	70478	0				0	1				
512	70912	0				0	1				
400	71347	0				0	1				
256	71782	0				0	1				
208	71999	0				0	1				
160	72217	0				0	1				
112	72434	0				0	1				
64	72651	0				0	1				
176	73086	0				0	1				
320	73521	0				0	1				
256	73956	0				0	1	3		1	
304	74391	0				0	1	5			
304	74608	0				0	1	5			
304	74826	0				0	1	5			
304	75043	0				0	1	5			
304	75260	0				0	1	5			
176	75695	0				0	1				
80	76130	0				0	1				
224	76565	0				0	1	7	0-1		
96	76999	0				0	1	7	1-1		
224	77434	0				0	1	7	0-1		
336	77869	0				0	1	7	0-1		
0	78739	0				0	1				
128	79174	0				0	1			1	
0	79608	0				0	1				
128	80043	0				0	1				
0	80477	0				0	1				
128	80913	0				0	1				
256	81347	0				0	1				
384	81782	0				0	1				
512	82217	0				0	1	5			
512	82434	0				0	1	5			
512	82652	0				0	1	5			
384	83086	0				0	1				
128	83956	0				0	1				
256	84391	0				0	1	6		1	
400	84826	0				0	1	5			
400	85043	0				0	1	5			
400	85261	0				0	1	5			
400	85478	0				0	1	5			
400	85695	0				0	1	5			
288	86130	0				0	1				
128	86565	0				0	1	7	1-1		
128	86783	0				0	1	7	1-1		
128	87000	0				0	1	7	1-1		
256	87434	0				0	1				
384	87869	0				0	1				
256	88304	0	S			0	1				
