音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）		
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	
256	1496	0				0	1				
512	2463	0				0	1				
256	3431	0				0	1				
0	4399	0				0	1	1			
256	5367	0				0	1				
0	6334	0				0	1				
512	7302	0				0	1				
0	7786	0				0	1				
256	8270	0				0	1				
256	9238	0			C2	0	1	3		1.5	
128	9722	0				0	1				
128	9963	0				0	1				
128	10205	0				0	1				
96	10689	0				0	1	5			
416	10810	0				0	1	5			
96	10931	0				0	1	5			
416	11052	0				0	1	5			
96	11173	0				0	1	5			
256	11657	0				0	1	3		1.5	
256	11899	0				0	1				
256	12141	0				0	1				
128	12625	0				0	1				
384	13109	0				0	1				
128	13593	0				0	1				
384	14076	0				0	1				
128	14560	0				0	1				
384	15044	0				0	1				
384	15286	0				0	1				
384	15528	0				0	1				
384	15770	0				0	1				
384	16012	0				0	1				
256	16496	0				0	1	3		1.5	
128	16980	0				0	1				
128	17222	0				0	1				
128	17463	0				0	1				
256	17947	0				0	1				
96	18431	0				0	1	5			
416	18552	0				0	1	5			
96	18673	0				0	1	5			
416	18794	0				0	1	5			
96	18915	0				0	1	5			
256	19399	0				0	1	3		1.5	
384	19641	0				0	1				
384	19883	0				0	1				
0	20367	0				0	1				
256	20851	0				0	1				
512	21334	0				0	1				
256	21818	0				0	1				
0	22302	0				0	1				
128	22786	0				0	1				
128	23028	0				0	1				
128	23270	0				0	1				
128	23512	0				0	1				
128	23754	0				0	1				
192	24238	0				0	1	1			
256	24722	0			C3	0	1	3		1.5	
256	25205	0				0	1				
256	25447	0				0	1				
256	25689	0				0	1				
416	26173	0				0	1	5			
96	26294	0				0	1	5			
416	26415	0				0	1	5			
96	26536	0				0	1	5			
416	26657	0				0	1	5			
256	27141	0				0	1	3		1.5	
256	27383	0				0	1				
256	27625	0				0	1				
256	28109	0				0	1				
128	28593	0				0	1	7	1-1		
384	29076	0				0	1	7	0-1		
128	29560	0				0	1	7	1-1		
384	30044	0				0	1	7	0-1		
256	30528	0				0	1				
128	30770	0				0	1	7	1-1		
256	31012	0				0	1				
384	31254	0				0	1	7	0-1		
256	31496	0				0	1				
256	31980	0	S			0	1	3		1.5	
128	32463	0				0	1				
128	32705	0				0	1				
128	32947	0				0	1				
256	33431	0				0	1				
416	33915	0				0	1	5			
96	34036	0				0	1	5			
416	34157	0				0	1	5			
96	34278	0				0	1	5			
416	34399	0				0	1	5			
256	34883	0				0	1	3		1.5	
256	35125	0				0	1				
128	35367	0				0	1				
0	35851	0				0	1	7	1-1		
256	36334	0				0	1	7	2-1		
512	36818	0				0	1	7	0-1		
256	37302	0				0	1	7	2-1		
0	37786	0				0	1	7	1-1		
256	38270	0				0	1				
256	38512	0				0	1				
128	38754	0				0	1	7	1-1		
256	38996	0				0	1				
384	39238	0				0	1	7	0-1		
128	39722	0				0	1				
256	40205	0			C1	0	1	3		1.5	
0	40689	0				0	1				
0	40931	0				0	1				
0	41173	0				0	1				
128	41415	0				0	1				
128	41657	0				0	1				
128	41899	0				0	1				
256	42141	0				0	1	3		1.5	
384	42625	0				0	1				
384	42867	0				0	1				
384	43109	0				0	1				
512	43351	0				0	1				
512	43593	0				0	1				
384	43834	0				0	1				
384	44076	0				0	1				
256	44318	0				0	1	3		1.5	
0	44802	0				0	1				
0	44923	0				0	1				
0	45044	0				0	1				
256	45286	0				0	1	3		1.5	
256	45528	0				0	1				
256	45770	0				0	1				
384	46012	0				0	1				
384	46254	0				0	1				
512	46496	0				0	1				
512	46738	0				0	1				
384	46980	0				0	1				
