音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	音效点需要播的音效名字	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	
0	970	0				0	1			
512	1425	0				0	1			
0	1880	0				0	1			
256	2335	0				0	1	3		
128	2789	0				0	1	1		
0	3699	0				0	1			
0	3926	0				0	1			
256	4608	0				0	1	1		
512	5517	0				0	1			
512	5972	0				0	1			
256	6654	0				0	1			
512	7336	0				0	1			
256	7791	0				0	1			
384	8245	0				0	1	1		
512	8700	0				0	1			
384	9155	0				0	1	1		
256	9609	0				0	1	3		
0	10746	0				0	1			
0	10973	0				0	1			
256	11428	0				0	1			
128	11883	0				0	1	1		
0	12792	0				0	1			
256	13247	0				0	1			
512	14156	0				0	1			
512	14611	0				0	1			
512	15066	0				0	1			
256	15975	0				0	1			
256	16430	0				0	1			
256	16884	0	S		C2	0	1	3		
0	17339	0				0	1			
256	17794	0				0	1			
0	18248	0				0	1			
256	18703	0				0	1			
512	19158	0				0	1			
256	19612	0				0	1			
0	20067	0				0	1			
512	20522	0				0	1			
0	20977	0				0	1			
512	21431	0				0	1			
0	21886	0				0	1			
512	22341	0				0	1			
256	22795	0				0	1			
0	23250	0				0	1			
256	23705	0				0	1			
512	24159	0				0	1			
256	25410	0				0	1			
512	25978	0				0	1			
256	26887	0				0	1			
256	27797	30525				0	1	2		
0	31434	0			C3	0	1			
256	32116	0				0	1			
128	32798	0				0	1			
0	33253	0				0	1			
256	33935	0				0	1			
384	34617	0				0	1			
256	35072	0				0	1			
512	35754	0				0	1			
256	36436	0				0	1			
128	36890	0				0	1			
256	37572	0				0	1			
0	38254	0				0	1			
256	38709	0	S		C1	0	1	3		
0	39391	0				0	1	4		
0	39732	0				0	1	4		
0	40073	0				0	1	4		
256	40528	0				0	1	3		
512	41210	0				0	1			
384	41551	0				0	1			
256	41892	0				0	1			
256	42347	0				0	1	3		
512	43029	0				0	1			
256	43370	0				0	1			
512	43711	0				0	1			
256	44165	0				0	1	3		
0	44847	0				0	1	4		
0	45188	0				0	1	4		
0	45529	0				0	1	4		
256	46893	0	S		C2	0	1	3		
