音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	音效点需要播的音效名字	
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	
256	1425	0				0	1	3		
0	2496	0				0	1			
128	3032	0				0	1			
128	3300	0				0	1			
512	4639	0				0	1			
256	5175	0				0	1			
256	5443	0				0	1			
512	6246	0				0	1			
512	6514	0				0	1			
384	7050	0				0	1			
256	7318	0				0	1			
128	7585	0				0	1			
384	8925	0				0	1			
128	9461	0				0	1			
128	9728	0				0	1			
256	9996	0				0	1	3		
0	11068	0				0	1			
256	11603	0				0	1			
128	11871	0				0	1			
512	13211	0				0	1			
256	13746	0				0	1			
384	14014	0				0	1			
128	14818	0				0	1			
128	15086	0				0	1			
256	15621	0				0	1			
0	15889	0				0	1			
256	16157	0				0	1			
96	17496	0				0	1	5		
416	17764	0				0	1	5		
96	18032	0				0	1	5		
416	18300	0				0	1	5		
96	18568	0			C2	0	1	5		
256	19371	0	S			0	1			
128	19907	0				0	1			
0	20443	0				0	1			
96	21782	0				0	1	5		
416	22050	0				0	1	5		
96	22318	0				0	1	5		
416	22586	0				0	1	5		
96	22853	0				0	1	5		
256	23657	0				0	1			
512	24193	0				0	1			
256	24728	0				0	1			
416	26068	0				0	1	5		
96	26336	0				0	1	5		
416	26603	0				0	1	5		
96	26871	0				0	1	5		
416	27139	0				0	1	5		
128	27943	0				0	1			
384	28478	0				0	1			
256	29014	31425				0	1	2		
256	32228	0				0	1			
256	32496	0				0	1			
128	32764	0				0	1	1		
0	33032	0				0	1			
128	33300	0				0	1	1		
256	33568	0	S		C3	0	1	3		
512	34639	0				0	1			
0	35710	0				0	1			
256	36246	0				0	1	1		
512	36782	0				0	1			
0	37853	0				0	1			
512	38925	0				0	1			
256	39996	0				0	1			
384	40532	0				0	1	1		
512	41068	0				0	1			
0	42139	0				0	1			
256	43210	0				0	1			
0	44282	0				0	1			
256	44818	0				0	1	1		
512	45353	0				0	1			
0	46425	0				0	1			
512	47496	0				0	1			
0	48568	0	S		C1	0	1			
