音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt
256	1147	0				0	1		
192	1616	0				0	1		
192	2084	0				0	1		
256	2553	0				0	1		
256	3022	0				0	1		
256	3491	0				0	1	6	
128	3959	0				0	1	7	1-1
192	4428	0				0	1	7	1-1
128	4897	0				0	1		
64	5366	0				0	1	7	1-1
64	5834	0				0	1	7	1-1
64	6303	0				0	1	7	1-1
160	6772	0				0	1		
160	6889	0				0	1		
256	7241	0				0	1	3	
160	7709	0				0	1	5	
352	8178	0				0	1	5	
160	8647	0				0	1	5	
352	9116	0				0	1	5	
160	9584	0				0	1	5	
352	10053	0				0	1	5	
352	10522	0	S			0	1		
352	10639	0				0	1		
256	10991	0				0	1	3	
352	11459	0				0	1		
288	11928	0				0	1	7	0-1
224	12397	0				0	1		
160	12866	0				0	1		
224	13334	0				0	1		
288	13803	0				0	1		
352	14272	0				0	1		
352	14389	0				0	1		
256	14741	0				0	1	3	
160	15209	0				0	1	5	
352	15678	0				0	1	5	
160	16147	0				0	1	5	
352	16616	0				0	1	5	
160	17084	0				0	1	5	
352	17553	0				0	1	5	
160	18022	0				0	1		
160	18139	0				0	1		
256	18491	0				0	1	6	
192	18959	0				0	1		
128	19428	0				0	1	7	1-1
128	19662	0				0	1	7	1-1
128	19897	0				0	1	7	1-1
64	20366	0	S			0	1		
0	20834	0				0	1		
64	21303	0				0	1		
64	21537	0				0	1		
64	21772	0				0	1		
256	22241	0				0	1	3	
192	22709	0				0	1		
256	23178	0				0	1	7	1-1
256	23412	0				0	1	7	1-1
256	23647	0				0	1	7	1-1
160	24116	0				0	1		
224	24584	0				0	1		
288	25053	0				0	1		
288	25287	0				0	1		
288	25522	0				0	1		
256	25991	0				0	1		
288	26459	0				0	1		
352	26928	0				0	1	5	
352	27162	0				0	1	5	
352	27397	0				0	1	5	
416	27866	0				0	1	7	0-1
480	28334	0				0	1	7	0-1
384	28803	0				0	1		
416	29037	0				0	1		
448	29272	0				0	1		
256	29741	0				0	1		
224	30209	0				0	1		
224	30678	0				0	1	5	
224	30912	0				0	1	5	
224	31147	0				0	1	5	
192	31616	0	S			0	1		
