音轨（1左2右）	开始时间	结束时间	道具	触发条件	触发事件	音效0是第一个 0是第二个	音量0-0.8的值可两位小数	0是打击点 1是音效点	特殊值格式1-2 -左边的值（0是左1是右） -右边的值（数量）			
Line	StartTime	EndTime	Item	Condition	Action	SoundEffects	Volume	IsHit	Gunbolt	discolor	Event	
256	1651	0				0	1					
384	2484	0				0	1	7	0-1		1	
512	2901	0				0	1	7	0-2		1	
512	3317	0				0	1				1	
256	3873	0				0	1	7	2-1			
256	4151	0				0	1	7	2-1			
0	4429	0				0	1	7	1-2			
0	4706	0				0	1	7	1-2		1	
128	5123	0				0	1				1	
128	5540	0				0	1				1	
256	6095	0				0	1	1				
384	6929	0				0	1				1	
384	7345	0				0	1				1	
384	7762	0				0	1				1	
256	8317	0				0	1					
256	8595	0				0	1					
256	8873	0				0	1					
128	9151	0				0	1					
128	9567	0				0	1					
128	9984	0				0	1					
0	10540	0				0	1					
256	11373	0				0	1	7	0-2		1	
384	11790	0				0	1				1	
384	12206	0				0	1				1	
128	12762	0				0	1	5				
128	13040	0				0	1	5				
128	13317	0				0	1	5				
128	13595	0				0	1	5			1	
0	14012	0				0	1				1	
0	14429	0				0	1				1	
0	14984	0				0	1					
256	15540	0				0	1	7	0-1			
512	16929	0	S			0	1	7	0-2			
256	17484	0				0	1	7	1-1			
128	18040	0				0	1	3			1	
128	18456	0				0	1				1	
0	18873	0				0	1				1	
0	19151	0				0	1					
256	19429	0				0	1	7	0-1			
256	19706	0				0	1					
256	19984	0				0	1					
344	20262	0				0	1	5			1	
344	20679	0				0	1	5			1	
344	21095	0				0	1	5			1	
128	21373	0				0	1	7	1-1			
0	21929	0				0	1					
128	22484	0				0	1				1	
128	22901	0				0	1				1	
128	23317	0				0	1				1	
128	23595	0				0	1					
256	24151	0				0	1	4				
344	24706	0				0	1	5			1	
344	25123	0				0	1	5			1	
344	25540	0				0	1	5			1	
344	25817	0				0	1					
128	26373	0				0	1					
176	26929	0				0	1	5			1	
176	27345	0				0	1	5			1	
176	27762	0				0	1	5			1	
176	28040	0				0	1					
344	28595	0				0	1					
344	28873	0				0	1	5				
344	29151	0				0	1	5				
256	29706	0				0	1					
128	29984	0				0	1					
128	30262	0				0	1					
256	30540	0				0	1					
256	30817	0				0	1					
384	31095	0				0	1					
256	31373	0				0	1	3				
512	32206	0				0	1	7	0-2			
512	32484	0				0	1					
384	33040	0				0	1					
384	33317	0				0	1					
384	33595	0				0	1					
256	34151	0				0	1	4				
128	34706	0				0	1					
128	35262	0				0	1					
0	35817	0				0	1				1	
344	36373	0				0	1	5				
344	36651	0				0	1	5				
344	36929	0				0	1	5				
176	37484	0				0	1	5				
176	37762	0				0	1	5				
176	38040	0				0	1	5				
256	38595	0				0	1	4				
128	39151	0				0	1					
128	39429	0				0	1					
0	39706	0				0	1					
0	39984	0				0	1					
0	40262	0				0	1				1	
256	40817	0				0	1	4				
512	41373	0				0	1					
512	41651	0				0	1					
384	41929	0				0	1					
384	42206	0				0	1					
384	42484	0				0	1					
256	43040	0	S			0	1					
176	43595	0				0	1	5				
176	43873	0				0	1	5				
176	44151	0				0	1	5				
176	44429	0				0	1	5				
176	44706	0				0	1	5			1	
128	45262	0				0	1					
0	45817	0				0	1					
0	46373	0				0	1					
128	46929	0				0	1					
256	47484	0				0	1	7	0-1			
384	48040	0				0	1					
384	48317	0				0	1					
384	48595	0				0	1					
384	48873	0				0	1					
256	49151	0				0	1	3			1	
256	49706	0				0	1					
128	50262	0				0	1	7	1-1			
256	50817	0				0	1					
384	51373	0				0	1					
256	51929	0				0	1					
176	52484	0				0	1	5				
176	52762	0				0	1	5				
176	53040	0				0	1	5				
176	53317	0				0	1	5				
176	53595	0				0	1	5			1	
256	54151	0				0	1	4				
344	54706	0				0	1	5				
344	54984	0				0	1	5				
344	55262	0				0	1	5				
344	55540	0				0	1	5				
264	55817	0				0	1	5				
344	56095	0				0	1	1				
256	56929	0				0	1					
128	57484	0				0	1					
128	58040	0				0	1				1	
256	58595	0				0	1					
344	59151	0				0	1	5				
344	59429	0				0	1	5				
344	59706	0				0	1	5				
344	59984	0				0	1	5				
344	60262	0				0	1	5				
344	60540	0				0	1					
256	61373	0				0	1					
128	61929	0				0	1					
0	62484	0	S			0	1					
