音轨（1 2 3 4）	音乐块ID	开始时间	结束时间	音效	背景	背景切换方式
Line	Id	StartTime	EndTime	SoundEffects	Background	ChangeForm
1	1101	374	0	0		0
2	1101	794	0	0		0
1	1101	1213	0	0		0
3	1101	1633	0	0		0
2	1101	2052	0	0		0
3	1101	2472	0	0		0
1	1101	2892	0	0		0
3	1101	3311	0	0		0
4	1101	3731	0	0		0
2	1101	3731	0	0		0
3	1101	4150	0	0		0
4	1101	4570	0	0		0
2	1101	4989	0	0		0
1	1101	5409	0	0		0
4	1101	5829	0	0		0
1	1101	6248	0	0		0
4	1101	6668	0	0		0
2	1101	7087	0	0		0
3	1101	7507	0	0		0
2	1101	7926	0	0		0
4	1101	7926	0	0		0
3	1101	8346	0	0		0
2	1101	8766	0	0		0
4	1101	9185	0	0		0
1	1101	9605	0	0		0
3	1101	10024	0	0		0
2	1101	10444	0	0		0
4	1101	10444	0	0		0
3	1101	10864	0	0		0
1	1101	11283	0	0		0
3	1101	11703	0	0		0
2	1101	12122	0	0		0
4	1101	12542	0	0		0
1	1101	12961	0	0		0
3	1101	13381	0	0		0
1	1101	13801	0	0		0
2	1101	14220	0	0		0
1	1101	14640	0	0		0
3	1101	14640	0	0		0
2	1101	15059	0	0		0
4	1101	15479	0	0		0
3	1101	15898	0	0		0
1	1101	16318	0	0		0
4	1101	16738	0	0		0
3	1101	17157	0	0		0
1	1101	17157	0	0		0
2	1101	17577	0	0		0
4	1101	17996	0	0		0
2	1101	18416	0	0		0
3	1101	18836	0	0		0
1	1101	19255	0	0		0
4	1101	19675	0	0		0
3	1101	20094	0	0		0
2	1101	20304	0	0		0
3	1101	20514	0	0		0
2	1101	20724	0	0		0
1	1101	20933	0	0		0
2	1101	21353	0	0		0
4	1101	21353	0	0		0
3	1101	21773	0	0		0
2	1101	22192	0	0		0
4	1101	22192	0	0		0
3	1101	22612	0	0		0
2	1101	22822	0	0		0
4	1101	23031	0	0		0
3	1101	23346	0	0		0
2	1101	23871	0	0		0
1	1101	24290	0	0		0
2	1101	24500	0	0		0
4	1101	24919	0	0		0
3	1101	25129	0	0		0
1	1101	25549	0	0		0
3	1101	25968	0	0		0
1	1101	26388	0	0		0
3	1101	26808	0	0		0
2	1101	27227	0	0	2	0
4	1101	27227	0	0	2	0
3	1101	27647	0	0		0
2	1101	28066	0	0		0
4	1101	28486	0	0		0
3	1101	28905	0	0		0
1	1101	28905	0	0		0
2	1101	29325	0	0		0
3	1101	29745	0	0		0
2	1101	30164	0	0		0
3	1101	30584	0	0		0
1	1101	30584	0	0		0
2	1101	31003	0	0		0
4	1101	31423	0	0		0
2	1101	31843	0	0		0
4	1101	32262	0	0		0
3	1101	32682	0	0		0
2	1101	33101	0	0		0
4	1101	33521	0	0		0
3	1101	33940	0	0		0
1	1101	33940	0	0		0
2	1101	34360	0	0		0
4	1101	34780	0	0		0
1	1101	35199	0	0		0
2	1101	35619	0	0		0
4	1101	35619	0	0		0
3	1101	36038	0	0		0
1	1101	36458	0	0		0
3	1101	36878	0	0		0
4	1101	37297	0	0		0
2	1101	37297	0	0		0
3	1101	37717	0	0		0
2	1101	38136	0	0		0
3	1101	38556	0	0		0
1	1101	38975	0	0		0
2	1101	39395	0	0		0
3	1101	39815	0	0		0
1	1101	40234	0	0		0
4	1201	40654	41493	0		0
2	1101	41493	0	0		0
4	1101	41912	0	0		0
2	1101	42332	0	0		0
3	1101	42752	0	0		0
1	1101	43171	0	0		0
4	1101	43591	0	0		0
2	1101	44010	0	0		0
3	1101	44220	0	0		0
2	1101	44430	0	0		0
1	1101	44850	0	0		0
2	1101	45269	0	0		0
3	1101	45689	0	0		0
1	1101	46108	0	0		0
3	1101	46528	0	0		0
2	1101	46947	0	0		0
1	1101	47367	0	0		0
3	1101	47367	0	0		0
2	1101	47577	0	0		0
3	1101	47787	0	0		0
2	1101	47996	0	0		0
3	1101	48206	0	0		0
2	1101	48626	0	0		0
1	1201	49045	49675	0		0
3	1101	49675	0	0		0
4	1101	50199	0	0		0
3	1101	50724	0	0		0
1	1101	50724	0	0		0
2	1101	51143	0	0		0
1	1101	51353	0	0		0
3	1101	51773	0	0		0
4	1101	51982	0	0		0
1	1101	52402	0	0		0
3	1101	52822	0	0		0
1	1101	53241	0	0		0
4	1101	53661	0	0		0
3	1101	54080	0	0	3	0
1	1101	54080	0	0	3	0
2	1101	54290	0	0		0
3	1101	54500	0	0		0
4	1101	54919	0	0		0
2	1101	55339	0	0		0
3	1101	55759	0	0		0
1	1101	55759	0	0		0
2	1101	56388	0	0		0
4	1101	56388	0	0		0
1	1101	56808	0	0		0
3	1101	56808	0	0		0
2	1101	57437	0	0		0
3	1101	57857	0	0		0
4	1201	58276	59115	0		0
2	1101	59115	0	0		0
3	1101	59535	0	0		0
1	1101	59954	0	0		0
2	1101	60164	0	0		0
3	1101	60374	0	0		0
4	1101	60584	0	0		0
3	1201	60794	61633	0		0
1	1101	61633	0	0		0
3	1101	62052	0	0		0
1	1201	62472	63101	0		0
2	1101	63101	0	0		0
3	1201	63521	64150	0		0
4	1101	64150	0	0		0
3	1101	64570	0	0		0
2	1201	64989	65829	0		0
1	1101	65829	0	0		0
4	1101	66248	0	0		0
1	1101	66668	0	0		0
2	1101	67087	0	0		0
1	1101	67507	0	0		0
3	1101	67507	0	0		0
2	1101	67926	0	0		0
3	1101	68346	0	0		0
2	1101	68766	0	0		0
4	1201	69185	69815	0		0
3	1101	69815	0	0		0
2	1201	70234	70864	0		0
1	1101	70864	0	0		0
3	1101	71283	0	0		0
1	1201	71703	72542	0		0
2	1101	72542	0	0		0
3	1101	72961	0	0		0
2	1101	73381	0	0		0
4	1101	73801	0	0		0
1	1101	74220	0	0		0
3	1101	74220	0	0		0
2	1101	74640	0	0		0
1	1101	75059	0	0		0
3	1101	75479	0	0		0
2	1101	75898	0	0		0
4	1101	75898	0	0		0
3	1101	76318	0	0		0
2	1101	76738	0	0		0
3	1101	77157	0	0		0
4	1101	77577	0	0		0
2	1101	77577	0	0		0
3	1101	77996	0	0		0
1	1101	78206	0	0		0
4	1101	78626	0	0		0
2	1101	78836	0	0		0
1	1101	79255	0	0		0
2	1101	79465	0	0		0
4	1101	79885	0	0		0
3	1101	80094	0	0		0
2	1101	80514	0	0		0
1	1101	80933	0	0		0
3	1101	80933	0	0		0
2	1101	81353	0	0		0
4	1101	81773	0	0		0
3	1101	82192	0	0		0
1	1101	82612	0	0		0
3	1101	83031	0	0		0
2	1101	83451	0	0		0
4	1101	83871	0	0		0
