音轨（1 2 3 4）	音乐块ID	开始时间	结束时间	音效	背景	背景切换方式
Line	Id	StartTime	EndTime	SoundEffects	Background	ChangeForm
1	1201	546	1106	0		0
2	1201	1106	2228	0		0
3	1201	2228	3349	0		0
4	1201	3349	4471	0		0
3	1201	4471	5592	0		0
2	1201	5592	6714	0		0
1	1101	6714	0	0		0
3	1101	6714	0	0		0
2	1101	6994	0	0		0
3	1101	7275	0	0		0
1	1101	7275	0	0		0
2	1101	7555	0	0		0
1	1101	7835	0	0		0
3	1101	7835	0	0		0
2	1101	8116	0	0		0
3	1101	8396	0	0		0
2	1101	8677	0	0		0
4	1201	8957	9518	0		0
3	1101	9518	0	0		0
2	1101	9798	0	0		0
3	1101	10078	0	0		0
4	1201	10359	10779	0		0
1	1201	10779	11200	0		0
2	1101	11200	0	0		0
4	1101	11200	0	0		0
3	1101	11480	0	0		0
2	1101	11761	0	0		0
4	1101	11761	0	0		0
3	1101	12041	0	0		0
2	1101	12321	0	0		0
4	1101	12321	0	0		0
3	1101	12602	0	0		0
1	1101	12882	0	0		0
4	1101	13163	0	0		0
1	1101	13443	0	0		0
4	1101	13723	0	0		0
3	1201	14004	14564	0		0
2	1101	14564	0	0		0
1	1101	14845	0	0		0
3	1201	15125	15686	0		0
4	1101	15686	0	0		0
2	1101	15686	0	0		0
3	1101	15966	0	0		0
2	1101	16247	0	0		0
4	1101	16247	0	0		0
3	1101	16527	0	0		0
2	1101	16807	0	0		0
4	1101	16807	0	0		0
3	1101	17088	0	0		0
2	1101	17368	0	0		0
1	1101	17648	0	0		0
2	1201	17929	18490	0		0
1	1201	18490	19050	0		0
3	1201	19050	19611	0		0
4	1201	19611	20172	0		0
1	1101	20172	0	0		0
3	1101	20172	0	0		0
2	1101	20452	0	0		0
3	1101	20733	0	0		0
1	1101	20733	0	0		0
2	1101	21013	0	0		0
1	1101	21293	0	0		0
3	1101	21293	0	0		0
2	1101	21574	0	0		0
4	1101	21854	0	0		0
3	1101	22134	0	0		0
1	1101	22415	0	0		0
4	1101	22695	0	0		0
3	1201	22976	23536	0		0
2	1101	23536	0	0		0
3	1201	23817	24658	0		0
2	1101	24658	0	0	2	0
4	1101	24658	0	0	2	0
3	1101	24938	0	0		0
4	1101	25219	0	0		0
2	1101	25219	0	0		0
3	1101	25499	0	0		0
2	1101	25779	0	0		0
4	1101	25779	0	0		0
3	1101	26060	0	0		0
1	1101	26340	0	0		0
4	1101	26620	0	0		0
1	1201	26901	28022	0		0
3	1201	26901	28022	0		0
2	1101	28022	0	0		0
1	1101	28303	0	0		0
4	1101	28583	0	0		0
2	1101	28863	0	0		0
1	1101	29144	0	0		0
3	1101	29144	0	0		0
2	1101	29424	0	0		0
1	1101	29705	0	0		0
3	1101	29705	0	0		0
2	1101	29985	0	0		0
1	1101	30265	0	0		0
3	1101	30265	0	0		0
4	1101	30546	0	0		0
2	1101	30546	0	0		0
3	1101	30826	0	0		0
1	1101	30826	0	0		0
2	1101	31106	0	0		0
4	1101	31106	0	0		0
1	1201	31387	31948	0		0
4	1201	31948	32508	0		0
2	1201	32508	33069	0		0
3	1201	33069	33630	0		0
2	1101	33630	0	0		0
4	1101	33630	0	0		0
1	1101	33910	0	0		0
3	1101	33910	0	0		0
2	1101	34191	0	0		0
4	1101	34191	0	0		0
1	1101	34471	0	0		0
3	1101	34471	0	0		0
2	1101	34751	0	0		0
4	1101	35032	0	0		0
1	1101	35312	0	0		0
4	1101	35592	0	0		0
3	1201	35873	36434	0		0
2	1201	36434	36994	0		0
4	1101	36994	0	0		0
1	1101	37275	0	0		0
4	1101	37555	0	0		0
2	1101	37835	0	0		0
1	1101	38116	0	0		0
3	1101	38116	0	0		0
2	1101	38396	0	0		0
3	1101	38677	0	0		0
1	1101	38677	0	0		0
2	1101	38957	0	0		0
3	1101	39237	0	0		0
1	1101	39237	0	0		0
2	1101	39518	0	0		0
1	1101	39798	0	0		0
2	1101	40078	0	0		0
3	1101	40359	0	0		0
4	1101	40639	0	0		0
3	1101	40920	0	0		0
2	1101	41200	0	0		0
1	1201	41480	42602	0		0
3	1201	41480	42602	0		0
2	1201	42602	43163	0	3	0
4	1201	43163	43723	0		0
2	1201	43723	44284	0		0
1	1201	44284	44845	0		0
2	1201	44845	45406	0		0
3	1201	45406	45966	0		0
4	1201	45966	46527	0		0
3	1101	46527	0	0		0
1	1101	46527	0	0		0
2	1101	46807	0	0		0
3	1201	47088	47648	0		0
1	1101	47648	0	0		0
4	1101	47929	0	0		0
1	1201	48209	48770	0		0
4	1101	48770	0	0		0
1	1101	49050	0	0		0
4	1201	49331	50452	0		0
2	1201	49331	50452	0		0
1	1101	50452	0	0		0
3	1101	50452	0	0		0
2	1101	50733	0	0		0
4	1101	50733	0	0		0
1	1101	51013	0	0		0
3	1101	51013	0	0		0
2	1101	51293	0	0		0
4	1101	51293	0	0		0
1	1201	51574	52134	0		0
3	1101	52134	0	0		0
4	1101	52415	0	0		0
3	1201	52695	53256	0		0
2	1101	53256	0	0		0
1	1101	53536	0	0		0
3	1201	53817	54377	0		0
1	1101	54377	0	0		0
4	1101	54658	0	0		0
1	1201	54938	55499	0		0
4	1101	55499	0	0		0
1	1101	55779	0	0		0
3	1201	56060	56620	0		0
4	1101	56620	0	0		0
3	1101	56901	0	0		0
4	1101	57181	0	0		0
3	1101	57462	0	0		0
2	1101	57742	0	0		0
1	1101	58022	0	0		0
4	1201	58303	58863	0		0
3	1201	58863	59424	0		0
1	1201	59424	59985	0		0
