音轨（1 2 3 4）	音乐块ID	开始时间	结束时间	音效	背景	背景切换方式
Line	Id	StartTime	EndTime	SoundEffects	Background	ChangeForm
2	1201	755	1255	0		0
3	1101	1255	0	0		0
2	1101	1505	0	0		0
3	1101	1755	0	0		0
1	1101	2005	0	0		0
2	1201	2255	2755	0		0
3	1201	2755	3255	0		0
4	1201	3255	3755	0		0
1	1201	3755	4255	0		0
2	1101	4255	0	0		0
3	1101	4505	0	0		0
2	1101	4755	0	0		0
4	1101	5005	0	0		0
3	1201	5255	5755	0		0
2	1201	5755	6255	0		0
1	1201	6255	6755	0		0
4	1201	6755	7255	0		0
3	1101	7255	0	0		0
2	1101	7505	0	0		0
3	1101	7755	0	0		0
1	1101	8005	0	0		0
4	1201	8255	8755	0		0
1	1101	8755	0	0		0
3	1101	9005	0	0		0
2	1101	9255	0	0		0
3	1101	9505	0	0		0
1	1201	9755	10255	0		0
3	1101	10255	0	0		0
4	1101	10505	0	0		0
2	1101	10755	0	0		0
3	1101	11005	0	0		0
1	1201	11255	11755	0		0
2	1101	11755	0	0		0
4	1101	12005	0	0		0
3	1101	12255	0	0		0
2	1101	12505	0	0		0
1	1201	12755	13255	0		0
2	1101	13255	0	0		0
3	1101	13505	0	0		0
2	1101	13755	0	0		0
4	1101	14005	0	0		0
3	1201	14255	14755	0		0
2	1201	14755	15255	0		0
1	1201	15255	15755	0		0
4	1201	15755	16255	0		0
3	1101	16255	0	0		0
4	1101	16505	0	0		0
2	1101	16755	0	0		0
3	1101	17005	0	0		0
1	1201	17255	17755	0		0
2	1201	17755	18255	0		0
3	1201	18255	18755	0		0
1	1201	18755	19255	0		0
3	1101	19255	0	0		0
2	1101	19505	0	0		0
3	1101	19755	0	0		0
1	1101	20005	0	0		0
3	1201	20255	20755	0		0
4	1101	20755	0	0		0
3	1101	21005	0	0		0
2	1101	21255	0	0		0
1	1101	21505	0	0		0
3	1201	21755	22255	0		0
2	1101	22255	0	0		0
4	1101	22505	0	0		0
1	1101	22755	0	0		0
3	1101	23005	0	0		0
2	1201	23255	24255	0		0
3	1201	24255	24755	0		0
2	1101	24755	0	0	2	0
4	1101	24755	0	0	2	0
3	1101	25255	0	0		0
2	1101	25505	0	0		0
1	1101	25755	0	0		0
3	1101	26005	0	0		0
2	1201	26255	26755	0		0
3	1201	26755	27255	0		0
4	1201	27255	27755	0		0
1	1101	27755	0	0		0
3	1101	27755	0	0		0
2	1101	28255	0	0		0
3	1101	28505	0	0		0
1	1101	28755	0	0		0
4	1101	29005	0	0		0
3	1201	29255	29755	0		0
2	1201	29755	30255	0		0
1	1201	30255	30755	0		0
2	1101	30755	0	0		0
4	1101	30755	0	0		0
3	1101	31255	0	0		0
2	1101	31505	0	0		0
3	1101	31755	0	0		0
1	1101	32005	0	0		0
4	1201	32255	32755	0		0
2	1101	32755	0	0		0
3	1101	33005	0	0		0
1	1101	33255	0	0		0
4	1101	33505	0	0		0
3	1201	33755	34255	0		0
1	1101	34255	0	0		0
3	1101	34505	0	0		0
2	1101	34755	0	0		0
4	1101	35005	0	0		0
1	1201	35255	35755	0		0
3	1101	35755	0	0		0
2	1101	36005	0	0		0
3	1101	36255	0	0		0
2	1101	36505	0	0		0
1	1101	36755	0	0		0
3	1101	36755	0	0		0
2	1101	37255	0	0		0
3	1101	37505	0	0		0
1	1101	37755	0	0		0
3	1101	38005	0	0		0
2	1201	38255	38755	0		0
3	1201	38755	39255	0		0
4	1201	39255	39755	0		0
1	1101	39755	0	0		0
3	1101	39755	0	0		0
2	1101	40255	0	0		0
3	1101	40505	0	0		0
1	1101	40755	0	0		0
4	1101	41005	0	0		0
3	1201	41255	41755	0		0
2	1101	41755	0	0		0
