音轨（1 2 3 4）	音乐块ID	开始时间	结束时间	音效	背景	背景切换方式
Line	Id	StartTime	EndTime	SoundEffects	Background	ChangeForm
1	1101	532	0	0		0
3	1101	885	0	0		0
2	1101	1238	0	0		0
4	1101	1591	0	0		0
1	1101	1944	0	0		0
3	1101	2297	0	0		0
2	1101	2650	0	0		0
3	1101	3002	0	0		0
4	1201	3355	4061	0		0
2	1101	4061	0	0		0
1	1201	4414	5473	0		0
2	1101	5473	0	0		0
3	1101	5826	0	0		0
2	1201	6179	6885	0		0
3	1101	6885	0	0		0
4	1101	7238	0	0		0
2	1101	7591	0	0		0
3	1101	7767	0	0		0
2	1101	7944	0	0		0
1	1101	8120	0	0		0
3	1101	8297	0	0		0
4	1101	8473	0	0		0
3	1101	8650	0	0		0
2	1101	8826	0	0		0
1	1201	9002	9708	0		0
2	1101	9708	0	0		0
4	1101	9885	0	0		0
3	1101	10061	0	0		0
4	1101	10238	0	0		0
2	1101	10414	0	0		0
3	1101	10591	0	0		0
1	1101	10767	0	0		0
4	1101	10944	0	0		0
3	1101	11120	0	0		0
2	1101	11297	0	0		0
4	1101	11473	0	0		0
1	1101	11649	0	0		0
3	1201	11826	12532	0		0
2	1101	12532	0	0		0
4	1101	12885	0	0		0
1	1101	13238	0	0		0
3	1101	13591	0	0		0
2	1101	13944	0	0		0
4	1101	14297	0	0		0
1	1101	14649	0	0	2	0
2	1101	15002	0	0		0
4	1101	15355	0	0		0
3	1101	15708	0	0		0
2	1201	15885	16414	0		0
1	1101	16414	0	0		0
3	1101	16591	0	0		0
4	1101	16767	0	0		0
3	1101	17120	0	0		0
2	1201	17297	18179	0		0
1	1101	18179	0	0		0
3	1101	18532	0	0		0
2	1101	18885	0	0		0
4	1101	19238	0	0		0
2	1101	19591	0	0		0
3	1101	19944	0	0		0
2	1101	20297	0	0		0
4	1101	20297	0	0		0
3	1101	20649	0	0		0
1	1101	21002	0	0		0
3	1101	21355	0	0		0
1	1101	21708	0	0		0
4	1101	22061	0	0		0
2	1101	22414	0	0		0
4	1101	22767	0	0		0
3	1201	22944	24002	0		0
2	1101	24002	0	0		0
1	1101	24179	0	0		0
2	1101	24532	0	0		0
4	1101	24885	0	0		0
2	1101	25061	0	0		0
3	1101	25238	0	0		0
2	1101	25591	0	0		0
3	1201	25767	26649	0		0
1	1101	26649	0	0		0
3	1101	27002	0	0		0
2	1101	27179	0	0		0
3	1101	27532	0	0		0
4	1101	27885	0	0		0
3	1101	28061	0	0		0
2	1101	28414	0	0		0
1	1101	28591	0	0		0
2	1201	28944	29473	0		0
3	1101	29473	0	0		0
4	1101	29826	0	0		0
3	1101	30002	0	0		0
2	1101	30355	0	0		0
3	1101	30708	0	0		0
1	1101	30885	0	0		0
3	1101	31238	0	0		0
2	1201	31414	32297	0		0
3	1201	32297	33002	0		0
2	1101	33002	0	0		0
